date,price
2025-01-02,5325.0
2025-01-03,5378.0
2025-01-04,5450.0
2025-01-06,5313.0
2025-01-07,5425.0
2025-01-08,4710.0
2025-01-09,4285.0
2025-01-10,5163.0
2025-01-11,4535.0
2025-01-15,4948.0
2025-01-16,5150.0
2025-01-17,4928.0
2025-01-18,4878.0
2025-01-20,4580.0
2025-01-21,4403.0
2025-01-22,4513.0
2025-01-24,5100.0
2025-01-25,4775.0
2025-01-27,4763.0
2025-01-28,5165.0
2025-01-29,4873.0
2025-01-30,4627.0
2025-01-31,4625.0
2025-02-03,3525.0
2025-02-04,5048.0
2025-02-05,4850.0
2025-02-07,4565.0
2025-02-08,4613.0
2025-02-12,4515.0
2025-02-13,4500.0
2025-02-14,4815.0
2025-02-15,4275.0
2025-02-17,4780.0
2025-02-19,4188.0
2025-02-20,5075.0
2025-02-21,3968.0
2025-02-22,4190.0
2025-02-24,4963.0
2025-02-27,5085.0
2025-02-28,3925.0
2025-03-01,4900.0
2025-03-03,4755.0
2025-03-04,4750.0
2025-03-06,4900.0
2025-03-07,4870.0
2025-03-08,4613.0
2025-03-10,4250.0
2025-03-11,4673.0
2025-03-12,4845.0
2025-03-13,4950.0
2025-03-17,4875.0
2025-03-18,4585.0
2025-03-19,4203.0
2025-03-20,3990.0
2025-03-21,4840.0
2025-03-22,4950.0
2025-03-24,4740.0
2025-03-26,4928.0
2025-04-03,4563.0
2025-04-04,4380.0
2025-04-05,4923.0
2025-04-07,4378.0
2025-04-08,4888.0
2025-04-09,4108.0
2025-04-10,4868.0
2025-04-15,4840.0
2025-04-16,4380.0
2025-04-17,4503.0
2025-04-18,4550.0
2025-04-19,3703.0
2025-04-21,3975.0
2025-04-22,4103.0
2025-04-23,4705.0
2025-04-24,4185.0
2025-04-25,4353.0
2025-04-26,4395.0
2025-04-28,3953.0
2025-04-29,4415.0
2025-04-30,4553.0
2025-05-01,4213.0
2025-05-02,4620.0
2025-05-03,4408.0
2025-05-05,4255.0
2025-05-08,4735.0
2025-05-09,4625.0
2025-05-10,4630.0
2025-05-12,4770.0
2025-05-13,4528.0
2025-05-14,4468.0
2025-05-15,4353.0
2025-05-16,4400.0
2025-05-17,4203.0
2025-05-19,4550.0
2025-05-20,4698.0
2025-05-21,4748.0
2025-05-22,4520.0
2025-05-23,4238.0
2025-05-24,4753.0
2025-05-26,4253.0
2025-05-27,4438.0
2025-05-28,4603.0
2025-05-29,4250.0
2025-05-30,4553.0
2025-05-31,3978.0
2025-06-02,4548.0
2025-06-03,4700.0
2025-06-04,4473.0
2025-06-05,4563.0
2025-06-06,4105.0
2025-06-07,4375.0
2025-06-09,4545.0
2025-06-10,4305.0
2025-06-11,4363.0
2025-06-12,4425.0
2025-06-13,4690.0
2025-06-14,4330.0
2025-06-16,4063.0
2025-06-17,4513.0
2025-06-18,5023.0
2025-06-19,4590.0
2025-06-20,4895.0
2025-06-21,4775.0
2025-06-23,4450.0
2025-06-24,4750.0
2025-06-25,4500.0
2025-06-26,4690.0
2025-06-27,4625.0
2025-06-28,4528.0
2025-06-30,4725.0
2025-07-01,4803.0
2025-07-02,4650.0
2025-07-03,3550.0
2025-07-04,4675.0
2025-07-05,4828.0
2025-07-07,4523.0
2025-07-08,4650.0
2025-07-09,4858.0
2025-07-11,4150.0
2025-07-12,4930.0
2025-07-14,4410.0
2025-07-15,3750.0
2025-07-16,3878.0
2025-07-18,5075.0
2025-07-19,4803.0
2025-07-21,5013.0
2025-07-22,4223.0
2025-07-23,4850.0
2025-07-25,4000.0
2025-07-26,3505.0
2025-07-28,4500.0
2025-07-29,5135.0
2025-07-30,4968.0
2025-08-01,5078.0
2025-08-02,3500.0
2025-08-04,4680.0
2025-08-05,5000.0
2025-08-06,4823.0
2025-08-07,3500.0
2025-08-08,4950.0
2025-08-11,4900.0
2025-08-12,4405.0
2025-08-13,4875.0
2025-08-18,6590.0
2025-08-21,5000.0
2025-08-22,4340.0
2025-08-23,4375.0
2025-08-25,4950.0
2025-08-26,4005.0
2025-08-29,5000.0
2025-09-01,4490.0
2025-09-03,7500.0
2025-09-04,4500.0
2025-09-09,4125.0
2025-09-15,4375.0
2025-09-16,3555.0
2025-09-22,3625.0
2025-09-23,3753.0
2025-09-24,3630.0
2025-09-29,4813.0
2025-09-30,4250.0
2025-10-01,3405.0
2025-10-03,3500.0
2025-10-04,3863.0
2025-10-10,3425.0
2025-10-11,3500.0
2025-10-15,3875.0
2025-10-16,3503.0
2025-10-17,3980.0
2025-10-27,5380.0
2025-11-03,3413.0
2025-11-04,3643.0
2025-11-05,3903.0
2025-11-06,3725.0
2025-11-18,5000.0
2025-11-19,4625.0
2025-11-20,4653.0
2025-11-21,5028.0
2025-11-22,4750.0
2025-11-24,5210.0
2025-11-25,5003.0
2025-11-26,5250.0
2025-11-27,5463.0
2025-11-28,4975.0
2025-11-29,5405.0
2025-12-01,5453.0
2025-12-02,5540.0
2025-12-03,5450.0
2025-12-04,5095.0
2025-12-05,5125.0
2025-12-06,5300.0
2025-12-08,4790.0
2025-12-09,6005.0
2025-12-10,5000.0
2025-12-11,5755.0
2025-12-12,5880.0
2025-12-13,5780.0
2025-12-15,5953.0
2025-12-16,5785.0
2025-12-17,5188.0
2025-12-18,5960.0
2025-12-19,5250.0
2025-12-20,4820.0
2025-12-22,5068.0
2025-12-23,5253.0
2025-12-24,5550.0
2025-12-25,5600.0
2025-12-26,5875.0
2025-12-27,5350.0
2025-12-29,5950.0
2025-12-30,5850.0
2025-12-31,5878.0
2026-01-01,6115.0
2026-01-02,5895.0
2026-01-03,5628.0
2026-01-05,5830.0
2026-01-06,6100.0
2026-01-07,5428.0
2026-01-08,6093.0
2026-01-09,6250.0
2026-01-10,6160.0
2026-01-12,5430.0
2026-01-13,6098.0
2026-01-15,5953.0
2026-01-16,6078.0
2026-01-17,5878.0
2026-01-19,6350.0
2026-01-20,6000.0
2026-01-21,5248.0
2026-01-22,5625.0
2026-01-23,5725.0
2026-01-24,6200.0
2026-01-27,6150.0
2026-01-28,6787.0
2026-01-29,6903.0
2026-01-30,6830.0
2026-01-31,6955.0
2026-02-02,6513.0
2026-02-03,6563.0
2026-02-04,6562.0
2026-02-05,6250.0
2026-02-06,6563.0
2026-02-09,6000.0
2026-02-13,6530.0
2026-02-14,6740.0
2026-02-16,6203.0
2026-02-17,6778.0
2026-02-18,6575.0
2026-02-19,6378.0
2026-02-20,6543.0
2026-02-21,5875.0
2026-02-23,5625.0
2026-02-24,6000.0
2026-02-25,6425.0
2026-02-26,6152.0
2026-02-27,6000.0
2026-03-02,5805.0
2026-03-06,5800.0
2026-03-09,5255.0
2026-03-10,5753.0
2026-03-11,5938.0
2026-03-12,5250.0
2026-03-13,5775.0
2026-03-14,5255.0
2026-03-16,6053.0
2026-03-17,5875.0
2026-03-18,6300.0
2026-03-19,5750.0
2026-03-20,6000.0
2026-03-23,4625.0
2026-03-24,5500.0
2026-03-25,5250.0
2026-04-02,6153.0
2026-04-03,6150.0
2026-04-04,5935.0
2026-04-06,6075.0
2026-04-07,6100.0
2026-04-08,5083.0
