date,price
2025-01-01,5290.0
2025-01-02,5490.0
2025-01-03,5380.0
2025-01-04,5780.0
2025-01-06,5575.0
2025-01-07,5925.0
2025-01-08,5385.0
2025-01-09,5380.0
2025-01-10,5755.0
2025-01-11,5600.0
2025-01-13,5440.0
2025-01-15,5545.0
2025-01-16,5885.0
2025-01-17,5590.0
2025-01-18,5530.0
2025-01-20,5455.0
2025-01-21,5480.0
2025-01-22,5600.0
2025-01-23,5580.0
2025-01-24,5440.0
2025-01-25,5580.0
2025-01-27,5630.0
2025-01-28,5855.0
2025-01-29,5635.0
2025-01-30,5735.0
2025-01-31,5615.0
2025-02-01,5190.0
2025-02-03,5255.0
2025-02-04,5350.0
2025-02-05,5680.0
2025-02-06,5795.0
2025-02-07,5745.0
2025-02-08,5685.0
2025-02-10,5330.0
2025-02-11,5415.0
2025-02-12,5625.0
2025-02-13,5655.0
2025-02-14,5650.0
2025-02-15,5405.0
2025-02-17,5530.0
2025-02-18,5515.0
2025-02-19,5375.0
2025-02-20,5390.0
2025-02-21,5365.0
2025-02-24,5280.0
2025-02-25,5375.0
2025-02-27,5350.0
2025-02-28,5215.0
2025-03-01,5350.0
2025-03-03,5195.0
2025-03-04,5315.0
2025-03-05,5315.0
2025-03-06,5440.0
2025-03-07,5340.0
2025-03-10,5000.0
2025-03-11,5120.0
2025-03-12,5530.0
2025-03-21,5005.0
2025-03-25,5315.0
2025-03-26,5440.0
2025-03-29,5140.0
2025-03-31,5065.0
2025-04-01,5130.0
2025-04-02,5075.0
2025-04-04,5110.0
2025-04-05,5040.0
2025-04-07,4900.0
2025-04-15,5145.0
2025-04-16,6465.0
2025-04-17,6245.0
2025-04-21,5875.0
2025-04-22,6280.0
2025-05-05,6080.0
2025-05-06,6145.0
2025-05-08,6005.0
2025-05-12,6005.0
2025-05-13,5995.0
2025-05-19,5985.0
2025-05-20,6300.0
2025-05-21,6335.0
2025-05-22,6210.0
2025-05-29,5920.0
2025-05-30,6215.0
2025-06-03,6215.0
2025-06-05,5925.0
2025-06-07,6050.0
2025-06-09,5925.0
2025-06-10,6015.0
2025-06-11,5970.0
2025-06-12,5550.0
2025-06-13,6050.0
2025-06-14,6045.0
2025-06-16,6185.0
2025-06-17,5880.0
2025-06-18,6045.0
2025-06-19,6185.0
2025-06-20,6380.0
2025-06-21,6230.0
2025-06-23,5925.0
2025-06-24,6140.0
2025-06-25,5905.0
2025-06-26,6135.0
2025-06-28,6095.0
2025-06-30,6040.0
2025-07-01,6230.0
2025-07-02,6275.0
2025-07-03,6285.0
2025-07-04,6225.0
2025-07-05,5865.0
2025-07-07,6045.0
2025-07-14,6130.0
2025-07-15,6045.0
2025-07-16,6090.0
2025-07-17,6150.0
2025-07-18,5975.0
2025-07-19,6335.0
2025-07-23,5965.0
2025-07-24,6005.0
2025-07-25,5805.0
2025-07-26,5155.0
2025-07-31,5270.0
2025-08-05,5270.0
2025-08-06,4985.0
2025-08-07,4920.0
2025-08-08,5055.0
2025-08-11,5235.0
2025-08-12,5210.0
2025-08-19,5265.0
2025-08-21,4945.0
2025-08-22,4295.0
2025-08-26,5250.0
2025-08-27,4910.0
2025-08-30,5060.0
2025-09-02,4840.0
2025-09-22,5190.0
2025-09-23,5765.0
2025-09-25,5655.0
2025-09-26,5505.0
2025-09-27,6365.0
2025-09-29,5480.0
2025-09-30,5955.0
2025-10-01,5780.0
2025-10-03,6080.0
2025-10-04,5925.0
2025-10-06,5840.0
2025-10-07,5690.0
2025-10-08,6180.0
2025-10-09,5690.0
2025-10-10,5290.0
2025-10-11,5775.0
2025-10-13,6305.0
2025-10-14,6390.0
2025-10-15,6435.0
2025-10-16,6440.0
2025-10-27,6375.0
2025-10-28,6390.0
2025-10-29,6125.0
2025-11-04,6970.0
2025-11-05,7540.0
2025-11-11,7190.0
2025-11-12,6715.0
2025-11-13,6990.0
2025-11-19,6785.0
2025-11-20,6280.0
2025-11-21,6765.0
2025-11-24,6915.0
2025-11-25,6630.0
2025-11-26,6415.0
2025-11-27,6835.0
2025-12-01,6980.0
2025-12-03,6785.0
2025-12-04,7565.0
2025-12-06,7280.0
2025-12-08,7120.0
2025-12-09,7200.0
2025-12-10,7120.0
2025-12-11,6450.0
2025-12-12,6575.0
2025-12-15,6575.0
2025-12-16,6935.0
2025-12-17,6620.0
2025-12-18,7095.0
2025-12-19,7240.0
2025-12-20,7140.0
2025-12-22,7080.0
2025-12-23,7355.0
2025-12-25,6360.0
2025-12-26,7800.0
2025-12-27,6770.0
2025-12-29,6935.0
2025-12-31,8020.0
2026-01-02,7500.0
2026-01-05,7070.0
2026-01-06,6700.0
2026-01-07,6690.0
2026-01-08,6540.0
2026-01-09,6510.0
2026-01-10,6355.0
2026-01-12,6450.0
2026-03-23,8155.0
2026-04-03,7945.0
2026-04-09,7750.0
2026-04-16,8065.0
2026-04-17,8065.0
2026-04-18,7905.0
2026-04-21,7455.0
2026-04-22,7565.0
2026-04-24,7935.0
2026-04-25,7515.0
2026-04-30,7885.0
2026-05-01,7425.0
2026-05-02,7380.0
2026-05-04,7305.0
2026-05-05,7260.0
2026-05-06,7380.0
2026-05-08,7495.0
2026-05-09,7440.0
2026-05-11,7285.0
2026-05-14,7470.0
2026-05-15,7580.0
2026-05-18,7800.0
2026-05-19,7420.0
2026-05-21,7655.0
2026-05-22,6755.0
2026-05-23,7405.0
2026-05-25,7150.0
2026-05-26,6880.0
2026-05-27,6860.0
2026-05-28,6600.0
2026-05-29,7040.0
2026-05-30,7395.0
2026-06-01,6530.0
2026-06-02,6725.0
2026-06-03,6790.0
2026-06-04,6930.0
2026-06-05,7130.0
2026-06-06,6875.0
2026-06-08,6780.0
2026-06-09,6385.0
2026-06-10,6755.0
2026-06-11,6350.0
2026-06-12,6520.0
2026-06-13,6085.0
2026-06-15,6210.0
2026-06-16,6425.0
2026-06-17,6625.0
2026-06-18,6190.0
2026-06-19,5990.0
2026-06-22,6260.0
2026-06-23,5890.0
2026-06-24,6115.0
2026-06-29,5715.0
2026-06-30,6135.0
2026-07-01,7425.0
2026-07-03,6525.0
2026-07-06,8290.0
2026-07-09,6805.0
2026-07-10,6590.0
2026-07-13,6140.0
2026-07-14,6470.0
2026-07-17,6605.0
2026-07-18,7470.0
2026-07-20,6475.0
2026-07-27,6750.0
2026-07-28,7520.0
2026-07-30,6440.0
2026-08-03,6505.0
2026-08-04,6260.0
2026-08-06,6655.0
2026-08-07,6305.0
2026-08-17,6990.0
2026-08-21,5580.0
2026-08-24,5715.0
2026-08-25,7165.0
2026-09-08,5860.0
2026-09-09,5485.0
2026-09-10,5995.0
2026-09-12,6395.0
2026-09-14,6450.0
2026-09-17,6495.0
2026-09-18,5250.0
2026-09-19,6040.0
