date,price
2025-01-01,5475.0
2025-01-02,5385.0
2025-01-03,5535.0
2025-01-04,5455.0
2025-01-06,5440.0
2025-01-07,5390.0
2025-01-08,5325.0
2025-01-09,5375.0
2025-01-10,5360.0
2025-01-11,5345.0
2025-01-13,5315.0
2025-01-15,5420.0
2025-01-16,5545.0
2025-01-17,5505.0
2025-01-18,5490.0
2025-01-20,5365.0
2025-01-21,5415.0
2025-01-22,5360.0
2025-01-23,5530.0
2025-01-24,5380.0
2025-01-25,5515.0
2025-01-27,5530.0
2025-01-28,5440.0
2025-01-29,5400.0
2025-01-30,5240.0
2025-01-31,5390.0
2025-02-01,5115.0
2025-02-03,5215.0
2025-02-04,5205.0
2025-02-05,5470.0
2025-02-06,5470.0
2025-02-07,5520.0
2025-02-08,5370.0
2025-02-10,5395.0
2025-02-11,5365.0
2025-02-12,5460.0
2025-02-13,5465.0
2025-02-14,5295.0
2025-02-15,5290.0
2025-02-17,5420.0
2025-02-18,5315.0
2025-02-19,5365.0
2025-02-20,5350.0
2025-02-21,5340.0
2025-02-22,5295.0
2025-02-24,5340.0
2025-02-25,5315.0
2025-02-27,5350.0
2025-02-28,5360.0
2025-03-01,5350.0
2025-03-03,5310.0
2025-03-04,5310.0
2025-03-05,5175.0
2025-03-06,5185.0
2025-03-07,5220.0
2025-03-08,5190.0
2025-03-10,5190.0
2025-03-11,5105.0
2025-03-12,5130.0
2025-03-21,5170.0
2025-03-22,5135.0
2025-03-24,5195.0
2025-03-25,5225.0
2025-03-26,5140.0
2025-03-27,5115.0
2025-03-28,4995.0
2025-03-29,4875.0
2025-03-31,4990.0
2025-04-01,5080.0
2025-04-02,5090.0
2025-04-03,4920.0
2025-04-04,5065.0
2025-04-05,5090.0
2025-04-07,5105.0
2025-04-08,5035.0
2025-04-15,5190.0
2025-04-16,5115.0
2025-04-17,5105.0
2025-04-18,4940.0
2025-04-19,5105.0
2025-04-21,4860.0
2025-04-22,5090.0
2025-04-23,5060.0
2025-04-24,5185.0
2025-04-25,5115.0
2025-05-05,5000.0
2025-05-06,5125.0
2025-05-13,4850.0
2025-05-19,4885.0
2025-05-20,4840.0
2025-05-21,4785.0
2025-05-22,4895.0
2025-05-29,4985.0
2025-05-30,4755.0
2025-06-03,4875.0
2025-06-05,4650.0
2025-06-07,4880.0
2025-06-09,4855.0
2025-06-10,4865.0
2025-06-11,4730.0
2025-06-12,4580.0
2025-06-13,4580.0
2025-06-14,4770.0
2025-06-16,4680.0
2025-06-17,4880.0
2025-06-18,4815.0
2025-06-19,5030.0
2025-06-20,4755.0
2025-06-21,4770.0
2025-06-23,5040.0
2025-06-24,5105.0
2025-06-25,4880.0
2025-06-26,5140.0
2025-06-28,4905.0
2025-06-30,5000.0
2025-07-01,4915.0
2025-07-02,5135.0
2025-07-03,4875.0
2025-07-04,4785.0
2025-07-05,5125.0
2025-07-07,4830.0
2025-07-15,5485.0
2025-07-16,5170.0
2025-07-17,4980.0
2025-07-18,5020.0
2025-07-19,5230.0
2025-07-24,4940.0
2025-07-28,4910.0
2025-07-29,5290.0
2025-07-30,4830.0
2025-08-05,4665.0
2025-08-06,5215.0
2025-08-11,5135.0
2025-08-12,4885.0
2025-08-25,4930.0
2025-09-04,4250.0
2025-09-08,4280.0
2025-09-09,4690.0
2025-09-10,4355.0
2025-09-11,4245.0
2025-09-12,4105.0
2025-09-13,3855.0
2025-09-15,4220.0
2025-09-16,8750.0
2025-09-17,3930.0
2025-09-18,4105.0
2025-09-19,4065.0
2025-09-20,4375.0
2025-09-22,4265.0
2025-09-23,4105.0
2025-09-24,4115.0
2025-09-25,4355.0
2025-09-26,4095.0
2025-09-27,5200.0
2025-09-29,4210.0
2025-09-30,4205.0
2025-10-01,4605.0
2025-10-03,4775.0
2025-10-04,4525.0
2025-10-06,4655.0
2025-10-08,4290.0
2025-10-09,4285.0
2025-10-10,4340.0
2025-10-11,4800.0
2025-10-13,5250.0
2025-10-14,5155.0
2025-10-15,5190.0
2025-10-16,4715.0
2025-10-27,5325.0
2025-10-28,5850.0
2025-10-29,5115.0
2025-11-04,5080.0
2025-11-05,5135.0
2025-11-11,5295.0
2025-11-14,6265.0
2025-11-15,6385.0
2025-11-17,6025.0
2025-11-18,5770.0
2025-11-25,6065.0
2025-11-26,6065.0
2025-11-27,6370.0
2025-12-01,5990.0
2025-12-03,6035.0
2025-12-04,5895.0
2025-12-06,5950.0
2025-12-08,6470.0
2025-12-09,6255.0
2025-12-10,6370.0
2025-12-11,6290.0
2025-12-12,6445.0
2025-12-13,6375.0
2025-12-15,5895.0
2025-12-16,5950.0
2025-12-17,6140.0
2025-12-18,6345.0
2025-12-19,6440.0
2025-12-20,6530.0
2025-12-22,6575.0
2025-12-23,6605.0
2025-12-25,6585.0
2025-12-26,6445.0
2025-12-27,6590.0
2025-12-29,6705.0
2025-12-30,6760.0
2025-12-31,6735.0
2026-01-01,6770.0
2026-01-02,6845.0
2026-01-03,6590.0
2026-01-05,6290.0
2026-01-06,6295.0
2026-01-07,6580.0
2026-01-08,6405.0
2026-01-09,6475.0
2026-01-10,6295.0
2026-01-12,6485.0
2026-01-13,6490.0
2026-01-15,6335.0
2026-01-16,6520.0
2026-01-19,6630.0
2026-01-20,6785.0
2026-01-21,6520.0
2026-01-22,6870.0
2026-01-23,6520.0
2026-01-24,6705.0
2026-01-27,7355.0
2026-01-28,7565.0
2026-01-29,7745.0
2026-01-30,7735.0
2026-01-31,7585.0
2026-02-02,7470.0
2026-02-03,7275.0
2026-02-07,7165.0
2026-02-09,7295.0
2026-02-10,7320.0
2026-02-11,7050.0
2026-02-12,6880.0
2026-02-13,7255.0
2026-02-14,7020.0
2026-02-16,7190.0
2026-02-17,7265.0
2026-02-18,7175.0
2026-02-19,7435.0
2026-02-20,6625.0
2026-02-21,7025.0
2026-02-23,7220.0
2026-02-24,7225.0
2026-02-25,7200.0
2026-02-26,7210.0
2026-02-27,6885.0
2026-02-28,6905.0
2026-03-02,6935.0
2026-03-05,7250.0
2026-03-06,6740.0
2026-03-07,6250.0
2026-03-09,7200.0
2026-03-10,7125.0
2026-03-11,7035.0
2026-03-12,6880.0
2026-03-13,6905.0
2026-03-14,7190.0
2026-03-16,6755.0
2026-03-17,7070.0
2026-03-18,6455.0
2026-03-19,7250.0
2026-03-20,7010.0
2026-03-21,6575.0
2026-03-23,6800.0
2026-03-24,5755.0
2026-03-25,5625.0
2026-04-01,6895.0
2026-04-03,6640.0
2026-04-06,6810.0
2026-04-07,6240.0
2026-04-08,7035.0
2026-04-09,6270.0
2026-04-10,6810.0
2026-04-11,6945.0
2026-04-15,6155.0
2026-04-16,6455.0
2026-04-17,6180.0
2026-04-18,6390.0
2026-04-21,6555.0
2026-04-22,6875.0
2026-04-24,5890.0
2026-04-25,5805.0
2026-04-30,5865.0
2026-05-01,5875.0
2026-05-02,5500.0
2026-05-04,5750.0
2026-05-05,5740.0
2026-05-06,6075.0
2026-05-08,6560.0
2026-05-09,6075.0
2026-05-11,6210.0
2026-05-14,7480.0
2026-05-15,7095.0
2026-05-19,5125.0
