date,price
2025-01-02,5412.0
2025-01-03,5462.0
2025-01-04,5487.0
2025-01-06,5725.0
2025-01-07,5637.0
2025-01-08,5750.0
2025-01-09,5562.0
2025-01-10,5637.0
2025-01-11,5662.0
2025-01-13,5650.0
2025-01-15,5600.0
2025-01-16,5612.0
2025-01-17,5625.0
2025-01-18,6000.0
2025-01-20,5812.0
2025-01-21,5612.0
2025-01-22,5900.0
2025-01-23,5562.0
2025-01-24,5837.0
2025-01-25,5787.0
2025-01-27,5800.0
2025-01-28,5775.0
2025-01-29,5775.0
2025-01-30,5737.0
2025-01-31,5687.0
2025-02-01,5750.0
2025-02-03,5662.0
2025-02-04,5600.0
2025-02-05,5637.0
2025-02-06,5525.0
2025-02-07,5503.0
2025-02-08,5675.0
2025-02-10,5337.0
2025-02-11,5550.0
2025-02-12,5500.0
2025-02-13,5662.0
2025-02-14,5625.0
2025-02-15,5500.0
2025-02-17,5650.0
2025-02-18,5625.0
2025-02-19,5750.0
2025-02-20,5237.0
2025-02-21,5325.0
2025-02-22,5625.0
2025-02-24,5625.0
2025-02-25,5600.0
2025-02-28,5737.0
2025-03-03,5825.0
2025-03-05,5750.0
2025-03-06,5825.0
2025-03-07,5825.0
2025-03-10,5987.0
2025-03-11,5675.0
2025-03-20,5925.0
2025-03-24,5500.0
2025-04-28,6120.0
2025-05-22,5530.0
2025-06-02,6303.0
2025-06-04,6297.0
2025-06-05,6287.0
2025-06-06,6240.0
2025-06-07,6002.0
2025-06-09,6240.0
2025-06-13,6138.0
2025-06-14,6228.0
2025-06-16,6130.0
2025-06-17,6000.0
2025-06-18,6087.0
2025-06-19,6215.0
2025-06-23,6242.0
2025-06-26,6187.0
2025-06-27,5927.0
2025-06-28,6002.0
2025-06-30,5627.0
2025-07-01,6187.0
2025-07-02,6052.0
2025-07-04,5772.0
2025-07-07,5627.0
2025-07-08,5662.0
2025-07-09,5900.0
2025-07-11,6063.0
2025-07-12,6075.0
2025-07-14,6327.0
2025-07-16,5927.0
2025-07-22,5500.0
2025-07-23,5372.0
2025-07-24,4875.0
2025-07-25,5225.0
2025-07-28,5427.0
2025-07-29,4987.0
2025-07-31,5377.0
2025-08-05,5250.0
2025-08-11,5125.0
2025-08-12,4750.0
2025-09-20,5552.0
2025-09-22,5765.0
2025-09-23,5715.0
2025-09-25,5250.0
2025-09-27,5567.0
2025-09-30,6062.0
2025-10-01,5855.0
2025-10-03,6077.0
2025-10-04,6105.0
2025-10-06,6090.0
2025-10-07,6065.0
2025-10-08,5985.0
2025-10-09,6137.0
2025-10-10,5907.0
2025-10-11,5950.0
2025-10-13,5957.0
2025-11-03,5752.0
2025-11-04,5815.0
2025-11-05,5828.0
2025-11-08,5628.0
2026-01-09,6878.0
2026-01-10,6855.0
2026-01-13,6415.0
2026-01-20,6853.0
2026-01-22,6852.0
2026-01-23,7500.0
2026-01-24,7052.0
2026-01-27,6550.0
2026-01-29,7125.0
2026-01-31,7303.0
2026-02-02,7600.0
2026-02-03,7763.0
2026-02-06,7375.0
2026-02-13,8752.0
2026-02-14,6687.0
2026-05-18,8038.0
2026-05-19,8200.0
2026-05-20,8663.0
2026-05-21,8650.0
2026-05-22,8853.0
2026-05-23,8625.0
2026-05-25,7625.0
2026-05-26,7050.0
2026-05-27,7902.0
2026-05-29,8118.0
2026-05-30,8175.0
2026-06-01,7340.0
2026-06-02,7880.0
2026-06-03,8020.0
2026-06-04,7830.0
2026-06-05,7852.0
2026-06-06,8155.0
2026-06-10,7025.0
2026-06-11,7840.0
2026-06-12,7900.0
2026-06-13,7318.0
2026-06-15,7500.0
2026-06-16,7512.0
2026-06-18,6900.0
2026-06-19,7125.0
2026-06-20,6938.0
2026-06-22,7263.0
