date,price
2025-01-01,5665.0
2025-01-02,5500.0
2025-01-03,5425.0
2025-01-04,5475.0
2025-01-06,5715.0
2025-01-07,5500.0
2025-01-08,5390.0
2025-01-09,5425.0
2025-01-11,5550.0
2025-01-15,5675.0
2025-01-17,5835.0
2025-01-18,5760.0
2025-01-20,5490.0
2025-01-21,5480.0
2025-01-22,5490.0
2025-01-23,5335.0
2025-01-24,5520.0
2025-01-25,5285.0
2025-01-27,5350.0
2025-01-28,5295.0
2025-01-29,5235.0
2025-01-30,5270.0
2025-02-01,5330.0
2025-02-03,5210.0
2025-02-04,5275.0
2025-02-05,5315.0
2025-02-06,5775.0
2025-02-07,5280.0
2025-02-10,5345.0
2025-02-11,5430.0
2025-02-12,5250.0
2025-02-13,5375.0
2025-02-14,5280.0
2025-02-15,5200.0
2025-02-17,5330.0
2025-02-18,5200.0
2025-02-19,5200.0
2025-02-20,5350.0
2025-02-21,5500.0
2025-02-22,5390.0
2025-02-24,5385.0
2025-02-25,5200.0
2025-02-27,5310.0
2025-02-28,5185.0
2025-03-04,5260.0
2025-03-05,5110.0
2025-03-07,5305.0
2025-03-08,5410.0
2025-03-10,5300.0
2025-03-17,5205.0
2025-03-21,5285.0
2025-03-22,5250.0
2025-03-25,5255.0
2025-04-01,5380.0
2025-04-02,5300.0
2025-04-03,5345.0
2025-04-04,5250.0
2025-04-07,5295.0
2025-04-08,5285.0
2025-04-09,5300.0
2025-04-11,5285.0
2025-04-16,5250.0
2025-04-19,5275.0
2025-04-21,5235.0
2025-04-23,5045.0
2025-04-24,5055.0
2025-04-25,5105.0
2025-04-26,5085.0
2025-04-28,5095.0
2025-04-29,5000.0
2025-04-30,5110.0
2025-05-01,5085.0
2025-05-02,4830.0
2025-05-03,4960.0
2025-05-05,5020.0
2025-05-06,4995.0
2025-05-07,5030.0
2025-05-09,5030.0
2025-05-10,5070.0
2025-05-12,5270.0
2025-05-14,5065.0
2025-05-15,5075.0
2025-05-16,5115.0
2025-05-17,5110.0
2025-05-19,5240.0
2025-05-20,5125.0
2025-05-21,5120.0
2025-05-22,5250.0
2025-05-23,5290.0
2025-05-24,5060.0
2025-05-26,5100.0
2025-05-28,5205.0
2025-05-29,5225.0
2025-05-30,5160.0
2025-05-31,5110.0
2025-06-02,5225.0
2025-06-03,5200.0
2025-06-04,5160.0
2025-06-05,5270.0
2025-06-09,5310.0
2025-06-10,5225.0
2025-06-11,5300.0
2025-06-12,5330.0
2025-06-13,5230.0
2025-06-14,5225.0
2025-06-16,5495.0
2025-06-17,5260.0
2025-06-18,5450.0
2025-06-19,5350.0
2025-06-20,5345.0
2025-06-21,5280.0
2025-06-23,5300.0
2025-06-24,5330.0
2025-06-25,5495.0
2025-06-26,5500.0
2025-06-27,5195.0
2025-06-28,5260.0
2025-06-30,5130.0
2025-07-01,5325.0
2025-07-02,5255.0
2025-07-03,5380.0
2025-07-04,5500.0
2025-07-05,5355.0
2025-07-07,5375.0
2025-07-08,5255.0
2025-07-09,5180.0
2025-07-10,5180.0
2025-07-11,5260.0
2025-07-12,5705.0
2025-07-14,5705.0
2025-07-15,5710.0
2025-07-16,5495.0
2025-07-17,5230.0
2025-07-18,5300.0
2025-07-19,5450.0
2025-07-21,5345.0
2025-07-22,5415.0
2025-07-23,5410.0
2025-07-24,5320.0
2025-07-25,5230.0
2025-07-26,5355.0
2025-07-28,5330.0
2025-07-29,5300.0
2025-07-30,5255.0
2025-07-31,5255.0
2025-08-02,5165.0
2025-08-04,5180.0
2025-08-05,5125.0
2025-08-06,5105.0
2025-08-07,5250.0
2025-08-08,4500.0
2025-08-11,5010.0
2025-08-12,4450.0
2025-08-22,5000.0
2025-08-25,5270.0
2025-08-27,5195.0
2025-08-28,5375.0
2025-08-30,4275.0
2025-09-01,4900.0
2025-09-02,5000.0
2025-09-04,4820.0
2025-09-06,4755.0
2025-09-08,4000.0
2025-09-10,4875.0
2025-09-12,4780.0
2025-09-13,4800.0
2025-09-16,4760.0
2025-09-17,4500.0
2025-09-18,4380.0
2025-09-19,4480.0
2025-09-20,4070.0
2025-09-25,4165.0
2025-09-26,4160.0
2025-09-27,4125.0
2025-09-29,4000.0
2025-10-01,3890.0
2025-10-03,4000.0
2025-10-04,4100.0
2025-10-08,4560.0
2025-10-10,4625.0
2025-10-14,4610.0
2025-10-27,5045.0
2025-10-29,5500.0
2025-11-01,5380.0
2025-11-03,5160.0
2025-11-04,5060.0
2025-11-11,5330.0
2025-11-13,6530.0
2025-11-14,5500.0
2025-11-15,5400.0
2025-11-17,5350.0
2025-11-18,5400.0
2025-11-19,5340.0
2025-11-20,5345.0
2025-11-21,5580.0
2025-11-22,5500.0
2025-11-26,5400.0
2025-11-27,5450.0
2025-11-28,5250.0
2025-11-29,5400.0
2025-12-01,5350.0
2025-12-02,5240.0
2025-12-08,5280.0
2025-12-09,5500.0
2025-12-10,5600.0
2025-12-11,5500.0
2025-12-15,5500.0
2025-12-16,5350.0
2025-12-18,5650.0
2025-12-19,5650.0
2025-12-23,6975.0
2025-12-25,5780.0
2026-01-05,6100.0
2026-01-07,6000.0
2026-01-08,6100.0
2026-01-21,6500.0
2026-02-03,7250.0
2026-02-04,7200.0
2026-02-06,6800.0
2026-02-07,7075.0
2026-02-10,7400.0
2026-02-11,7350.0
2026-02-12,7525.0
2026-02-13,7150.0
2026-02-14,6900.0
2026-02-16,7175.0
2026-02-17,7200.0
2026-03-03,7075.0
