date,price
2026-02-19,6675.0
2026-02-20,6600.0
2026-02-21,6500.0
2026-02-23,6500.0
2026-02-24,6650.0
2026-02-25,7200.0
2026-02-26,7200.0
2026-02-27,7400.0
2026-02-28,6700.0
2026-03-02,7100.0
2026-03-05,7150.0
2026-03-06,6850.0
2026-03-07,7100.0
2026-03-09,7200.0
2026-03-10,7150.0
2026-03-11,7000.0
2026-03-12,7325.0
2026-03-13,7300.0
2026-03-14,7100.0
2026-03-16,7350.0
2026-03-17,7250.0
2026-03-18,7275.0
2026-03-19,7250.0
2026-03-23,7525.0
2026-03-24,7400.0
2026-03-25,7375.0
2026-04-03,7125.0
2026-04-04,7500.0
2026-04-06,7400.0
2026-04-07,7750.0
2026-04-08,7400.0
2026-04-09,7575.0
2026-04-10,7250.0
2026-04-11,7350.0
2026-04-13,7550.0
2026-04-15,7100.0
2026-04-16,7500.0
2026-04-17,7450.0
2026-04-18,7400.0
2026-04-20,7500.0
2026-04-21,7375.0
2026-04-22,7125.0
2026-04-23,6725.0
2026-04-24,7100.0
2026-04-25,7250.0
2026-04-27,6625.0
2026-04-28,6500.0
2026-04-29,7150.0
2026-04-30,6775.0
2026-05-01,7550.0
2026-05-02,7050.0
2026-05-04,7000.0
2026-05-05,7225.0
2026-05-06,7000.0
2026-05-07,7050.0
2026-05-08,7275.0
2026-05-09,6675.0
2026-05-11,7025.0
2026-05-12,7250.0
2026-05-13,6800.0
2026-05-14,7375.0
2026-05-15,7275.0
2026-05-16,7175.0
2026-05-18,7350.0
2026-05-19,6875.0
2026-05-20,7025.0
2026-05-21,7000.0
2026-05-22,7250.0
2026-05-23,7600.0
2026-05-29,6800.0
2026-05-30,6650.0
2026-06-01,7175.0
2026-06-02,7125.0
2026-06-03,7375.0
2026-06-04,7350.0
2026-06-05,6625.0
2026-06-06,6650.0
2026-06-08,7400.0
2026-06-09,6400.0
2026-06-10,6800.0
2026-06-11,7000.0
2026-06-12,6925.0
2026-06-13,7000.0
2026-06-15,7000.0
2026-06-16,7100.0
2026-06-17,6375.0
2026-06-18,6375.0
2026-06-19,6750.0
2026-06-20,6650.0
2026-06-22,6025.0
2026-06-23,6700.0
2026-06-24,6575.0
2026-06-27,6750.0
2026-06-30,6625.0
2026-07-01,7300.0
2026-07-02,6625.0
2026-07-03,6550.0
2026-07-04,6500.0
2026-07-06,7600.0
2026-07-07,6700.0
2026-07-08,6700.0
2026-07-09,6500.0
2026-07-10,7000.0
2026-07-11,6600.0
2026-07-13,6900.0
2026-07-14,6775.0
2026-07-15,6875.0
2026-07-16,6600.0
2026-07-17,6400.0
2026-07-18,6425.0
2026-07-20,7125.0
2026-07-21,7500.0
2026-07-22,6675.0
2026-07-23,6900.0
2026-07-25,7000.0
2026-07-27,7350.0
2026-07-28,6550.0
2026-07-29,6225.0
2026-07-30,7000.0
2026-07-31,6225.0
2026-08-03,7850.0
2026-08-04,6625.0
2026-08-05,6500.0
2026-08-06,6225.0
2026-08-07,6650.0
2026-08-08,6750.0
2026-08-10,7050.0
2026-08-11,6750.0
2026-08-12,6675.0
2026-08-13,6975.0
2026-08-14,6875.0
2026-08-17,6750.0
2026-08-18,6775.0
2026-08-19,7000.0
2026-08-20,6600.0
2026-08-21,6100.0
2026-08-22,6575.0
2026-08-24,6725.0
2026-08-25,6625.0
2026-08-29,5600.0
2026-08-31,6725.0
2026-09-01,6625.0
2026-09-07,6525.0
2026-09-08,6600.0
2026-09-09,6825.0
2026-09-10,7100.0
2026-09-12,6725.0
2026-09-14,6950.0
2026-09-15,7200.0
2026-09-16,6575.0
2026-09-17,6950.0
2026-09-18,6350.0
2026-09-19,6550.0
2026-09-21,7275.0
2026-09-22,6950.0
