date,price
2025-01-02,4900.0
2025-01-04,4900.0
2025-01-06,5100.0
2025-01-07,5000.0
2025-01-08,5000.0
2025-01-09,5050.0
2025-01-10,5000.0
2025-01-17,5300.0
2025-01-18,5100.0
2025-01-20,4600.0
2025-01-21,5200.0
2025-01-22,5200.0
2025-01-23,5250.0
2025-01-24,4600.0
2025-01-27,5000.0
2025-01-28,5300.0
2025-01-29,5000.0
2025-01-30,4000.0
2025-01-31,5000.0
2025-02-01,4300.0
2025-02-04,4400.0
2025-02-05,4350.0
2025-02-06,4400.0
2025-02-07,4500.0
2025-02-08,5000.0
2025-02-10,4800.0
2025-02-11,4700.0
2025-02-12,5000.0
2025-02-13,4800.0
2025-02-14,4800.0
2025-02-15,4300.0
2025-02-20,4800.0
2025-02-21,4000.0
2025-02-22,4300.0
2025-02-25,4200.0
2025-02-27,4400.0
2025-02-28,4650.0
2025-03-01,4300.0
2025-03-03,4450.0
2025-03-04,4500.0
2025-03-05,4500.0
2025-03-07,4900.0
2025-03-08,5000.0
2025-03-10,4950.0
2025-03-11,5000.0
2025-03-20,4000.0
2025-03-21,4950.0
2025-03-22,4900.0
2025-03-24,4950.0
2025-04-01,4900.0
2025-04-02,4900.0
2025-04-05,4950.0
2025-04-07,5000.0
2025-04-10,4450.0
2025-04-18,4400.0
2025-04-19,4650.0
2025-05-01,4800.0
2025-05-02,4500.0
2025-05-03,4700.0
2025-05-05,4400.0
2025-05-06,4800.0
2025-05-07,4800.0
2025-05-08,4500.0
2025-05-09,4200.0
2025-05-10,4500.0
2025-05-12,4900.0
2025-05-15,4800.0
2025-05-16,4350.0
2025-05-17,4800.0
2025-05-23,5020.0
2025-05-24,4700.0
2025-05-29,4650.0
2025-05-30,5100.0
2025-05-31,4900.0
2025-06-02,4350.0
2025-06-03,4600.0
2025-06-14,4900.0
2025-06-17,4500.0
2025-06-20,4400.0
2025-06-21,4900.0
2025-06-23,4900.0
2025-06-24,5600.0
2025-06-25,5000.0
2025-06-26,4800.0
2025-06-27,5000.0
2025-06-28,4600.0
2025-07-02,4900.0
2025-07-04,4700.0
2025-07-05,4500.0
2025-07-07,4250.0
2025-07-09,4800.0
2025-07-10,4500.0
2025-07-11,4400.0
2025-07-12,4750.0
