date,price
2025-01-01,5750.0
2025-01-03,5600.0
2025-01-04,5405.0
2025-01-07,5755.0
2025-01-09,5660.0
2025-01-10,5805.0
2025-01-15,5855.0
2025-01-20,5605.0
2025-01-28,5500.0
2025-01-29,5555.0
2025-06-02,5200.0
2025-06-09,5755.0
2025-06-10,5780.0
2025-06-12,5755.0
2025-06-13,5780.0
2025-06-14,6000.0
2025-06-16,5750.0
2025-06-17,6250.0
2025-06-18,5755.0
2025-06-19,5755.0
2025-06-20,5755.0
2025-06-21,5725.0
2025-06-23,5500.0
2025-06-24,5755.0
2025-06-25,4500.0
2025-06-28,5755.0
2025-06-30,6060.0
2025-07-01,6400.0
2025-07-02,5255.0
2025-07-07,5125.0
2025-07-11,5255.0
2025-07-12,4105.0
2025-07-14,6000.0
2025-07-15,3500.0
2025-07-16,3575.0
2025-07-18,3505.0
2025-07-19,3755.0
2025-07-22,3500.0
2025-07-23,3500.0
2025-07-24,3605.0
2025-07-26,3750.0
2025-07-28,4255.0
2025-07-29,4135.0
2025-07-31,3725.0
2025-08-01,3805.0
2025-08-02,3955.0
2025-08-04,3740.0
2025-08-05,3850.0
2025-08-07,4000.0
2025-08-08,4000.0
2025-08-11,3970.0
2025-08-12,4205.0
2025-08-13,4350.0
2025-08-19,4150.0
2025-08-23,4400.0
2025-10-08,4250.0
2025-10-09,5755.0
2025-10-10,4405.0
2025-10-14,5200.0
2025-10-15,5175.0
2025-10-16,5150.0
2025-10-29,5200.0
2025-10-30,5025.0
2025-11-01,5335.0
2025-11-03,5065.0
2025-11-04,4405.0
2025-11-06,5125.0
2025-11-07,5300.0
2025-11-08,5510.0
2025-11-10,5505.0
2025-11-11,5550.0
2025-11-12,5360.0
2025-11-13,5750.0
2025-11-14,5850.0
2025-11-15,5800.0
2025-11-17,5850.0
2025-11-19,5975.0
2025-11-20,5950.0
2025-11-21,6055.0
2025-11-22,6425.0
2025-11-24,6405.0
2025-11-25,6375.0
2025-11-26,6300.0
2025-11-27,6305.0
2025-11-28,6325.0
2025-11-29,6375.0
2025-12-01,6500.0
2025-12-02,6355.0
2025-12-03,6330.0
2025-12-05,6175.0
2025-12-06,6255.0
2025-12-08,6150.0
2025-12-09,6300.0
2025-12-10,6205.0
2025-12-11,6400.0
2025-12-12,6500.0
2025-12-13,6300.0
2025-12-15,6650.0
2025-12-16,6255.0
2025-12-17,6500.0
2025-12-18,6240.0
2025-12-19,5885.0
2025-12-20,6250.0
2025-12-22,6200.0
2025-12-23,6500.0
2025-12-26,6355.0
2025-12-27,6190.0
2025-12-29,6455.0
2025-12-30,6500.0
2025-12-31,7200.0
2026-01-02,6850.0
2026-01-05,6450.0
2026-01-06,6375.0
2026-01-08,6755.0
2026-01-09,7055.0
2026-01-10,5500.0
2026-01-17,5965.0
2026-01-19,6275.0
2026-05-22,6755.0
2026-05-26,8605.0
2026-05-27,6755.0
2026-05-29,8500.0
2026-05-30,6900.0
2026-06-01,8300.0
2026-06-02,6650.0
2026-06-03,6850.0
2026-06-04,7255.0
2026-06-05,7000.0
2026-06-06,7055.0
2026-06-08,7305.0
2026-06-09,7450.0
2026-06-10,7555.0
2026-06-11,8125.0
2026-06-12,7205.0
2026-06-13,7230.0
2026-06-15,7025.0
2026-06-16,7300.0
2026-06-17,6755.0
2026-06-18,6855.0
2026-06-19,7855.0
2026-06-22,6850.0
2026-06-23,6875.0
2026-06-24,6755.0
2026-06-25,6905.0
2026-06-27,7255.0
2026-06-30,7255.0
2026-07-01,8405.0
2026-07-02,7000.0
2026-07-03,7005.0
2026-07-06,5500.0
2026-07-07,5905.0
2026-07-14,7005.0
