date,price
2025-01-28,5105.0
2025-01-30,5000.0
2025-01-31,5000.0
2025-02-01,4625.0
2025-02-03,4500.0
2025-02-04,5050.0
2025-02-05,5060.0
2025-02-06,5050.0
2025-02-07,5150.0
2025-02-08,5000.0
2025-02-10,5100.0
2025-02-11,5000.0
2025-02-12,5000.0
2025-02-14,5000.0
2025-02-15,5175.0
2025-02-17,4850.0
2025-02-18,4000.0
2025-02-20,4750.0
2025-02-21,5150.0
2025-02-22,4500.0
2025-02-24,4650.0
2025-02-25,4750.0
2025-02-27,4500.0
2025-06-19,5750.0
2025-06-20,5750.0
2025-07-12,4780.0
2025-09-19,5100.0
2025-09-22,5050.0
2025-09-23,5175.0
2025-09-24,5200.0
2025-09-25,5320.0
2025-09-26,5065.0
2025-09-27,5130.0
2025-09-29,5300.0
2025-09-30,5000.0
2025-10-01,5250.0
2025-10-03,5150.0
2025-10-04,5175.0
2025-10-06,5080.0
2025-10-07,5000.0
2025-10-08,4900.0
2025-10-09,4850.0
2025-10-10,4850.0
2025-10-11,4900.0
2025-10-13,5000.0
2025-10-14,4750.0
2025-10-15,5000.0
2025-10-16,5125.0
2025-10-27,5250.0
2025-10-28,5250.0
2025-10-30,5250.0
2025-10-31,5300.0
2025-11-01,5335.0
2025-11-03,5300.0
2025-11-04,5250.0
2025-11-05,5125.0
2025-11-06,5150.0
2025-11-07,5150.0
2025-11-08,5125.0
2025-11-10,5250.0
2025-11-11,5150.0
2025-11-12,5050.0
2025-11-13,5250.0
2025-11-14,5350.0
2025-11-17,5050.0
2025-11-18,5150.0
2025-11-19,5250.0
2025-11-20,5100.0
2025-11-21,5200.0
2025-11-22,5250.0
2025-11-24,5200.0
2025-11-25,5250.0
2025-11-26,5250.0
2025-11-27,5250.0
2025-11-28,5300.0
2025-11-29,5300.0
2025-12-01,5250.0
2025-12-02,5250.0
2025-12-03,5250.0
2025-12-04,5250.0
2025-12-05,5250.0
2025-12-06,5350.0
2025-12-08,5300.0
2025-12-09,5250.0
2025-12-10,5300.0
2025-12-11,5400.0
2025-12-12,5350.0
2025-12-13,5350.0
2025-12-15,5350.0
2025-12-16,5400.0
2025-12-17,5400.0
2025-12-18,5350.0
2025-12-19,5400.0
2025-12-20,5400.0
2025-12-22,5400.0
2025-12-23,5425.0
2025-12-24,5450.0
2025-12-25,5500.0
2025-12-26,5400.0
2025-12-27,5450.0
2025-12-29,6000.0
2025-12-30,5500.0
2025-12-31,5500.0
2026-01-01,5750.0
2026-01-02,5900.0
2026-01-03,6000.0
2026-01-05,5900.0
2026-01-06,6000.0
2026-01-07,6200.0
2026-01-08,5650.0
2026-01-09,5750.0
2026-01-10,5750.0
2026-01-12,5750.0
2026-01-13,5750.0
2026-01-15,5750.0
2026-01-16,5900.0
2026-01-17,5900.0
2026-01-19,5900.0
2026-01-20,5500.0
2026-01-21,5850.0
2026-01-22,6000.0
2026-01-23,5950.0
2026-01-24,6250.0
2026-01-27,6250.0
2026-01-28,7000.0
2026-01-29,7000.0
2026-01-30,6500.0
2026-01-31,7000.0
2026-02-02,6750.0
2026-02-03,6750.0
2026-02-04,6750.0
2026-02-05,6500.0
2026-02-06,6500.0
2026-02-07,6555.0
2026-02-09,6750.0
2026-02-10,6850.0
2026-02-11,6750.0
2026-02-12,6750.0
2026-02-13,6700.0
2026-02-14,6795.0
2026-02-16,6750.0
2026-02-17,6900.0
2026-02-18,6800.0
2026-02-19,6750.0
2026-02-20,6900.0
2026-02-21,6800.0
2026-02-23,6625.0
2026-02-25,6765.0
2026-02-26,6750.0
2026-02-27,6500.0
2026-02-28,6250.0
2026-03-02,6500.0
2026-03-06,6330.0
2026-03-07,6450.0
2026-06-05,7000.0
2026-09-12,7500.0
