date,price
2025-01-02,5065.0
2025-01-03,5190.0
2025-01-04,5190.0
2025-01-06,5140.0
2025-01-07,5140.0
2025-01-08,5190.0
2025-01-09,5205.0
2025-01-10,5290.0
2025-01-11,5240.0
2025-01-15,4895.0
2025-01-16,5025.0
2025-01-20,5240.0
2025-01-21,5175.0
2025-01-22,5215.0
2025-01-23,5090.0
2025-01-27,5115.0
2025-01-28,5065.0
2025-01-29,5180.0
2025-01-30,5130.0
2025-01-31,5065.0
2025-02-04,5165.0
2025-02-05,5255.0
2025-02-07,5210.0
2025-02-11,5190.0
2025-02-12,4790.0
2025-02-13,4685.0
2025-02-14,4835.0
2025-02-15,4680.0
2025-02-17,4915.0
2025-02-18,4765.0
2025-02-19,5080.0
2025-02-20,5050.0
2025-02-21,5120.0
2025-02-22,4990.0
2025-02-24,4990.0
2025-02-25,5015.0
2025-02-27,5095.0
2025-02-28,5095.0
2025-03-03,5330.0
2025-03-04,5120.0
2025-03-06,4865.0
2025-03-07,5015.0
2025-03-08,5290.0
2025-03-10,5115.0
2025-03-11,5140.0
2025-03-12,4895.0
2025-03-13,5035.0
2025-03-15,5100.0
2025-03-17,4965.0
2025-03-18,5185.0
2025-03-19,4775.0
2025-03-20,5035.0
2025-03-21,5080.0
2025-03-22,4840.0
2025-04-01,4715.0
2025-04-02,5515.0
2025-04-03,5130.0
2025-04-04,5220.0
2025-04-05,5440.0
2025-04-07,5130.0
2025-04-08,4915.0
2025-04-09,4995.0
2025-04-10,5040.0
2025-04-12,4925.0
2025-04-14,5180.0
2025-04-15,5580.0
2025-04-16,5460.0
2025-04-17,5340.0
2025-04-18,5365.0
2025-04-21,4915.0
2025-04-22,5340.0
2025-04-23,5090.0
2025-04-24,4940.0
2025-04-25,5365.0
2025-04-28,5455.0
2025-04-29,5090.0
2025-04-30,5205.0
2025-05-01,4930.0
2025-05-02,5455.0
2025-05-03,4995.0
2025-05-05,5255.0
2025-05-06,5275.0
2025-05-07,4315.0
2025-05-08,4340.0
2025-05-09,5365.0
2025-05-10,4490.0
2025-05-12,5340.0
2025-05-13,4890.0
2025-05-14,5530.0
2025-05-15,4915.0
2025-05-16,5380.0
2025-05-17,5290.0
2025-05-19,5250.0
2025-05-20,5465.0
2025-05-21,5075.0
2025-05-22,5015.0
2025-05-23,4505.0
2025-05-24,4605.0
2025-05-26,4905.0
2025-05-27,5365.0
2025-05-28,5415.0
2025-05-29,5180.0
2025-06-02,4890.0
2025-06-03,4915.0
2025-06-04,4540.0
2025-06-05,5415.0
2025-06-10,4715.0
2025-06-11,4715.0
2025-06-14,5045.0
2025-06-16,4605.0
2025-06-17,4715.0
2025-06-20,5115.0
2025-06-21,4875.0
2025-06-23,5065.0
2025-06-24,4880.0
2025-06-25,4740.0
2025-06-26,4740.0
2025-06-28,3765.0
2025-06-30,4090.0
2025-07-01,4040.0
2025-07-02,4245.0
2025-07-03,4355.0
2025-07-04,3990.0
2025-07-07,4285.0
2025-07-08,4315.0
2025-07-09,4815.0
2025-07-11,4540.0
2025-07-12,4970.0
2025-07-14,5040.0
2025-07-15,5140.0
2025-07-16,5050.0
2025-07-18,4290.0
2025-07-22,4715.0
2025-07-23,4505.0
2025-07-24,4305.0
2025-07-25,4515.0
2025-07-29,4390.0
2025-07-30,4505.0
2025-07-31,4890.0
2025-08-05,4915.0
2025-08-06,4415.0
2025-08-19,4030.0
2025-08-21,3810.0
2025-08-22,4740.0
2025-08-25,4090.0
2025-08-26,4855.0
2025-08-27,4615.0
2025-08-28,4640.0
2025-08-29,4215.0
2025-08-30,4590.0
2025-09-01,4315.0
2025-09-02,4165.0
2025-09-03,4345.0
2025-09-04,4130.0
2025-09-05,4070.0
2025-09-06,3715.0
2025-09-08,4115.0
2025-09-09,4245.0
2025-09-10,4210.0
2025-09-11,4465.0
2025-09-12,4790.0
2025-09-17,4390.0
2025-09-18,4215.0
2025-09-20,4190.0
2025-09-22,4045.0
2025-09-23,4215.0
2025-09-24,4165.0
2025-09-25,4290.0
2025-09-29,4195.0
2025-09-30,4105.0
2025-10-01,3790.0
2025-10-03,4465.0
2025-10-04,4625.0
2025-10-08,3990.0
2025-10-09,3990.0
2025-10-11,4365.0
2025-10-13,4565.0
2025-10-14,4765.0
2025-10-15,4540.0
2025-10-16,4990.0
2025-10-28,4040.0
2025-10-29,4665.0
2025-10-30,4665.0
2025-11-01,4565.0
2025-11-03,4890.0
2025-11-04,4790.0
2025-11-05,4715.0
2025-11-10,5080.0
2025-11-17,5625.0
2025-11-18,5655.0
2025-11-19,5585.0
2025-11-20,5690.0
2025-11-21,5540.0
2025-11-24,5545.0
2025-11-25,5615.0
2025-11-26,5650.0
2025-11-27,6240.0
2025-11-28,5995.0
2025-11-29,5950.0
2025-12-02,5960.0
2025-12-03,5845.0
2025-12-04,5925.0
2025-12-05,5990.0
2025-12-06,6010.0
2025-12-08,6065.0
2025-12-09,5965.0
2025-12-10,5865.0
2025-12-11,5965.0
2025-12-12,5990.0
2025-12-13,5990.0
2025-12-15,5915.0
2025-12-16,5840.0
2025-12-17,5940.0
2025-12-18,5880.0
2025-12-19,5515.0
2025-12-23,5945.0
2025-12-24,5740.0
2025-12-25,5955.0
2025-12-27,6015.0
2025-12-29,6015.0
2025-12-30,6040.0
2026-01-02,6140.0
2026-01-03,6140.0
2026-01-05,6165.0
2026-01-06,6065.0
2026-01-07,6025.0
2026-01-08,6090.0
2026-01-09,6265.0
2026-01-10,6090.0
2026-01-12,6095.0
2026-01-13,6050.0
2026-01-16,6240.0
2026-01-17,5990.0
2026-01-19,6140.0
2026-01-20,6390.0
2026-01-21,6215.0
2026-01-22,6375.0
2026-01-27,7490.0
2026-01-28,7520.0
2026-01-29,7515.0
2026-01-30,7415.0
2026-01-31,7215.0
2026-02-02,6915.0
