date,price
2025-01-02,5600.0
2025-01-03,5600.0
2025-01-04,5600.0
2025-01-06,5500.0
2025-01-07,5500.0
2025-01-08,5500.0
2025-01-09,5500.0
2025-01-11,5500.0
2025-01-15,5400.0
2025-01-16,5500.0
2025-01-17,5500.0
2025-01-20,5600.0
2025-01-21,5500.0
2025-01-23,5500.0
2025-01-24,5500.0
2025-01-25,5500.0
2025-01-27,5500.0
2025-01-28,5500.0
2025-01-29,5500.0
2025-01-30,5500.0
2025-02-01,5500.0
2025-02-03,5500.0
2025-02-04,5500.0
2025-02-05,5500.0
2025-02-06,5500.0
2025-02-07,5500.0
2025-02-08,5500.0
2025-02-10,5500.0
2025-02-11,5400.0
2025-02-14,5500.0
2025-02-15,5500.0
2025-02-17,5500.0
2025-02-18,5500.0
2025-02-19,5500.0
2025-02-20,5500.0
2025-02-21,5500.0
2025-02-22,5500.0
2025-02-24,5500.0
2025-02-25,5500.0
2025-02-27,5500.0
2025-02-28,5500.0
2025-03-01,5500.0
2025-03-03,5500.0
2025-03-04,5800.0
2025-03-05,5500.0
2025-03-06,5500.0
2025-03-07,5500.0
2025-03-08,5500.0
2025-03-10,5500.0
2025-03-11,5500.0
2025-03-13,5500.0
2025-03-15,5500.0
2025-03-17,5500.0
2025-03-18,5500.0
2025-03-19,5500.0
2025-03-21,5500.0
2025-03-22,5500.0
2025-03-24,5500.0
2025-03-25,5500.0
2025-03-26,5500.0
2025-03-27,5500.0
2025-03-28,5500.0
2025-03-29,5500.0
2025-04-01,5600.0
2025-04-03,5620.0
2025-04-04,5650.0
2025-04-05,5675.0
2025-04-07,5500.0
2025-04-08,5500.0
2025-04-09,5525.0
2025-04-11,5550.0
2025-04-12,5600.0
2025-04-14,5500.0
2025-04-15,5500.0
2025-04-16,5540.0
2025-04-17,5550.0
2025-04-19,5560.0
2025-04-21,5500.0
2025-04-22,5500.0
2025-04-23,5525.0
2025-04-24,5520.0
2025-04-25,5500.0
2025-04-26,5500.0
2025-04-30,5550.0
2025-05-01,5550.0
2025-05-02,5560.0
2025-05-03,5565.0
2025-05-05,5500.0
2025-05-06,5525.0
2025-05-07,5500.0
2025-05-08,5500.0
2025-05-09,5500.0
2025-05-10,5500.0
2025-05-12,5500.0
2025-05-13,5500.0
2025-05-14,5500.0
2025-05-15,5500.0
2025-05-16,5500.0
2025-05-17,5500.0
2025-05-19,5400.0
2025-05-20,5500.0
2025-05-21,5500.0
2025-05-22,5500.0
2025-05-23,5500.0
2025-05-24,5500.0
2025-05-27,5500.0
2025-05-28,5500.0
2025-05-29,5500.0
2025-05-30,5500.0
2025-05-31,5550.0
2025-06-02,5500.0
2025-06-03,5500.0
2025-06-04,5500.0
2025-06-05,5500.0
2025-06-06,5400.0
2025-06-09,5500.0
2025-06-10,5500.0
2025-06-11,5500.0
2025-06-12,5500.0
2025-06-13,5500.0
2025-06-14,5500.0
2025-06-16,5500.0
2025-06-17,5500.0
2025-06-18,5500.0
2025-06-19,5500.0
2025-06-20,5500.0
2025-06-21,5500.0
2025-06-23,5500.0
2025-06-24,5500.0
2025-06-25,5500.0
2025-06-26,5500.0
2025-06-28,5500.0
2025-06-30,5500.0
2025-07-01,5400.0
2025-07-02,5500.0
2025-07-03,5500.0
2025-07-04,5500.0
2025-07-05,5500.0
2025-07-07,5500.0
2025-07-08,5500.0
2025-07-09,5500.0
2025-07-10,5500.0
2025-07-11,5500.0
2025-07-12,5500.0
2025-07-14,5500.0
2025-07-16,5500.0
2025-07-17,5500.0
2025-07-18,5500.0
2025-07-19,5500.0
2025-07-21,5500.0
2025-07-23,5500.0
2025-07-24,5500.0
2025-07-25,5500.0
2025-07-26,5500.0
2025-07-28,5500.0
2025-07-29,5500.0
2025-07-31,5500.0
2025-08-01,5450.0
2025-08-02,5450.0
2025-08-04,5500.0
2025-08-06,5445.0
2025-08-07,5445.0
2025-08-08,5445.0
2025-08-12,5580.0
2025-08-13,5580.0
2025-08-14,5575.0
2025-08-18,5500.0
2025-08-20,5525.0
2025-08-21,5525.0
2025-08-26,5585.0
2025-08-28,5585.0
2025-08-30,5590.0
2025-09-01,5500.0
2025-09-02,5500.0
2025-09-03,5500.0
2025-09-04,5500.0
2025-09-06,5500.0
2025-09-08,5500.0
2025-09-10,5500.0
2025-09-11,5500.0
2025-09-12,5500.0
2025-09-13,5500.0
2025-09-15,5500.0
2025-09-16,5500.0
2025-09-17,5500.0
2025-09-19,5500.0
2025-09-20,5500.0
2025-09-22,5500.0
2025-09-24,5500.0
2025-09-26,5500.0
2025-09-27,5500.0
2025-09-29,5500.0
2025-09-30,5500.0
2025-10-01,5500.0
2025-10-03,5300.0
2025-10-06,5400.0
2025-10-08,5500.0
2025-10-09,5500.0
2025-10-10,5500.0
2025-10-11,5500.0
2025-10-13,5500.0
2025-10-15,5500.0
2025-10-16,5400.0
2025-10-27,5500.0
2025-10-28,5500.0
2025-10-29,5400.0
2025-10-30,5400.0
2025-10-31,5500.0
2025-11-01,5500.0
2025-11-03,5500.0
2025-11-04,5500.0
2025-11-06,5500.0
