date,price
2025-02-28,3405.0
2025-03-01,2850.0
2025-03-03,3165.0
2025-03-04,3100.0
2025-03-05,3150.0
2025-03-06,2930.0
2025-03-07,2750.0
2025-03-08,2900.0
2025-03-10,2935.0
2025-03-11,2750.0
2025-03-12,2500.0
2025-03-13,2600.0
2025-03-17,2500.0
2025-03-18,2505.0
2025-03-19,2475.0
2025-03-20,2750.0
2025-03-21,2500.0
2025-03-22,2600.0
2025-03-24,2650.0
2025-03-25,2750.0
2025-03-26,2600.0
2025-03-27,2650.0
2025-04-02,2750.0
2025-04-04,2750.0
2025-04-05,2700.0
2025-04-07,2900.0
2025-04-08,2790.0
2025-04-11,2650.0
2025-04-12,2750.0
2025-04-15,2675.0
2025-04-16,2700.0
2025-04-18,2725.0
2025-04-19,2675.0
2025-04-21,2600.0
2025-04-22,2825.0
2025-04-23,2725.0
2025-04-24,2650.0
2025-04-25,2675.0
2025-04-26,2670.0
2025-04-28,2750.0
2025-04-29,2750.0
2025-05-01,2750.0
2025-05-02,2625.0
2025-05-03,2625.0
2025-05-05,2400.0
2025-05-06,2500.0
2025-05-07,2600.0
2025-05-09,2500.0
2025-05-10,2650.0
2025-05-12,2600.0
2025-05-13,2500.0
2025-05-14,2500.0
2025-05-15,2500.0
2025-05-16,2600.0
2025-05-20,2500.0
2025-05-21,2650.0
2025-05-22,2500.0
2025-05-23,2600.0
2025-05-24,2500.0
2025-05-26,2600.0
2025-05-27,2500.0
2025-05-28,2500.0
2025-05-29,2600.0
2025-05-30,2600.0
2025-05-31,2500.0
2025-06-02,2500.0
2025-06-03,2500.0
2025-06-04,2550.0
2025-06-05,2500.0
2025-06-06,2500.0
2025-06-09,2500.0
2025-06-10,2500.0
2025-06-11,2500.0
2025-06-12,2550.0
2025-06-13,2500.0
2025-06-14,2500.0
2025-06-16,2500.0
2025-06-17,2500.0
2025-06-18,2600.0
2025-06-20,2500.0
2025-06-21,2600.0
2025-06-23,2500.0
2025-06-24,2500.0
2025-06-25,2500.0
2025-06-26,2450.0
2025-06-28,2500.0
2025-06-30,2400.0
2025-07-02,2500.0
2025-07-03,2350.0
2025-07-04,2350.0
2025-07-22,2580.0
2025-07-23,2550.0
2025-07-24,2600.0
2025-07-25,2565.0
2025-07-26,2600.0
2025-07-30,2570.0
2025-07-31,2625.0
2025-08-01,2590.0
2025-08-02,2550.0
2025-08-06,2600.0
2025-08-07,2600.0
2025-08-08,2600.0
2025-08-11,2585.0
2025-08-12,2620.0
2025-08-13,2600.0
2025-08-14,2600.0
2025-08-20,2640.0
2025-08-21,2650.0
2025-08-22,2680.0
2025-08-23,2630.0
2025-08-26,2600.0
2025-08-28,2550.0
2025-08-29,2615.0
2025-09-02,2600.0
2025-09-03,2650.0
2025-09-12,2690.0
2025-09-15,2700.0
2025-09-16,2520.0
2025-09-17,2565.0
2025-09-24,2605.0
2025-09-25,2600.0
2025-09-26,2560.0
2025-09-27,2555.0
2025-09-30,2500.0
2025-10-01,2550.0
2025-10-04,2565.0
2025-10-06,2580.0
2025-10-08,2600.0
2025-10-09,2550.0
2025-10-13,2555.0
2025-10-14,2620.0
2025-10-15,2550.0
2025-11-01,2480.0
2025-11-11,2600.0
2025-12-08,2605.0
2026-05-07,2750.0
2026-06-06,2600.0
2026-06-10,2600.0
