date,price
2025-01-04,2880.0
2025-01-06,3007.0
2025-01-07,3037.0
2025-01-08,3047.0
2025-01-09,2947.0
2025-01-10,3050.0
2025-01-11,3057.0
2025-01-13,3100.0
2025-01-15,3035.0
2025-01-16,3032.0
2025-01-20,2940.0
2025-01-21,2810.0
2025-01-22,3005.0
2025-01-23,2962.0
2025-01-24,3085.0
2025-01-25,2860.0
2025-01-27,2952.0
2025-01-28,2750.0
2025-01-29,2950.0
2025-01-30,2952.0
2025-01-31,2875.0
2025-02-01,2790.0
2025-02-03,2655.0
2025-02-04,2905.0
2025-02-05,3077.0
2025-02-06,3055.0
2025-02-07,2950.0
2025-02-08,3070.0
2025-02-10,2947.0
2025-02-11,2740.0
2025-02-13,3085.0
2025-02-14,3012.0
2025-02-15,2925.0
2025-02-17,2877.0
2025-02-18,2747.0
2025-02-19,2885.0
2025-02-20,2890.0
2025-02-21,2977.0
2025-02-22,2880.0
2025-02-24,2920.0
2025-02-27,2842.0
2025-03-01,2387.0
2025-03-03,2297.0
2025-03-04,2500.0
2025-03-06,2447.0
2025-03-07,2580.0
2025-03-08,2470.0
2025-03-10,2227.0
2025-03-11,2092.0
2025-03-12,2125.0
2025-03-13,2082.0
2025-03-15,2275.0
2025-03-17,2437.0
2025-03-18,2017.0
2025-03-19,2195.0
2025-03-20,2297.0
2025-03-21,2187.0
2025-03-22,2377.0
2025-04-02,1997.0
2025-04-03,2242.0
2025-04-04,2125.0
2025-04-07,2700.0
2025-04-08,2655.0
2025-04-09,2617.0
2025-04-10,2537.0
2025-04-11,2600.0
2025-04-15,2700.0
2025-04-16,2467.0
2025-04-18,2565.0
2025-04-19,2515.0
2025-04-22,2500.0
2025-04-23,2550.0
2025-04-24,2610.0
2025-04-25,2550.0
2025-04-28,2640.0
2025-04-29,2492.0
2025-04-30,2452.0
2025-05-01,2555.0
2025-05-03,2457.0
2025-05-05,2627.0
2025-05-07,2552.0
2025-05-08,2462.0
2025-05-09,2475.0
2025-05-10,2542.0
2025-05-13,2577.0
2025-05-14,2537.0
2025-05-15,2507.0
2025-05-16,2462.0
2025-05-17,2540.0
2025-05-20,2530.0
2025-05-21,2495.0
2025-05-23,2467.0
2025-05-24,2450.0
2025-05-26,2515.0
2025-05-27,2640.0
2025-05-28,2532.0
2025-05-29,2517.0
2025-05-30,2512.0
2025-05-31,2462.0
2025-06-03,2475.0
2025-06-04,2502.0
2025-06-05,2517.0
2025-06-09,2532.0
2025-06-10,2480.0
2025-06-11,2450.0
2025-06-12,2562.0
2025-06-13,2465.0
2025-06-14,2520.0
2025-06-17,2537.0
2025-06-18,2530.0
2025-06-19,2482.0
2025-06-20,2512.0
2025-06-21,2470.0
2025-06-23,2487.0
2025-06-24,2512.0
2025-06-25,2507.0
