date,price
2025-01-02,2950.0
2025-01-03,2900.0
2025-01-04,2850.0
2025-01-06,2900.0
2025-01-07,3000.0
2025-01-08,2875.0
2025-01-09,2800.0
2025-01-10,3000.0
2025-01-16,2850.0
2025-01-18,3000.0
2025-01-20,3000.0
2025-01-21,3050.0
2025-01-22,2875.0
2025-01-24,3100.0
2025-01-27,2500.0
2025-01-28,2750.0
2025-01-30,2800.0
2025-01-31,2750.0
2025-02-01,2750.0
2025-02-19,2750.0
2025-02-24,2750.0
2025-02-25,2650.0
2025-02-27,2550.0
2025-03-01,2625.0
2025-03-03,2600.0
2025-03-04,2500.0
2025-03-05,2600.0
2025-03-06,2600.0
2025-03-07,2500.0
2025-03-08,2525.0
2025-03-10,2450.0
2025-03-11,2425.0
2025-03-12,2375.0
2025-03-15,2400.0
2025-03-17,2400.0
2025-03-18,2375.0
2025-03-20,2375.0
2025-03-21,2375.0
2025-03-22,2375.0
2025-03-24,2375.0
2025-04-01,2400.0
2025-04-02,2375.0
2025-04-03,2350.0
2025-04-04,2325.0
2025-04-05,2350.0
2025-04-07,2400.0
2025-04-08,2350.0
2025-04-09,2350.0
2025-04-10,2340.0
2025-04-11,2350.0
2025-04-15,2375.0
2025-04-16,2400.0
2025-04-17,2400.0
2025-04-18,2400.0
2025-04-19,2450.0
2025-04-21,2450.0
2025-04-22,2450.0
2025-04-23,2550.0
2025-04-24,2500.0
2025-04-25,2425.0
2025-05-06,2400.0
2025-05-07,2400.0
2025-05-08,2425.0
2025-05-09,2450.0
2025-05-10,2450.0
2025-05-12,2425.0
2025-05-13,2425.0
2025-05-14,2450.0
2025-05-15,2550.0
2025-05-16,2525.0
2025-05-17,2550.0
2025-05-19,2550.0
2025-05-20,2575.0
2025-05-21,2550.0
2025-05-22,2575.0
2025-05-23,2600.0
2025-05-24,2550.0
2025-05-26,2525.0
2025-05-27,2550.0
2025-05-28,2600.0
2025-05-29,2550.0
2025-06-02,2500.0
2025-06-03,2450.0
2025-06-04,2450.0
2025-06-05,2450.0
2025-06-06,2425.0
2025-06-07,2375.0
2025-06-09,2450.0
2025-06-10,2525.0
2025-06-11,2475.0
2025-06-12,2450.0
2025-06-13,2450.0
2025-06-14,2450.0
2025-06-16,2425.0
2025-06-17,2450.0
2025-06-20,2450.0
2025-06-21,2450.0
2025-06-23,2400.0
2025-06-24,2450.0
2025-06-25,2425.0
2025-06-26,2450.0
2025-06-28,2450.0
2025-06-30,2425.0
2025-07-01,2450.0
2025-07-02,2450.0
2025-07-03,2425.0
2025-07-04,2500.0
2025-07-05,2525.0
2025-07-07,2500.0
2025-07-08,2500.0
2025-07-11,2500.0
2025-07-12,2550.0
2025-07-14,2550.0
2025-07-15,2575.0
2025-07-16,2575.0
2025-07-17,2600.0
2025-07-18,2600.0
2025-07-19,2625.0
2025-07-21,2650.0
2025-07-22,2625.0
2025-07-23,2650.0
2025-07-24,2600.0
2025-07-25,2625.0
2025-07-26,2650.0
2025-07-28,2675.0
2025-07-29,2625.0
2025-07-30,2650.0
2025-07-31,2650.0
2025-08-01,2650.0
2025-08-02,2650.0
2025-08-04,2650.0
2025-08-05,2650.0
2025-08-06,2675.0
2025-08-07,2675.0
2025-08-08,2675.0
2025-08-11,2675.0
2025-08-12,2700.0
2025-08-13,2700.0
2025-08-20,2650.0
2025-08-21,2625.0
2025-08-22,2625.0
2025-08-23,2700.0
2025-08-25,2675.0
2025-08-26,2675.0
2025-08-27,2700.0
2025-08-29,2700.0
2025-08-30,2750.0
2025-09-01,2725.0
2025-09-02,2750.0
2025-09-03,2750.0
2025-09-04,2750.0
2025-09-06,2700.0
2025-09-09,2650.0
2025-09-10,2700.0
2025-09-11,2725.0
2025-09-12,2725.0
2025-09-13,2700.0
2025-09-15,2675.0
2025-09-16,2675.0
2025-09-17,2700.0
2025-09-18,2700.0
2025-09-19,2700.0
2025-09-22,2675.0
2025-09-23,2700.0
2025-09-24,2650.0
2025-09-25,2650.0
2025-09-26,2675.0
2025-09-27,2700.0
2025-09-30,2675.0
2025-10-04,2700.0
2025-10-06,2650.0
2025-10-07,2700.0
2025-10-08,2700.0
2025-10-09,2750.0
2025-10-10,2750.0
2025-10-11,2825.0
2025-10-13,2650.0
2025-10-14,2650.0
2025-10-15,2700.0
2025-10-16,2725.0
2025-10-17,2650.0
2025-11-12,2650.0
2025-11-13,2650.0
2025-11-14,2700.0
2025-11-15,2575.0
2025-11-17,2725.0
2025-11-18,2650.0
2025-11-19,2675.0
2025-11-20,2700.0
2025-11-21,2750.0
2025-11-22,2750.0
2025-11-24,2725.0
2025-11-25,2675.0
2025-11-26,2675.0
2025-11-27,2700.0
2025-11-28,2675.0
2025-11-29,2600.0
2025-12-01,2650.0
2025-12-02,2575.0
2025-12-03,2550.0
2025-12-04,2550.0
2025-12-05,2575.0
2025-12-06,2575.0
2025-12-08,2600.0
2025-12-09,2575.0
2025-12-10,2575.0
2025-12-11,2600.0
2025-12-12,2625.0
2025-12-13,2600.0
2025-12-15,2675.0
2025-12-16,2625.0
2025-12-17,2600.0
2025-12-18,2575.0
2025-12-19,2550.0
2025-12-20,2550.0
2025-12-22,2575.0
2025-12-23,2600.0
2025-12-24,2575.0
2025-12-25,2550.0
2025-12-26,2575.0
2025-12-27,2500.0
2025-12-29,2550.0
2025-12-30,2575.0
2026-01-02,2575.0
2026-01-03,2575.0
2026-01-05,2550.0
2026-01-06,2575.0
2026-01-07,2575.0
2026-01-08,2575.0
2026-01-09,2575.0
2026-01-10,2550.0
2026-01-12,2550.0
2026-01-13,2550.0
2026-01-16,2550.0
2026-01-17,2550.0
2026-01-19,2600.0
2026-01-20,2575.0
2026-01-21,2500.0
2026-01-22,2550.0
2026-01-24,2550.0
2026-01-29,2575.0
2026-01-30,2575.0
2026-01-31,2575.0
2026-02-02,2550.0
2026-02-03,2425.0
2026-02-04,2525.0
2026-02-06,2550.0
2026-02-07,2550.0
2026-02-09,2500.0
2026-02-10,2450.0
2026-02-11,2350.0
2026-02-12,2350.0
2026-02-13,2450.0
2026-02-14,2375.0
2026-02-16,2250.0
2026-02-17,2250.0
2026-02-18,2250.0
2026-02-20,2150.0
2026-02-21,2150.0
2026-02-24,2200.0
2026-02-25,2100.0
2026-02-26,2125.0
2026-02-27,2125.0
2026-02-28,2200.0
2026-03-02,2100.0
2026-03-07,2150.0
2026-03-09,2125.0
2026-03-10,2100.0
2026-03-11,2200.0
2026-03-12,2175.0
2026-03-13,2225.0
2026-03-14,2200.0
2026-03-16,2175.0
2026-03-17,2150.0
2026-03-18,2105.0
2026-03-23,2050.0
2026-03-24,2000.0
2026-04-01,2150.0
