date,price
2025-04-22,2605.0
2025-04-23,2627.0
2025-04-24,2750.0
2025-04-25,2650.0
2025-04-28,2750.0
2025-04-29,2650.0
2025-04-30,2600.0
2025-05-01,2600.0
2025-05-02,2625.0
2025-05-03,2762.0
2025-05-04,2550.0
2025-05-05,2725.0
2025-05-06,2675.0
2025-05-07,2675.0
2025-05-08,2600.0
2025-05-09,2612.0
2025-05-10,2625.0
2025-05-11,2600.0
2025-05-12,2600.0
2025-05-14,2625.0
2025-05-16,2625.0
2025-05-17,2600.0
2025-05-18,2575.0
2025-05-19,2600.0
2025-05-20,2550.0
2025-05-22,2650.0
2025-05-23,2625.0
2025-05-24,2600.0
2025-05-25,2550.0
2025-05-26,2650.0
2025-05-28,2600.0
2025-05-29,2650.0
2025-05-30,2650.0
2025-05-31,2587.0
2025-06-02,2550.0
2025-06-03,2600.0
2025-06-04,2562.0
2025-06-06,2550.0
2025-06-07,2450.0
2025-06-08,2550.0
2025-06-09,2550.0
2025-06-10,2600.0
2025-06-11,2550.0
2025-06-12,2325.0
2025-06-13,2550.0
2025-06-14,2550.0
2025-06-15,2550.0
2025-06-16,2550.0
2025-06-17,2562.0
2025-06-18,2562.0
2025-06-19,2562.0
2025-06-20,2325.0
2025-06-21,2500.0
2025-06-25,2425.0
2025-06-26,2525.0
2025-06-27,2500.0
2025-06-28,2550.0
2025-06-29,2450.0
2025-06-30,2500.0
2025-07-01,2375.0
2025-07-02,2450.0
2025-07-03,2325.0
2025-07-04,2550.0
2025-07-05,2550.0
2025-07-06,2425.0
2025-07-07,2375.0
2025-07-08,2350.0
2025-07-09,2300.0
2025-07-10,2480.0
2025-07-12,2562.0
2025-07-13,2325.0
2025-07-14,2650.0
2025-10-14,2550.0
2025-10-15,2575.0
2025-10-16,2625.0
2025-10-18,2600.0
2025-10-19,2550.0
2025-10-20,2650.0
2025-10-21,2660.0
2025-11-01,2750.0
2025-11-02,2650.0
2025-11-03,2750.0
2025-11-04,2650.0
2025-11-05,2650.0
2025-11-06,2600.0
2025-12-29,2500.0
2026-01-02,2600.0
2026-01-06,2500.0
2026-01-07,2575.0
2026-01-10,2500.0
2026-01-13,2600.0
2026-01-21,2550.0
2026-01-22,2550.0
2026-01-23,2700.0
2026-01-24,2600.0
2026-01-30,2525.0
2026-01-31,2550.0
2026-02-01,2600.0
2026-02-02,2600.0
2026-02-07,2675.0
2026-02-09,2512.0
2026-02-10,2600.0
2026-02-11,2550.0
2026-02-13,2650.0
2026-02-15,2525.0
2026-02-16,2600.0
2026-02-23,2600.0
2026-02-25,2562.0
2026-02-26,2500.0
2026-03-01,2550.0
2026-03-02,2550.0
2026-03-08,2600.0
2026-03-09,2600.0
2026-03-10,2525.0
2026-03-11,2525.0
2026-04-08,2450.0
2026-05-05,2400.0
2026-05-16,2525.0
2026-05-17,2550.0
2026-07-15,2650.0
2026-07-16,2400.0
2026-07-17,2400.0
