date,price
2025-01-03,3087.0
2025-01-04,3087.0
2025-01-05,3075.0
2025-01-06,3075.0
2025-01-07,3100.0
2025-01-08,3112.0
2025-01-09,3100.0
2025-01-10,3162.0
2025-01-11,3200.0
2025-01-12,3100.0
2025-01-13,3250.0
2025-01-14,3100.0
2025-01-15,3150.0
2025-01-16,3200.0
2025-01-17,3100.0
2025-01-18,3052.0
2025-01-19,3100.0
2025-01-20,3250.0
2025-01-22,3050.0
2025-01-23,3250.0
2025-01-24,3050.0
2025-01-25,3275.0
2025-01-26,3150.0
2025-01-27,3250.0
2025-01-28,3100.0
2025-01-29,3200.0
2025-01-30,3000.0
2025-01-31,3100.0
2025-02-01,3125.0
2025-02-02,2900.0
2025-02-03,3100.0
2025-02-04,3100.0
2025-02-05,3100.0
2025-02-07,3100.0
2025-02-08,3200.0
2025-02-09,3062.0
2025-02-10,3100.0
2025-02-11,3150.0
2025-02-12,3112.0
2025-02-13,3100.0
2025-02-14,3150.0
2025-02-15,3150.0
2025-02-16,3025.0
2025-02-17,3100.0
2025-02-18,3225.0
2025-02-19,3275.0
2025-02-20,3252.0
2025-02-21,3250.0
2025-02-22,3250.0
2025-02-23,3200.0
2025-02-24,3250.0
2025-02-25,3200.0
2025-02-26,3100.0
2025-02-27,3250.0
2025-03-01,3100.0
2025-03-02,3100.0
2025-03-03,3250.0
2025-03-04,2900.0
2025-03-05,2837.0
2025-03-06,2825.0
2025-03-07,2850.0
2025-03-08,2825.0
2025-03-09,2900.0
2025-03-10,2950.0
2025-03-11,2650.0
2025-03-12,2650.0
2025-03-14,3100.0
2025-03-15,3000.0
2025-03-16,2550.0
2025-03-17,2625.0
2025-03-18,2725.0
2025-03-19,2600.0
2025-03-20,2600.0
2025-03-21,2625.0
2025-03-22,2625.0
2025-03-23,2625.0
2025-03-24,2625.0
2025-03-25,2625.0
2025-03-26,2625.0
2025-03-28,2600.0
2025-03-29,2600.0
2025-03-30,2525.0
2025-03-31,2550.0
2025-04-01,2625.0
2025-04-02,2600.0
2025-04-03,2625.0
2025-04-04,2600.0
2025-04-05,2600.0
2025-04-06,2575.0
2025-04-07,2625.0
2025-04-08,2600.0
2025-04-09,2600.0
2025-04-10,2600.0
2025-04-11,2562.0
2025-04-12,2600.0
2025-04-13,2575.0
2025-04-14,2600.0
2025-04-15,2600.0
2025-04-16,2600.0
2025-04-17,2625.0
2025-04-18,2650.0
2025-04-19,2650.0
2025-04-20,2650.0
2025-04-21,2812.0
2025-04-22,2715.0
2026-01-28,2737.0
2026-01-29,2675.0
2026-02-03,2600.0
2026-02-04,2550.0
2026-02-05,2550.0
2026-02-06,2550.0
2026-02-09,2625.0
2026-02-11,2525.0
2026-02-12,2550.0
2026-02-14,2550.0
2026-02-17,2650.0
2026-02-18,2600.0
2026-02-19,2810.0
2026-02-20,2550.0
2026-02-21,2400.0
2026-02-22,2550.0
2026-02-24,2550.0
2026-02-27,2600.0
2026-02-28,2650.0
2026-03-03,2550.0
2026-03-05,2550.0
2026-03-06,2550.0
2026-03-07,2600.0
2026-03-10,2340.0
2026-03-12,2550.0
2026-03-13,2350.0
2026-03-14,2500.0
2026-03-15,2300.0
2026-03-16,2425.0
2026-03-17,2450.0
2026-03-18,2450.0
2026-03-19,2400.0
2026-03-20,2500.0
2026-04-11,2600.0
2026-04-22,2550.0
2026-04-27,2525.0
2026-04-29,2600.0
2026-05-01,2350.0
2026-05-02,2400.0
2026-05-12,2400.0
2026-05-13,2400.0
2026-05-14,2400.0
2026-05-19,2400.0
2026-05-28,2400.0
2026-06-02,2400.0
2026-06-03,2400.0
2026-06-05,2400.0
