date,price
2025-01-02,2925.0
2025-01-03,2900.0
2025-01-04,2950.0
2025-01-06,2900.0
2025-01-07,2775.0
2025-01-08,2925.0
2025-01-09,2900.0
2025-01-10,2900.0
2025-01-11,2740.0
2025-01-13,2925.0
2025-01-15,2900.0
2025-01-16,2950.0
2025-01-17,2975.0
2025-01-18,2750.0
2025-01-20,2800.0
2025-01-21,3090.0
2025-01-22,2925.0
2025-01-23,3000.0
2025-01-24,3000.0
2025-01-25,2950.0
2025-01-27,2900.0
2025-01-28,2875.0
2025-01-29,2975.0
2025-01-30,2795.0
2025-01-31,2950.0
2025-02-01,2875.0
2025-02-04,2875.0
2025-02-05,2600.0
2025-02-07,2725.0
2025-02-08,2850.0
2025-02-10,2925.0
2025-02-11,2950.0
2025-02-12,2950.0
2025-02-13,2925.0
2025-02-14,2950.0
2025-02-15,2975.0
2025-02-17,2950.0
2025-02-19,3000.0
2025-02-20,2975.0
2025-02-24,3000.0
2025-02-25,2950.0
2025-02-27,2925.0
2025-02-28,2900.0
2025-03-01,2900.0
2025-03-03,2625.0
2025-03-04,2585.0
2025-03-06,2625.0
2025-03-07,2625.0
2025-03-08,2650.0
2025-03-10,2525.0
2025-03-11,2475.0
2025-03-12,2500.0
2025-03-13,2550.0
2025-03-15,2575.0
2025-03-17,2625.0
2025-03-18,2575.0
2025-03-19,2525.0
2025-03-20,2550.0
2025-03-21,2550.0
2025-03-22,2525.0
2025-03-24,2575.0
2025-04-01,2550.0
2025-04-03,2550.0
2025-04-04,2575.0
2025-04-05,2575.0
2025-04-07,2425.0
2025-04-08,2500.0
2025-04-09,2525.0
2025-04-10,2550.0
2025-04-11,2575.0
2025-04-12,2550.0
2025-04-15,2550.0
2025-04-16,2585.0
2025-04-17,2600.0
2025-04-18,2625.0
2025-04-19,2625.0
2025-04-21,2650.0
2025-04-22,2600.0
2025-04-23,2575.0
2025-04-24,2600.0
2025-04-25,2575.0
2025-04-26,2600.0
2025-04-28,2500.0
2025-04-29,2500.0
2025-04-30,2525.0
2025-05-01,2575.0
2025-05-02,2550.0
2025-05-03,2575.0
2025-05-05,2550.0
2025-05-06,2550.0
2025-05-09,2475.0
2025-05-12,2450.0
2025-05-13,2525.0
2025-05-14,2575.0
2025-05-15,2600.0
2025-05-16,2500.0
2025-05-17,2525.0
2025-05-19,2575.0
2025-05-20,2575.0
2025-05-21,2550.0
2025-05-22,2500.0
2025-05-23,2575.0
2025-05-24,2575.0
2025-05-26,2575.0
2025-05-27,2450.0
2025-05-28,2525.0
2025-05-29,2500.0
2025-05-30,2500.0
2025-05-31,2525.0
2025-06-02,2500.0
2025-06-05,2500.0
2025-06-07,2550.0
2025-06-09,2475.0
2025-06-10,2500.0
2025-06-11,2500.0
2025-06-12,2550.0
2025-06-13,2475.0
2025-06-14,2500.0
2025-06-19,2490.0
2025-06-20,2500.0
2025-06-21,2500.0
2025-06-23,2500.0
2025-06-24,2500.0
2025-06-25,2525.0
2025-06-26,2525.0
2025-06-27,2525.0
2025-06-28,2525.0
2025-06-30,2550.0
2025-07-01,2525.0
2025-07-02,2550.0
2025-07-04,2550.0
2025-07-05,2550.0
2025-07-07,2525.0
2025-07-09,2550.0
2025-07-10,2500.0
2025-07-12,2525.0
2025-07-14,2500.0
2025-07-15,2450.0
2025-07-16,2500.0
2025-07-17,2450.0
2025-07-18,2500.0
2025-07-19,2475.0
2025-07-21,2500.0
2025-07-22,2525.0
2025-07-23,2500.0
2025-07-24,2450.0
2025-07-25,2500.0
2025-07-26,2475.0
2025-07-28,2500.0
2025-07-29,2475.0
2025-07-30,2475.0
2025-07-31,2475.0
2025-08-01,2500.0
2025-08-02,2500.0
2025-08-04,2475.0
2025-08-05,2500.0
2025-08-06,2475.0
2025-08-07,2450.0
2025-08-08,2450.0
2025-08-11,2500.0
2025-08-12,2450.0
2025-08-13,2475.0
2025-08-18,2450.0
2025-08-19,2435.0
2025-08-20,2450.0
2025-08-21,2450.0
2025-08-25,2450.0
2025-08-26,2495.0
2025-08-27,2450.0
2025-08-28,2500.0
2025-08-30,2450.0
2025-09-01,2525.0
2025-09-02,2475.0
2025-09-03,2525.0
2025-09-04,2475.0
2025-09-06,2475.0
2025-09-08,2525.0
2025-09-09,2525.0
2025-09-11,2525.0
2025-09-12,2500.0
2025-09-16,2450.0
2025-09-17,2500.0
2025-09-18,2475.0
2025-09-22,2525.0
2025-09-23,2475.0
2025-09-24,2525.0
2025-09-25,2475.0
2025-09-26,2450.0
2025-09-27,2450.0
2025-09-29,2450.0
2025-09-30,2475.0
2025-10-01,2450.0
2025-10-03,2475.0
2025-10-04,2475.0
2025-10-06,2525.0
2025-10-07,2500.0
2025-10-08,2500.0
2025-10-09,2525.0
2025-10-11,2525.0
2025-10-14,2550.0
2025-10-15,2550.0
2025-10-16,2500.0
2025-10-17,2550.0
2025-11-03,2525.0
2025-11-04,2525.0
2025-11-05,2550.0
