date,price
2025-02-01,2400.0
2025-02-13,2400.0
2025-02-14,2400.0
2025-02-18,2400.0
2025-02-19,2400.0
2025-02-20,2400.0
2025-02-22,2400.0
2025-02-24,2400.0
2025-02-25,2400.0
2025-02-27,2350.0
2025-02-28,2350.0
2025-03-01,2400.0
2025-03-04,2400.0
2025-03-05,2400.0
2025-03-06,2400.0
2025-03-07,2400.0
2025-03-08,2400.0
2025-03-10,2400.0
2025-03-11,2400.0
2025-03-12,2400.0
2025-03-17,2400.0
2025-03-18,2400.0
2025-03-19,2400.0
2025-03-20,2400.0
2025-03-21,2400.0
2025-03-22,2400.0
2025-04-25,2350.0
2025-04-28,2350.0
2025-04-29,2350.0
2025-05-02,2350.0
2025-05-03,2350.0
2025-05-05,2300.0
2025-05-09,2350.0
2025-05-10,2300.0
2025-05-12,2300.0
2025-05-13,2300.0
2025-05-14,2250.0
2025-05-15,2300.0
2025-05-16,2300.0
2025-05-17,2250.0
2025-05-20,2300.0
2025-05-21,2300.0
2025-05-24,2300.0
2025-05-26,2350.0
2025-05-27,2350.0
2025-05-28,2300.0
2025-05-29,2300.0
2025-05-30,2300.0
2025-05-31,2300.0
2025-06-02,2300.0
2025-06-03,2300.0
2025-06-04,2250.0
2025-06-05,2250.0
2025-06-09,2250.0
2025-06-10,2300.0
2025-06-11,2300.0
2025-06-12,2300.0
2025-06-13,2300.0
2025-06-14,2300.0
2025-06-16,2300.0
2025-06-20,2200.0
2025-06-21,2300.0
2025-06-23,2300.0
2025-06-24,2200.0
2025-06-25,2350.0
2025-06-26,2300.0
2025-06-28,2300.0
2025-06-30,2300.0
2025-07-01,2300.0
2025-07-02,2300.0
2025-07-03,2300.0
2025-07-07,2300.0
2025-07-09,2400.0
2025-07-12,2300.0
2025-07-14,2300.0
2025-07-15,2300.0
2025-07-16,2300.0
2025-07-17,2300.0
2025-07-18,2300.0
2025-07-19,2300.0
2025-07-21,2300.0
2025-07-22,2300.0
2025-07-23,2300.0
2025-07-24,2300.0
2025-07-25,2300.0
2025-07-26,2350.0
2025-07-28,2300.0
2025-07-29,2300.0
2025-07-30,2300.0
2025-08-01,2300.0
2025-08-02,2300.0
2025-08-04,2300.0
2025-08-05,2300.0
2025-08-06,2300.0
2025-08-07,2300.0
2025-08-11,2300.0
2025-08-12,2300.0
2025-08-20,2300.0
2025-08-21,2300.0
2025-08-22,2300.0
2025-08-25,2300.0
2025-09-01,2300.0
2025-09-02,2300.0
2025-09-04,2300.0
2025-09-05,2300.0
2025-09-09,2400.0
2025-09-10,2300.0
2025-09-11,2300.0
2025-09-13,2300.0
2025-09-15,2300.0
2025-09-16,2300.0
2025-09-17,2300.0
2025-09-18,2300.0
2025-09-19,2300.0
2025-09-21,2300.0
2025-09-22,2300.0
2025-09-24,2300.0
2025-09-25,2400.0
2025-09-29,2300.0
2025-10-03,2300.0
2025-10-04,2400.0
2025-10-07,2300.0
2025-10-08,2300.0
2025-10-09,2300.0
2025-10-10,2300.0
2025-10-11,2300.0
2025-10-13,2300.0
2025-10-14,2300.0
2025-10-15,2300.0
2025-10-16,2300.0
2025-10-17,2300.0
2025-10-18,2300.0
2025-10-28,2300.0
2025-10-29,2300.0
2025-10-30,2250.0
2025-11-01,2300.0
2025-11-03,2300.0
2025-11-04,2300.0
2025-11-06,2300.0
2025-11-10,2500.0
2025-11-14,2300.0
2025-11-27,2500.0
2025-12-04,2350.0
2025-12-23,2000.0
2025-12-24,2000.0
2025-12-26,2000.0
2026-01-08,2200.0
2026-01-09,2200.0
2026-01-12,2200.0
2026-01-13,2200.0
2026-02-03,1950.0
2026-02-20,1950.0
2026-03-09,1950.0
2026-04-06,2050.0
2026-04-16,1950.0
