date,price
2025-01-02,3038.0
2025-01-03,3050.0
2025-01-04,3025.0
2025-01-06,3053.0
2025-01-07,3100.0
2025-01-08,3160.0
2025-01-09,3163.0
2025-01-10,3188.0
2025-01-11,3150.0
2025-01-15,3075.0
2025-01-16,3150.0
2025-01-20,3150.0
2025-01-21,3150.0
2025-01-22,3162.0
2025-01-23,3150.0
2025-01-24,3150.0
2025-01-25,3150.0
2025-01-27,3125.0
2025-01-28,3175.0
2025-01-29,3100.0
2025-01-30,3125.0
2025-01-31,3125.0
2025-02-01,3125.0
2025-02-03,3088.0
2025-02-04,2850.0
2025-02-05,3075.0
2025-02-06,3075.0
2025-02-07,3200.0
2025-02-08,3200.0
2025-02-10,3125.0
2025-02-11,3195.0
2025-02-13,3300.0
2025-02-14,3325.0
2025-02-15,3300.0
2025-02-17,3190.0
2025-02-18,3208.0
2025-02-19,3175.0
2025-02-20,3225.0
2025-02-21,3225.0
2025-02-24,3175.0
2025-02-25,3100.0
2025-02-28,2939.0
2025-03-01,2900.0
2025-03-03,2825.0
2025-03-04,2888.0
2025-03-05,2913.0
2025-03-06,2813.0
2025-03-07,2875.0
2025-03-08,2863.0
2025-03-10,2825.0
2025-03-11,2760.0
2025-03-12,2638.0
2025-03-13,2600.0
2025-03-17,2638.0
2025-03-18,2675.0
2025-03-19,2750.0
2025-03-20,2750.0
2025-03-21,2750.0
2025-03-22,2808.0
2025-03-24,2808.0
2025-03-25,2788.0
2025-03-26,2800.0
2025-03-27,2763.0
2025-03-29,2725.0
2025-03-31,2763.0
2025-04-01,2750.0
2025-04-02,2788.0
2025-04-03,2963.0
2025-04-04,2925.0
2025-04-05,2850.0
2025-04-07,2850.0
2025-04-08,2875.0
2025-04-10,2825.0
2025-04-11,2838.0
2025-04-12,2825.0
2025-04-14,2813.0
2025-04-15,2650.0
2025-04-16,2813.0
2025-04-18,2813.0
2025-04-19,2815.0
2025-04-21,2863.0
2025-04-22,2825.0
2025-04-23,2813.0
2025-04-24,2800.0
