date,price
2025-01-02,2550.0
2025-01-03,2550.0
2025-01-04,2650.0
2025-01-06,2650.0
2025-01-08,2650.0
2025-01-09,2650.0
2025-01-10,2725.0
2025-01-11,2725.0
2025-01-13,2725.0
2025-01-16,2725.0
2025-01-17,2750.0
2025-01-18,2750.0
2025-01-21,2750.0
2025-01-22,2725.0
2025-01-24,2725.0
2025-01-25,2725.0
2025-01-27,2725.0
2025-01-28,2725.0
2025-01-29,2725.0
2025-01-30,2725.0
2025-01-31,2725.0
2025-02-01,2725.0
2025-02-03,2725.0
2025-02-04,2725.0
2025-02-05,2550.0
2025-02-06,2550.0
2025-02-07,2550.0
2025-02-10,2550.0
2025-02-13,2550.0
2025-02-14,2550.0
2025-02-15,2550.0
2025-02-17,2725.0
2025-02-18,2725.0
2025-02-19,2725.0
2025-02-20,2712.5
2025-02-21,2725.0
2025-02-22,2725.0
2025-02-24,2725.0
2025-02-26,2725.0
2025-02-27,2725.0
2025-02-28,2725.0
2025-03-01,2725.0
2025-03-03,2725.0
2025-03-04,2525.0
2025-03-05,2525.0
2025-03-06,2525.0
2025-03-07,2525.0
2025-03-08,2525.0
2025-03-10,2525.0
2025-03-11,2525.0
2025-03-12,2400.0
2025-03-13,2400.0
2025-03-15,2400.0
2025-03-17,2400.0
2025-03-18,2275.0
2025-03-19,2275.0
2025-03-20,2275.0
2025-03-21,2412.5
2025-03-22,2412.5
2025-03-24,2412.5
2025-03-25,2437.5
2025-03-26,2437.5
2025-03-27,2437.5
2025-03-28,2437.5
2025-03-29,2437.5
2025-04-01,2437.5
2025-04-02,2437.5
2025-04-03,2437.5
2025-04-04,2437.5
2025-04-05,2437.5
2025-04-07,2437.5
2025-04-09,2437.5
2025-04-12,2437.5
2025-04-15,2437.5
2025-04-16,2437.5
2025-04-17,2437.5
2025-04-19,2437.5
2025-04-21,2437.5
2025-04-22,2437.5
2025-04-23,2437.5
2025-04-24,2437.5
2025-04-25,2437.5
2025-04-26,2437.5
2025-04-28,2437.5
2025-04-30,2437.5
2025-05-01,2437.5
2025-05-02,2437.5
2025-05-03,2437.5
2025-05-05,2437.5
2025-05-08,2437.5
2025-05-09,2437.5
2025-05-10,2437.5
2025-05-12,2437.5
2025-05-13,2437.5
2025-05-14,2437.5
2025-05-15,2437.5
2025-05-16,2437.5
