date,price
2025-11-06,3000.0
2025-12-01,2650.0
2025-12-02,2750.0
2025-12-03,2600.0
2025-12-08,2650.0
2025-12-09,2650.0
2025-12-11,2650.0
2025-12-12,2600.0
2025-12-15,2650.0
2025-12-17,2650.0
2025-12-18,2500.0
2025-12-19,2500.0
2025-12-22,2750.0
2025-12-23,2760.0
2025-12-26,2550.0
2025-12-27,2550.0
2026-01-01,2500.0
2026-01-02,2540.0
2026-01-05,2500.0
2026-01-07,2500.0
2026-01-08,2500.0
2026-01-09,2550.0
2026-01-10,2450.0
2026-01-12,2500.0
2026-01-13,2500.0
2026-01-15,2250.0
2026-01-16,2500.0
2026-01-19,2525.0
2026-01-20,2550.0
2026-01-21,2640.0
2026-01-22,2550.0
2026-01-28,2550.0
2026-01-29,2750.0
2026-01-31,2650.0
2026-02-02,2500.0
2026-02-03,2540.0
2026-02-05,2550.0
2026-02-06,2500.0
2026-02-07,2500.0
2026-02-09,2500.0
2026-02-10,2500.0
2026-02-11,2500.0
2026-02-12,2500.0
2026-02-13,2550.0
2026-02-14,2550.0
2026-02-19,2450.0
2026-02-20,2500.0
2026-02-23,2150.0
2026-02-24,2500.0
2026-02-25,2500.0
2026-02-26,2500.0
2026-02-27,2500.0
2026-02-28,2400.0
2026-03-05,2300.0
2026-03-06,2400.0
2026-03-09,2600.0
2026-03-10,2500.0
2026-03-11,2500.0
2026-03-12,2650.0
2026-03-13,2600.0
2026-03-14,2650.0
2026-03-16,2550.0
2026-03-21,2600.0
2026-03-23,2250.0
2026-03-24,2250.0
2026-04-03,2500.0
2026-04-06,2500.0
2026-04-07,2100.0
2026-04-08,2500.0
2026-04-09,2500.0
2026-04-11,2350.0
2026-04-13,2350.0
2026-04-14,2250.0
2026-04-15,2250.0
2026-04-16,2250.0
2026-04-17,2250.0
2026-04-18,2100.0
2026-04-21,2350.0
2026-04-22,2500.0
2026-04-24,2400.0
2026-04-25,2400.0
2026-04-27,2350.0
2026-04-28,2300.0
2026-04-29,2300.0
2026-05-04,2350.0
2026-05-05,2400.0
2026-05-07,2300.0
2026-05-08,2300.0
2026-05-11,2400.0
2026-05-12,2400.0
2026-05-13,2400.0
2026-05-15,2400.0
2026-05-16,2350.0
2026-05-18,2400.0
2026-05-19,2400.0
2026-05-20,2400.0
2026-05-23,2400.0
2026-05-25,2500.0
2026-05-26,2400.0
2026-05-27,2350.0
2026-05-28,2250.0
2026-05-29,2400.0
2026-05-30,2250.0
2026-06-01,2350.0
2026-06-03,2300.0
2026-06-04,2300.0
2026-06-05,2350.0
2026-06-06,2400.0
2026-06-08,2500.0
2026-06-09,2400.0
2026-06-10,2415.0
2026-06-11,2400.0
2026-06-12,2400.0
2026-06-15,2400.0
2026-06-16,2300.0
2026-06-17,2250.0
2026-06-19,2300.0
2026-06-20,2400.0
2026-06-22,2350.0
2026-06-23,2100.0
2026-06-27,2375.0
2026-06-29,2280.0
2026-06-30,2455.0
2026-07-03,2500.0
2026-07-05,2625.0
2026-07-07,2375.0
2026-07-08,2690.0
2026-07-10,2435.0
2026-07-11,2540.0
2026-07-13,2485.0
2026-07-14,2630.0
2026-07-15,2575.0
2026-07-17,2475.0
2026-07-20,2465.0
2026-07-21,2605.0
2026-07-22,2570.0
2026-07-23,2580.0
2026-07-24,2540.0
2026-07-25,2505.0
2026-07-28,2535.0
2026-07-30,2520.0
2026-07-31,2520.0
2026-08-01,2215.0
2026-08-03,2575.0
2026-08-04,2525.0
2026-08-05,2585.0
2026-08-06,2490.0
2026-08-07,2650.0
2026-08-08,2565.0
2026-08-10,2650.0
2026-08-11,2610.0
2026-08-12,2550.0
2026-08-13,2475.0
2026-08-14,2610.0
2026-08-17,2580.0
2026-08-18,2580.0
2026-08-19,2480.0
2026-08-20,2535.0
2026-08-21,2475.0
2026-08-22,2630.0
2026-08-26,2555.0
2026-09-07,2750.0
2026-09-08,2855.0
2026-09-09,2870.0
2026-09-10,2875.0
2026-09-11,2700.0
2026-09-12,2780.0
2026-09-17,2665.0
2026-09-18,2870.0
2026-09-21,2950.0
2026-09-22,2885.0
