date,price
2025-01-01,3220.0
2025-01-02,3220.0
2025-01-03,3230.0
2025-01-04,3250.0
2025-01-06,3300.0
2025-01-07,3300.0
2025-01-08,3350.0
2025-01-09,3350.0
2025-01-10,3350.0
2025-01-11,3325.0
2025-01-13,3350.0
2025-01-15,3350.0
2025-01-16,3300.0
2025-01-17,3300.0
2025-01-18,3300.0
2025-01-20,3250.0
2025-01-21,3350.0
2025-01-22,3350.0
2025-01-23,3360.0
2025-01-24,3350.0
2025-01-25,3350.0
2025-01-27,3350.0
2025-01-28,3350.0
2025-01-29,3350.0
2025-01-30,3350.0
2025-01-31,3325.0
2025-02-01,3325.0
2025-02-03,3325.0
2025-02-04,3325.0
2025-02-05,3325.0
2025-02-06,3325.0
2025-02-07,3325.0
2025-02-08,3325.0
2025-02-10,3325.0
2025-02-11,3325.0
2025-02-12,3325.0
2025-02-13,3320.0
2025-02-14,3375.0
2025-02-15,3325.0
2025-02-17,3325.0
2025-02-18,3325.0
2025-02-19,3325.0
2025-02-20,3250.0
2025-02-21,3175.0
2025-02-22,3175.0
2025-02-24,3065.0
2025-02-25,3075.0
2025-02-27,3025.0
2025-02-28,2965.0
2025-03-01,2925.0
2025-03-03,2850.0
2025-03-04,2870.0
2025-03-05,2825.0
2025-03-06,2885.0
2025-03-07,2875.0
2025-03-08,2775.0
2025-03-10,2725.0
2025-03-11,2760.0
2025-03-12,2700.0
2025-03-13,2650.0
2025-03-15,2700.0
2025-03-17,2625.0
2025-03-18,2685.0
2025-03-19,2675.0
2025-03-20,2685.0
2025-03-21,2675.0
2025-03-22,2675.0
2025-03-24,2650.0
2025-03-25,2650.0
2025-03-26,2625.0
2025-03-27,2650.0
2025-03-28,2650.0
2025-03-29,2650.0
2025-04-01,2675.0
2025-04-02,2630.0
2025-04-03,2635.0
2025-04-04,2800.0
2025-04-05,2750.0
2025-04-07,2700.0
2025-04-08,2700.0
2025-04-09,2710.0
2025-04-11,2740.0
2025-04-12,2775.0
2025-04-14,2850.0
2025-04-15,2710.0
2025-04-16,2720.0
2025-04-17,2720.0
2025-04-19,2825.0
2025-04-21,2700.0
2025-04-22,2810.0
2025-04-23,2780.0
2025-04-24,2770.0
2025-04-25,2800.0
2025-04-26,2810.0
2025-04-30,2775.0
2025-05-01,2775.0
2025-05-02,2750.0
2025-05-03,2765.0
2025-05-05,2700.0
2025-05-06,2715.0
2025-05-07,2700.0
2025-05-08,2700.0
2025-05-09,2700.0
2025-05-10,2700.0
2025-05-12,2700.0
2025-05-13,2750.0
2025-05-14,2750.0
2025-05-15,2725.0
2025-05-16,2725.0
2025-05-17,2700.0
2025-05-19,2750.0
2025-05-20,2750.0
2025-05-21,2725.0
2025-05-22,2750.0
2025-05-23,2750.0
2025-05-24,2750.0
2025-05-27,2750.0
2025-05-28,2750.0
2025-05-29,2725.0
2025-05-30,2725.0
2025-05-31,2740.0
2025-06-02,2725.0
2025-06-03,2725.0
2025-06-04,2725.0
2025-06-05,2725.0
2025-06-06,2750.0
2025-06-09,2775.0
2025-06-10,2750.0
2025-06-11,2750.0
2025-06-12,2750.0
2025-06-13,2750.0
2025-06-14,2750.0
2025-06-16,2725.0
2025-06-17,2725.0
2025-06-18,2750.0
2025-06-19,2725.0
2025-06-20,2725.0
2025-06-21,2725.0
2025-06-23,2750.0
2025-06-24,2750.0
2025-06-25,2725.0
2025-06-26,2725.0
2025-06-28,2725.0
2025-06-30,2725.0
2025-07-01,2740.0
2025-07-02,2725.0
2025-07-03,2700.0
2025-07-04,2725.0
2025-07-05,2720.0
2025-07-07,2750.0
2025-07-08,2725.0
2025-07-09,2700.0
2025-07-10,2725.0
