date,price
2025-03-04,2710.0
2025-03-05,2715.0
2025-03-06,2750.0
2025-03-07,2705.0
2025-03-08,2660.0
2025-03-10,2625.0
2025-03-11,2600.0
2025-03-12,2600.0
2025-03-13,2575.0
2025-03-15,2585.0
2025-03-17,2540.0
2025-03-18,2580.0
2025-03-19,2565.0
2025-03-20,2575.0
2025-03-21,2595.0
2025-03-22,2570.0
2025-03-24,2565.0
2025-03-25,2565.0
2025-03-26,2550.0
2025-03-27,2565.0
2025-03-28,2565.0
2025-03-29,2565.0
2025-04-01,2520.0
2025-04-02,2545.0
2025-04-03,2545.0
2025-04-04,2555.0
2025-04-05,2590.0
2025-04-07,2555.0
2025-04-08,2550.0
2025-04-09,2550.0
2025-04-11,2570.0
2025-04-12,2570.0
2025-04-14,2580.0
2025-04-15,2595.0
2025-04-16,2565.0
2025-04-17,2575.0
2025-04-19,2575.0
2025-04-21,2560.0
2025-04-22,2555.0
2025-04-23,2555.0
2025-04-24,2565.0
2025-04-25,2585.0
2025-04-26,2595.0
2025-04-30,2565.0
2025-05-01,2565.0
2025-05-02,2565.0
2025-05-03,2570.0
2025-05-05,2570.0
2025-05-06,2575.0
2025-05-07,2560.0
2025-05-08,2575.0
2025-05-09,2585.0
2025-05-10,2590.0
2025-05-12,2605.0
2025-05-13,2605.0
2025-05-14,2610.0
2025-05-15,2605.0
2025-05-16,2620.0
2025-05-17,2615.0
2025-05-19,2635.0
2025-05-20,2640.0
2025-05-21,2645.0
2025-05-22,2650.0
2025-05-23,2660.0
2025-05-24,2625.0
2025-05-27,2645.0
2025-05-28,2655.0
2025-05-29,2620.0
2025-05-30,2625.0
2025-05-31,2625.0
2025-06-02,2610.0
2025-06-03,2590.0
2025-06-04,2585.0
2025-06-05,2605.0
2025-06-06,2615.0
2025-06-09,2615.0
2025-06-10,2600.0
2025-06-11,2605.0
2025-06-12,2605.0
2025-06-13,2605.0
2025-06-14,2615.0
2025-06-16,2585.0
2025-06-17,2580.0
2025-06-18,2600.0
2025-06-19,2595.0
2025-06-20,2595.0
2025-06-21,2605.0
2025-06-23,2615.0
2025-06-24,2615.0
2025-06-25,2600.0
2025-06-26,2610.0
2025-06-28,2605.0
2025-06-30,2595.0
2025-07-01,2595.0
2025-07-02,2600.0
2025-07-03,2605.0
2025-07-04,2605.0
2025-07-05,2605.0
2025-07-07,2610.0
2025-07-08,2610.0
2025-07-09,2605.0
2025-07-10,2610.0
2025-07-11,2620.0
2025-07-12,2635.0
2025-07-14,2645.0
2025-07-15,2660.0
2025-07-16,2705.0
2025-07-17,2685.0
2025-07-18,2695.0
2025-07-19,2710.0
2025-07-21,2710.0
2025-07-22,2745.0
2025-07-23,2750.0
2025-07-24,2755.0
2025-07-25,2770.0
2025-07-26,2770.0
2025-07-28,2755.0
2025-07-29,2770.0
2025-07-30,2780.0
2025-07-31,2795.0
2025-08-01,2785.0
2025-08-02,2765.0
2025-08-04,2765.0
2025-08-05,2770.0
2025-08-06,2770.0
2025-08-07,2775.0
2025-08-08,2775.0
2025-08-11,2775.0
2025-08-12,2775.0
2025-08-13,2745.0
2025-08-14,2760.0
2025-08-18,2775.0
2025-08-19,2760.0
2025-08-20,2765.0
2025-08-21,2765.0
2025-08-22,2760.0
2025-08-23,2765.0
2025-08-25,2765.0
2025-08-26,2760.0
2025-08-28,2740.0
2025-08-29,2740.0
2025-08-30,2760.0
2025-09-01,2765.0
2025-09-02,2775.0
2025-09-03,2790.0
2025-09-04,2795.0
2025-09-06,2785.0
2025-09-08,2795.0
2025-09-09,2765.0
2025-09-10,2775.0
2025-09-11,2770.0
2025-09-12,2750.0
2025-09-13,2755.0
2025-09-15,2765.0
2025-09-16,2720.0
2025-09-17,2735.0
2025-09-18,2735.0
2025-09-19,2715.0
2025-09-20,2725.0
2025-09-22,2720.0
2025-09-24,2660.0
2025-09-25,2665.0
2025-09-26,2675.0
2025-09-27,2675.0
2025-09-29,2685.0
2025-09-30,2705.0
2025-10-01,2710.0
2025-10-03,2725.0
2025-10-04,2710.0
2025-10-06,2690.0
2025-10-07,2670.0
2025-10-08,2645.0
2025-10-09,2650.0
2025-10-10,2655.0
2025-10-11,2655.0
2025-10-13,2615.0
2025-10-14,2620.0
2025-10-15,2650.0
2025-10-16,2650.0
2025-10-27,2645.0
2025-10-28,2610.0
2025-10-29,2620.0
2025-10-30,2625.0
2025-10-31,2625.0
2025-11-01,2625.0
2025-11-03,2640.0
2025-11-04,2640.0
2025-11-06,2615.0
