date,price
2025-01-02,2845.0
2025-01-04,2785.0
2025-01-06,2840.0
2025-01-07,2980.0
2025-01-09,2990.0
2025-01-10,3000.0
2025-01-11,2980.0
2025-01-15,2990.0
2025-01-18,3000.0
2025-01-21,2970.0
2025-01-22,3125.0
2025-01-23,2885.0
2025-01-25,2925.0
2025-01-27,2850.0
2025-01-28,2825.0
2025-01-29,2875.0
2025-02-05,2800.0
2025-02-06,2875.0
2025-02-07,2825.0
2025-02-10,2830.0
2025-02-13,2880.0
2025-02-14,2925.0
2025-02-17,2815.0
2025-02-18,2965.0
2025-02-19,2850.0
2025-02-20,2900.0
2025-02-21,2900.0
2025-02-24,2940.0
2025-02-25,2875.0
2025-02-27,3100.0
2025-02-28,2865.0
2025-03-01,2800.0
2025-03-03,2755.0
2025-03-05,2500.0
2025-03-06,2600.0
2025-03-18,3000.0
2025-03-19,2705.0
2025-03-22,2520.0
2025-03-24,2750.0
2025-03-25,2275.0
2025-04-02,2275.0
2025-04-03,2805.0
2025-04-04,2400.0
2025-04-05,2625.0
2025-04-08,2500.0
2025-04-15,2325.0
2025-04-16,2500.0
2025-04-17,2500.0
2025-04-21,2350.0
2025-04-23,2425.0
2025-04-24,2400.0
2025-04-25,2370.0
2025-04-26,2450.0
2025-04-28,2440.0
2025-05-01,2650.0
2025-05-02,2530.0
2025-05-03,2680.0
2025-05-05,2415.0
2025-05-06,2450.0
2025-05-08,2750.0
2025-05-09,2410.0
2025-05-10,2500.0
2025-05-13,2550.0
2025-05-14,2440.0
2025-05-15,2430.0
2025-05-16,2375.0
2025-05-17,2450.0
2025-05-19,2485.0
2025-05-20,2485.0
2025-05-21,2450.0
2025-05-22,2470.0
2025-05-23,2455.0
2025-05-24,2465.0
2025-05-26,2450.0
2025-05-27,2475.0
2025-05-28,2505.0
2025-05-29,2455.0
2025-06-02,2420.0
2025-06-03,2400.0
2025-06-04,2450.0
2025-06-05,2425.0
2025-06-06,2410.0
2025-06-07,2450.0
2025-06-09,2370.0
2025-06-12,2380.0
2025-06-13,2375.0
2025-06-16,2325.0
2025-06-18,2305.0
2025-06-19,2605.0
2025-06-20,2380.0
2025-06-21,2355.0
2025-06-23,2375.0
2025-06-28,2715.0
2025-06-30,2350.0
2025-07-04,2350.0
2025-07-05,2355.0
2025-07-08,2350.0
2025-07-09,2350.0
2025-07-11,2390.0
2025-07-14,2350.0
2025-07-15,2325.0
2025-07-16,2325.0
2025-07-23,2400.0
2025-07-25,2680.0
2025-07-26,2500.0
2025-07-30,2450.0
2025-07-31,2450.0
2025-08-04,2500.0
2025-08-05,2500.0
2025-08-08,2940.0
2025-08-11,2550.0
2025-08-29,2590.0
2025-09-02,2800.0
2025-09-04,2700.0
2025-09-06,2615.0
2025-09-09,2800.0
2025-09-10,2500.0
2025-09-11,2625.0
2025-09-17,2620.0
2025-09-18,2600.0
2025-09-20,2575.0
2025-09-22,2555.0
2025-10-01,2600.0
2025-10-03,2555.0
2025-10-04,2600.0
2025-10-06,2500.0
2025-10-09,2525.0
2025-10-10,2600.0
2025-10-11,2560.0
2025-10-13,2500.0
2025-10-15,2520.0
2025-10-16,2500.0
2025-10-30,2475.0
2025-10-31,2425.0
2025-11-01,2445.0
2025-11-03,2500.0
2025-11-06,2500.0
2025-11-07,2500.0
2025-11-10,2500.0
2025-11-11,2500.0
2025-11-12,2520.0
2025-11-13,2540.0
2025-11-15,2555.0
2025-11-17,2550.0
2025-11-18,2550.0
2025-11-19,2750.0
2025-11-21,2495.0
2025-11-22,2535.0
2025-11-24,2600.0
2025-11-25,2550.0
2025-11-26,2600.0
2025-11-27,2630.0
2025-11-28,2560.0
2025-11-29,2525.0
2025-12-01,2500.0
2025-12-02,2560.0
2025-12-08,2850.0
2025-12-09,2605.0
2025-12-10,2575.0
2025-12-12,2500.0
2025-12-15,2600.0
2025-12-16,2750.0
2025-12-17,2750.0
