date,price
2025-01-02,3060.0
2025-01-03,2805.0
2025-01-08,2850.0
2025-01-10,3255.0
2025-01-16,2800.0
2025-01-17,3035.0
2025-01-22,2795.0
2025-01-23,2765.0
2025-01-25,2825.0
2025-01-27,2805.0
2025-01-28,2915.0
2025-01-29,2505.0
2025-01-31,3175.0
2025-02-01,2900.0
2025-02-03,2875.0
2025-02-10,2675.0
2025-02-14,3055.0
2025-02-15,2680.0
2025-02-18,2990.0
2025-02-20,3380.0
2025-02-21,2950.0
2025-02-25,2755.0
2025-02-28,2805.0
2025-03-01,2800.0
2025-03-05,2605.0
2025-03-06,2760.0
2025-03-10,2625.0
2025-03-11,2590.0
2025-03-17,2530.0
2025-03-18,2615.0
2025-03-19,2530.0
2025-03-20,2500.0
2025-03-22,2610.0
2025-03-24,2540.0
2025-03-25,2680.0
2025-04-01,2680.0
2025-04-02,2490.0
2025-04-03,2580.0
2025-04-04,2630.0
2025-04-05,2460.0
2025-04-07,2500.0
2025-04-08,2655.0
2025-04-09,2710.0
2025-04-11,2720.0
2025-04-15,2750.0
2025-04-16,2700.0
2025-04-17,2695.0
2025-04-18,2705.0
2025-04-19,2790.0
2025-04-21,2550.0
2025-04-22,2500.0
2025-04-23,2680.0
2025-04-24,2730.0
2025-04-25,2610.0
2025-04-26,2625.0
2025-04-28,2625.0
2025-04-29,2525.0
2025-05-02,2535.0
2025-05-03,2480.0
2025-05-05,2410.0
2025-05-06,2425.0
2025-05-07,2400.0
2025-05-08,2395.0
2025-05-09,2350.0
2025-05-10,2580.0
2025-05-13,2525.0
2025-05-14,2640.0
2025-05-15,2560.0
2025-05-16,2500.0
2025-05-17,2600.0
2025-05-19,2430.0
2025-05-20,2425.0
2025-05-21,2475.0
2025-05-22,2500.0
2025-05-23,2490.0
2025-05-24,2495.0
2025-05-26,2455.0
2025-05-27,2450.0
2025-05-28,2470.0
2025-05-29,2500.0
2025-05-30,2435.0
2025-06-02,2450.0
2025-06-03,2550.0
2025-06-04,2460.0
2025-06-05,2350.0
2025-06-09,2435.0
2025-06-10,2425.0
2025-06-12,2425.0
2025-06-13,2445.0
2025-06-14,2415.0
2025-06-16,2425.0
2025-06-17,2350.0
2025-06-18,2340.0
2025-06-19,2425.0
2025-06-20,2390.0
2025-06-21,2395.0
2025-06-23,2470.0
2025-06-24,2490.0
2025-06-25,2525.0
2025-06-26,2450.0
2025-06-28,2425.0
2025-06-30,2425.0
2025-07-01,2425.0
2025-07-02,2450.0
2025-07-05,2375.0
2025-07-07,2365.0
2025-07-08,2425.0
2025-07-11,2440.0
2025-07-12,2435.0
2025-07-14,2370.0
2025-07-15,2355.0
2025-07-16,2485.0
2025-07-17,2425.0
2025-07-18,2430.0
2025-07-21,2565.0
2025-07-22,2350.0
2025-07-23,2475.0
2025-07-25,2640.0
2025-07-26,2500.0
2025-07-29,2675.0
2025-07-30,2500.0
2025-07-31,2500.0
2025-08-01,2250.0
2025-08-02,2540.0
2025-08-04,2325.0
2025-08-05,2485.0
2025-08-06,2640.0
2025-08-07,2590.0
2025-08-08,2655.0
2025-08-11,2585.0
2025-08-12,2645.0
2025-08-13,2615.0
2025-08-14,2570.0
2025-08-21,2600.0
2025-08-23,2660.0
2025-08-25,2155.0
2025-08-26,2590.0
2025-08-28,2580.0
2025-08-29,2615.0
2025-08-30,2660.0
2025-09-02,2540.0
2025-09-03,2750.0
2025-09-04,2560.0
2025-09-10,2680.0
2025-09-11,2575.0
