date,price
2025-11-08,2250.0
2025-11-10,2625.0
2025-11-11,2305.0
2025-11-12,2400.0
2025-11-13,2555.0
2025-11-14,2630.0
2025-11-15,2605.0
2025-11-17,2655.0
2025-11-18,2670.0
2025-11-19,2655.0
2025-11-20,2625.0
2025-11-21,2605.0
2025-11-24,2700.0
2025-11-25,2560.0
2025-11-26,2605.0
2025-11-27,2650.0
2025-11-28,2680.0
2025-11-29,2715.0
2025-12-01,2560.0
2025-12-02,2650.0
2025-12-03,2605.0
2025-12-04,2625.0
2025-12-05,2615.0
2025-12-06,2700.0
2025-12-08,2625.0
2025-12-09,2550.0
2025-12-11,2605.0
2025-12-12,2565.0
2025-12-13,2535.0
2025-12-15,2560.0
2025-12-16,2570.0
2025-12-17,2565.0
2025-12-20,2545.0
2025-12-22,2485.0
2025-12-23,2600.0
2025-12-24,2555.0
2025-12-25,2570.0
2025-12-26,2605.0
2025-12-27,2490.0
2025-12-29,2575.0
2025-12-30,2565.0
2025-12-31,2525.0
2026-01-01,2225.0
2026-01-02,2255.0
2026-01-03,2515.0
2026-01-05,2475.0
2026-01-06,2505.0
2026-01-07,2725.0
2026-01-08,2465.0
2026-01-09,2585.0
2026-01-10,2580.0
2026-01-12,2460.0
2026-01-13,2305.0
2026-01-16,2570.0
2026-01-17,1750.0
2026-01-19,2530.0
2026-01-21,2525.0
2026-01-22,2420.0
2026-01-23,2380.0
2026-01-24,2380.0
2026-01-27,2560.0
2026-01-28,2610.0
2026-02-02,2380.0
2026-02-03,2535.0
2026-02-04,2540.0
2026-02-05,2555.0
2026-02-06,2625.0
2026-02-07,2655.0
2026-02-09,2380.0
2026-02-11,2285.0
2026-02-12,2515.0
2026-02-13,2500.0
2026-02-16,2350.0
2026-02-17,2630.0
2026-02-18,2310.0
2026-02-19,2300.0
2026-02-20,2250.0
2026-02-21,2355.0
2026-02-23,2320.0
2026-02-24,2315.0
2026-02-25,2200.0
2026-02-26,2210.0
2026-02-27,2255.0
2026-02-28,2475.0
2026-03-02,2155.0
2026-03-05,2210.0
2026-03-06,2000.0
2026-03-07,2200.0
2026-03-09,2135.0
2026-03-10,2125.0
2026-03-11,2120.0
2026-03-12,2050.0
2026-03-13,1765.0
2026-03-14,2015.0
2026-03-16,2080.0
2026-03-17,2085.0
2026-03-18,2065.0
2026-03-19,2055.0
2026-03-20,2505.0
2026-03-23,2250.0
2026-03-24,2100.0
2026-03-25,2085.0
2026-04-01,1900.0
2026-04-02,2135.0
2026-04-03,2200.0
2026-04-04,2075.0
2026-04-06,2225.0
2026-04-07,1975.0
2026-04-08,2125.0
2026-04-09,2110.0
2026-04-10,2095.0
2026-04-11,1925.0
2026-04-13,2070.0
2026-04-15,2085.0
2026-04-16,2155.0
2026-04-17,2170.0
2026-04-18,2185.0
2026-04-20,2205.0
2026-04-21,2195.0
2026-04-22,2110.0
2026-04-23,2185.0
2026-04-24,2140.0
2026-04-25,2210.0
2026-04-27,2225.0
2026-04-28,2305.0
2026-04-29,2250.0
2026-04-30,2275.0
2026-05-01,2275.0
2026-05-02,2235.0
2026-05-04,2175.0
2026-05-05,2215.0
2026-05-06,2190.0
2026-05-07,2180.0
2026-05-08,2295.0
2026-05-09,2190.0
2026-05-11,2195.0
2026-05-12,2230.0
2026-05-13,2230.0
2026-05-14,2225.0
2026-05-15,2205.0
2026-05-16,2205.0
2026-05-18,2180.0
2026-05-19,2225.0
2026-05-20,2245.0
2026-05-21,2240.0
2026-05-22,2250.0
2026-05-23,2235.0
2026-05-25,2235.0
2026-05-26,2240.0
2026-05-27,2240.0
2026-05-29,2205.0
2026-05-30,2225.0
2026-06-01,2295.0
2026-06-02,2235.0
2026-06-03,2245.0
2026-06-04,2265.0
2026-06-05,2250.0
2026-06-06,2180.0
2026-06-08,2230.0
2026-06-09,2195.0
2026-06-10,2250.0
2026-06-11,2265.0
2026-06-12,2290.0
2026-06-13,2225.0
2026-06-15,2270.0
2026-06-16,2270.0
2026-06-17,2265.0
2026-06-18,2255.0
2026-06-19,2280.0
2026-06-20,2250.0
2026-06-22,2265.0
2026-06-23,2290.0
2026-06-24,2265.0
2026-06-27,2265.0
2026-06-29,2350.0
2026-06-30,2355.0
2026-07-01,2360.0
2026-07-02,2320.0
2026-07-03,2325.0
2026-07-04,2345.0
2026-07-07,2375.0
2026-07-08,2325.0
2026-07-09,2350.0
2026-07-10,2500.0
2026-07-11,2305.0
2026-07-13,2400.0
2026-07-14,2510.0
2026-07-15,2480.0
2026-07-17,2460.0
2026-07-18,2485.0
2026-07-21,2625.0
2026-07-22,2380.0
2026-07-23,2625.0
2026-07-25,2555.0
2026-07-27,2520.0
2026-07-28,2625.0
2026-07-29,2600.0
2026-07-30,2595.0
2026-08-03,2650.0
2026-08-04,2560.0
2026-08-06,2615.0
2026-08-07,2375.0
2026-08-10,2595.0
2026-08-11,2580.0
2026-08-12,2350.0
2026-08-13,2625.0
2026-08-14,2540.0
2026-08-17,2555.0
2026-08-18,2450.0
2026-08-19,2525.0
2026-08-20,2620.0
2026-08-24,2595.0
2026-08-25,2630.0
2026-08-27,2595.0
2026-08-29,2530.0
2026-08-31,2605.0
2026-09-01,2610.0
2026-09-07,2750.0
2026-09-08,2655.0
2026-09-09,2680.0
2026-09-10,2700.0
2026-09-11,2580.0
2026-09-12,2710.0
2026-09-14,2730.0
2026-09-15,2730.0
2026-09-16,2755.0
2026-09-17,2850.0
2026-09-18,2680.0
2026-09-19,2550.0
2026-09-21,2630.0
2026-09-22,2675.0
2026-09-23,2615.0
