date,price
2025-01-02,2905.0
2025-01-03,2880.0
2025-01-04,2790.0
2025-01-06,2960.0
2025-01-07,3015.0
2025-01-08,2955.0
2025-01-09,2985.0
2025-01-10,3000.0
2025-01-15,3045.0
2025-01-20,2940.0
2025-01-21,3120.0
2025-01-22,2915.0
2025-01-23,3025.0
2025-01-24,3000.0
2025-01-25,2470.0
2025-01-27,2890.0
2025-01-28,2975.0
2025-01-29,2890.0
2025-01-30,2915.0
2025-01-31,3050.0
2025-02-01,2890.0
2025-02-03,2900.0
2025-02-04,2640.0
2025-02-07,2665.0
2025-02-10,2685.0
2025-02-11,2850.0
2025-02-12,2775.0
2025-02-13,1550.0
2025-02-14,2500.0
2025-02-15,2885.0
2025-02-17,3005.0
2025-02-18,2925.0
2025-02-19,2965.0
2025-02-21,2780.0
2025-02-22,2450.0
2025-02-24,2560.0
2025-02-25,2700.0
2025-02-27,2705.0
2025-02-28,2475.0
2025-03-01,2530.0
2025-03-03,2075.0
2025-03-04,2000.0
2025-03-05,2495.0
2025-03-06,2375.0
2025-03-07,2480.0
2025-03-08,2610.0
2025-03-10,2445.0
2025-03-11,2395.0
2025-03-12,2415.0
2025-03-15,2400.0
2025-03-17,2095.0
2025-03-18,2385.0
2025-03-19,2375.0
2025-03-20,2490.0
2025-03-21,1890.0
2025-03-22,2420.0
2025-03-24,2095.0
2025-03-25,2000.0
2025-04-01,2580.0
2025-04-02,2430.0
2025-04-03,2435.0
2025-04-04,2425.0
2025-04-07,2325.0
2025-04-08,2275.0
2025-04-09,2440.0
2025-04-10,2320.0
2025-04-11,2310.0
2025-04-15,2275.0
2025-04-16,2370.0
2025-04-17,2305.0
2025-04-18,2340.0
2025-04-19,2280.0
2025-04-22,2335.0
2025-04-23,2505.0
2025-04-24,2510.0
2025-04-25,2480.0
2025-04-26,2460.0
2025-04-28,2380.0
2025-04-29,2470.0
2025-04-30,2475.0
2025-05-01,2475.0
2025-05-02,2485.0
2025-05-03,2495.0
2025-05-05,2515.0
2025-05-06,2350.0
2025-05-07,2500.0
2025-05-08,2305.0
2025-05-09,2250.0
2025-05-10,2135.0
2025-05-12,2325.0
2025-05-13,2475.0
2025-05-14,2375.0
2025-05-16,2425.0
2025-05-19,2480.0
2025-05-20,2475.0
2025-05-21,2310.0
2025-05-22,2300.0
2025-05-23,2480.0
2025-05-26,2365.0
2025-05-27,2325.0
2025-05-28,2450.0
2025-05-31,2505.0
2025-06-02,2440.0
2025-06-03,2330.0
2025-06-04,2525.0
2025-06-05,2530.0
2025-06-09,2255.0
2025-06-10,2495.0
2025-06-11,2525.0
2025-06-12,2520.0
2025-06-13,2525.0
2025-06-14,2580.0
2025-06-16,2500.0
2025-06-18,2270.0
2025-06-19,2420.0
2025-06-20,2540.0
2025-06-21,2550.0
2025-06-24,2510.0
2025-06-25,2500.0
2025-06-26,2215.0
2025-06-28,2530.0
2025-06-30,2275.0
2025-07-01,2485.0
2025-07-02,2425.0
2025-07-03,2300.0
2025-07-07,2535.0
2025-07-08,2350.0
2025-07-09,2400.0
2025-07-11,2550.0
2025-07-12,2525.0
2025-07-14,2515.0
2025-07-15,2305.0
2025-07-16,2380.0
2025-07-17,2585.0
2025-07-18,2025.0
2025-07-21,2155.0
2025-07-22,2530.0
2025-07-28,2500.0
2025-07-29,2555.0
2025-07-30,2375.0
2025-07-31,2200.0
2025-08-05,2670.0
2025-08-06,2305.0
2025-08-08,2770.0
2025-08-11,2595.0
2025-08-12,2580.0
2025-08-13,2700.0
2025-08-19,2560.0
2025-08-21,2685.0
2025-08-27,2125.0
2025-08-30,2500.0
2025-09-01,2625.0
2025-09-03,2650.0
2025-09-04,2665.0
2025-09-08,2425.0
2025-09-09,2740.0
2025-09-11,2705.0
2025-09-12,2735.0
2025-09-13,2715.0
2025-09-15,2075.0
2025-09-16,2590.0
2025-09-17,2750.0
2025-09-18,2675.0
2025-09-19,2730.0
2025-09-20,2080.0
2025-09-22,2330.0
2025-09-23,2660.0
2025-09-24,2725.0
2025-09-25,2545.0
2025-09-27,2570.0
2025-09-30,2400.0
2025-10-08,2125.0
2025-10-09,2250.0
2025-10-10,2325.0
2025-10-13,2630.0
2025-10-14,2415.0
2025-10-15,2585.0
2025-10-16,2505.0
2025-10-28,2375.0
2025-10-29,2125.0
2025-10-30,2630.0
2025-10-31,2250.0
2025-11-03,2715.0
2025-11-04,2635.0
2025-11-05,2405.0
2025-11-06,2500.0
2025-11-07,2505.0
