date,price
2025-01-02,2970.0
2025-01-03,2925.0
2025-01-04,3020.0
2025-01-06,2965.0
2025-01-07,3010.0
2025-01-08,2965.0
2025-01-09,2935.0
2025-01-10,2950.0
2025-01-11,2955.0
2025-01-13,2925.0
2025-01-15,3100.0
2025-01-16,3125.0
2025-01-17,3120.0
2025-01-20,3175.0
2025-01-21,3100.0
2025-01-22,3145.0
2025-01-24,3110.0
2025-01-25,3235.0
2025-01-27,3075.0
2025-01-28,3055.0
2025-01-29,3190.0
2025-01-30,3080.0
2025-01-31,3090.0
2025-02-02,2920.0
2025-02-07,3015.0
2025-02-08,2860.0
2025-02-10,2805.0
2025-02-11,3135.0
2025-02-12,3030.0
2025-02-14,3055.0
2025-02-15,3205.0
2025-02-17,3110.0
2025-02-19,3105.0
2025-02-21,3110.0
2025-02-22,3200.0
2025-02-24,2805.0
2025-02-27,2676.0
2025-02-28,2505.0
2025-03-01,2555.0
2025-03-03,2550.0
2025-03-05,2555.0
2025-03-06,2555.0
2025-03-07,2455.0
2025-03-08,2575.0
2025-03-10,2540.0
2025-03-11,2535.0
2025-03-12,2490.0
2025-03-13,2455.0
2025-03-15,2455.0
2025-03-17,2465.0
2025-03-18,2505.0
2025-03-19,2510.0
2025-03-20,2430.0
2025-03-21,2440.0
2025-03-22,2445.0
2025-03-24,2490.0
2025-03-25,2445.0
2025-03-26,2490.0
2025-03-27,2455.0
2025-03-28,2430.0
2025-04-01,2460.0
2025-04-03,2435.0
2025-04-05,2475.0
2025-04-07,2425.0
2025-04-08,2475.0
2025-04-09,2475.0
2025-04-10,2455.0
2025-04-12,2475.0
2025-04-14,2460.0
2025-04-15,2440.0
2025-04-16,2550.0
2025-04-17,2480.0
2025-04-18,2505.0
2025-04-19,2480.0
2025-04-21,2430.0
2025-04-22,2520.0
2025-04-23,2445.0
2025-04-24,2505.0
2025-04-25,2545.0
2025-04-26,2430.0
2025-04-28,2455.0
2025-04-29,2435.0
2025-04-30,2445.0
2025-05-02,2450.0
2025-05-03,2460.0
2025-05-05,2460.0
2025-05-06,2440.0
2025-05-08,2510.0
2025-05-09,2550.0
2025-05-10,2475.0
2025-05-12,2475.0
2025-05-13,2490.0
2025-05-14,2550.0
2025-05-15,2475.0
2025-05-17,2505.0
2025-05-19,2525.0
2025-05-20,2475.0
2025-05-21,2505.0
2025-05-22,2430.0
2025-05-23,2525.0
2025-05-24,2550.0
2025-05-26,2575.0
2025-05-27,2570.0
2025-05-28,2560.0
2025-05-29,2300.0
2025-05-30,2530.0
2025-05-31,2555.0
2025-06-02,2555.0
2025-06-03,2530.0
2025-06-04,2570.0
2025-06-05,2510.0
2025-06-06,2505.0
2025-06-07,2505.0
2025-06-09,2505.0
2025-06-10,2515.0
2025-06-11,2540.0
2025-06-12,2555.0
2025-06-13,2505.0
2025-06-14,2525.0
2025-06-16,2515.0
2025-06-17,2505.0
2025-06-18,2535.0
2025-06-19,2510.0
2025-06-20,2485.0
2025-06-21,2430.0
2025-06-24,2465.0
2025-06-25,2480.0
2025-06-26,2480.0
2025-06-28,2515.0
2025-06-30,2435.0
2025-07-01,2440.0
2025-07-02,2490.0
2025-07-03,2455.0
2025-07-04,2450.0
2025-07-05,2475.0
2025-07-07,2440.0
2025-07-08,2460.0
2025-07-09,2500.0
2025-07-10,2505.0
2025-07-11,2445.0
2025-07-12,2585.0
2025-07-15,2585.0
2025-07-16,2460.0
2025-07-17,2560.0
2025-07-18,2595.0
2025-07-19,2505.0
2025-07-21,2545.0
2025-07-22,2490.0
2025-07-24,2540.0
2025-07-25,2590.0
2025-07-26,2595.0
2025-07-29,2505.0
2025-07-30,2495.0
2025-07-31,2530.0
2025-08-01,2605.0
2025-08-02,2540.0
2025-08-05,2630.0
2025-08-06,2590.0
2025-08-07,2605.0
2025-08-19,2605.0
2025-08-20,2505.0
2025-08-21,2630.0
2025-08-22,2635.0
2025-08-25,2455.0
2025-08-26,2585.0
2025-08-27,2630.0
2025-08-28,2605.0
2025-08-29,2505.0
2025-08-30,2665.0
2025-09-01,2600.0
2025-09-02,2570.0
2025-09-03,2595.0
2025-09-04,2630.0
2025-09-05,2460.0
2025-09-08,2455.0
2025-09-09,2620.0
2025-09-10,2555.0
2025-09-11,2605.0
2025-09-12,2630.0
2025-09-15,2560.0
2025-09-16,2505.0
2025-09-17,2615.0
2025-09-18,2605.0
2025-09-19,2505.0
2025-09-20,2595.0
2025-09-22,2555.0
2025-09-23,2540.0
2025-09-24,2520.0
2025-09-25,2505.0
2025-09-26,2680.0
2025-09-27,2510.0
2025-09-29,2520.0
2025-09-30,2475.0
2025-10-01,2585.0
2025-10-03,2505.0
2025-10-04,2440.0
2025-10-06,2475.0
2025-10-08,2460.0
2025-10-09,2515.0
2025-10-10,2490.0
2025-10-11,2475.0
2025-10-13,2475.0
2025-10-14,2510.0
2025-10-15,2430.0
2025-10-16,2525.0
2025-10-17,2515.0
2025-10-18,2305.0
2025-10-27,2500.0
2025-10-29,2550.0
2025-10-30,2505.0
2025-10-31,2555.0
2025-11-03,2505.0
2025-11-04,2520.0
2025-11-05,2575.0
2025-11-06,2555.0
2025-11-08,2575.0
2025-11-10,2605.0
2025-11-11,2500.0
2025-11-12,2500.0
2025-11-13,2505.0
2025-11-14,2525.0
2025-11-15,2555.0
