date,price
2025-11-17,2550.0
2025-11-18,2510.0
2025-11-19,2555.0
2025-11-20,2400.0
2025-11-21,2550.0
2025-11-22,2625.0
2025-11-24,2470.0
2025-11-25,2480.0
2025-11-26,2495.0
2025-11-27,2495.0
2025-11-28,2485.0
2025-12-01,2505.0
2025-12-02,2505.0
2025-12-03,2450.0
2025-12-04,2425.0
2025-12-05,2480.0
2025-12-06,2425.0
2025-12-08,2435.0
2025-12-09,2510.0
2025-12-10,2410.0
2025-12-11,2400.0
2025-12-12,2345.0
2025-12-13,2310.0
2025-12-15,2425.0
2025-12-16,2300.0
2025-12-17,2325.0
2025-12-18,2425.0
2025-12-19,2375.0
2025-12-20,2325.0
2025-12-22,2350.0
2025-12-24,2380.0
2025-12-26,2490.0
2025-12-27,2325.0
2025-12-29,2350.0
2025-12-31,2555.0
2026-01-01,2490.0
2026-01-03,2555.0
2026-01-05,2585.0
2026-01-06,2425.0
2026-01-07,2555.0
2026-01-08,2375.0
2026-01-09,2505.0
2026-01-10,2400.0
2026-01-12,2350.0
2026-01-16,2510.0
2026-01-17,2400.0
2026-01-19,2430.0
2026-01-20,2500.0
2026-01-21,2430.0
2026-01-22,2505.0
2026-01-23,2465.0
2026-01-24,2265.0
2026-01-27,2305.0
2026-01-28,2445.0
2026-01-29,2430.0
2026-01-31,2560.0
2026-02-02,2600.0
2026-02-03,2650.0
2026-02-04,2505.0
2026-02-05,2320.0
2026-02-07,2490.0
2026-02-09,2345.0
2026-02-10,2310.0
2026-02-11,2550.0
2026-02-14,2420.0
2026-02-16,2355.0
2026-02-17,2325.0
2026-02-18,2385.0
2026-02-19,2315.0
2026-02-20,2290.0
2026-02-21,2455.0
2026-02-23,2425.0
2026-02-26,2360.0
2026-03-09,2225.0
2026-03-11,2225.0
2026-03-13,2235.0
2026-03-14,2235.0
2026-03-16,2240.0
2026-03-17,2235.0
2026-03-24,2140.0
2026-04-16,2125.0
2026-04-17,2225.0
2026-04-20,2185.0
2026-04-21,2150.0
2026-04-22,2160.0
2026-04-25,2255.0
2026-05-02,2270.0
2026-05-04,2270.0
2026-05-05,2240.0
2026-05-07,2265.0
2026-05-11,2215.0
2026-05-12,2240.0
2026-05-13,2285.0
2026-05-19,2305.0
2026-05-20,2310.0
2026-05-21,2310.0
2026-05-22,2255.0
2026-05-25,2255.0
2026-05-28,2260.0
2026-06-02,2295.0
2026-06-03,2155.0
2026-06-05,2275.0
2026-06-06,2290.0
2026-06-08,2265.0
2026-06-09,2255.0
2026-06-10,2270.0
2026-06-11,2285.0
2026-06-13,2290.0
2026-06-16,2305.0
2026-06-17,2295.0
2026-06-20,2280.0
2026-06-22,2335.0
2026-06-24,2240.0
2026-06-27,2285.0
2026-06-29,2320.0
2026-07-01,2305.0
2026-07-02,2335.0
2026-07-04,2285.0
2026-07-07,2470.0
2026-07-13,2430.0
2026-07-21,2535.0
2026-07-22,2370.0
2026-07-23,2490.0
2026-07-24,2420.0
2026-07-27,2515.0
2026-07-29,2425.0
2026-07-31,2455.0
2026-08-03,2485.0
2026-08-10,2540.0
2026-08-19,2595.0
2026-08-22,2550.0
2026-08-25,2445.0
2026-09-12,2710.0
2026-09-17,2705.0
2026-09-19,2740.0
2026-09-22,2730.0
