date,price
2025-03-03,2000.0
2025-03-11,2560.0
2025-03-12,2265.0
2025-03-15,1900.0
2025-03-17,2350.0
2025-03-18,2175.0
2025-03-19,2250.0
2025-03-20,2305.0
2025-03-21,2200.0
2025-04-01,2280.0
2025-04-02,2400.0
2025-04-03,2320.0
2025-04-04,2350.0
2025-04-05,2425.0
2025-04-07,2545.0
2025-04-08,2440.0
2025-04-09,2300.0
2025-04-10,2250.0
2025-04-11,2265.0
2025-04-15,2200.0
2025-04-16,2200.0
2025-04-17,2370.0
2025-04-18,2360.0
2025-04-19,2200.0
2025-04-21,2220.0
2025-04-22,2445.0
2025-04-23,2300.0
2025-04-24,2100.0
2025-04-26,2430.0
2025-04-28,2250.0
2025-05-02,2400.0
2025-05-03,2250.0
2025-05-08,2380.0
2025-05-09,2365.0
2025-05-10,2390.0
2025-05-13,2340.0
2025-05-14,2420.0
2025-05-15,2505.0
2025-05-19,2465.0
2025-05-20,2440.0
2025-05-23,2370.0
2025-05-24,2400.0
2025-05-26,2450.0
2025-05-29,2350.0
2025-05-30,2400.0
2025-05-31,2445.0
2025-06-02,2450.0
2025-06-03,2525.0
2025-06-04,2455.0
2025-06-05,2350.0
2025-06-06,2370.0
2025-06-07,2415.0
2025-06-09,2450.0
2025-06-10,2495.0
2025-06-11,2450.0
2025-06-12,2350.0
2025-06-13,2305.0
2025-06-14,2350.0
2025-06-16,2400.0
2025-06-21,2325.0
2025-06-24,2370.0
2025-06-26,2350.0
2025-06-28,2415.0
2025-06-30,2555.0
2025-07-01,2450.0
2025-07-02,2500.0
2025-07-03,2475.0
2025-07-04,2365.0
2025-07-05,2390.0
2025-07-07,2450.0
2025-07-08,2385.0
2025-07-09,2470.0
2025-07-11,2375.0
2025-07-14,2350.0
2025-07-15,2450.0
2025-07-16,2525.0
2025-07-17,2590.0
2025-07-18,2605.0
2025-07-21,2500.0
2025-07-22,2600.0
2025-07-23,2610.0
2025-07-24,2500.0
2025-07-25,2550.0
2025-07-28,2550.0
2025-07-29,2650.0
2025-07-30,2660.0
2025-07-31,2650.0
2025-08-01,2600.0
2025-08-02,2575.0
2025-08-04,2500.0
2025-08-05,2535.0
2025-08-08,2675.0
2025-08-11,2500.0
2025-08-20,2550.0
2025-08-21,2610.0
2025-08-22,2625.0
2025-08-23,2350.0
2025-08-25,2750.0
2025-08-26,2750.0
2025-08-27,2635.0
2025-08-29,2675.0
2025-08-30,2290.0
2025-09-01,2675.0
2025-09-02,2680.0
2025-09-03,2655.0
2025-09-04,2570.0
2025-09-06,2580.0
2025-09-09,2660.0
2025-09-11,2660.0
2025-09-12,2650.0
2025-09-13,2630.0
2025-09-15,2675.0
2025-09-18,2605.0
2025-09-20,2560.0
2025-09-23,2660.0
2025-09-25,2575.0
2025-11-07,2830.0
2025-11-10,2755.0
2025-11-11,2675.0
2025-11-29,2650.0
2025-12-04,2685.0
2025-12-06,2590.0
2025-12-15,2680.0
2025-12-17,2400.0
2025-12-19,2690.0
2025-12-26,2250.0
2025-12-30,2430.0
2025-12-31,2325.0
2026-01-06,2210.0
2026-01-10,2350.0
2026-01-12,2640.0
2026-01-29,2550.0
2026-01-30,2710.0
2026-01-31,2360.0
2026-02-09,2365.0
2026-02-14,2130.0
2026-02-17,2110.0
2026-03-05,2155.0
2026-03-10,2210.0
2026-03-12,2290.0
2026-03-13,2255.0
2026-03-16,2175.0
2026-03-17,2200.0
2026-03-19,2250.0
2026-03-23,2030.0
2026-03-24,2050.0
2026-04-02,2305.0
2026-04-03,2050.0
2026-04-04,2375.0
2026-04-06,2175.0
2026-04-08,2300.0
2026-04-09,2250.0
2026-04-10,2100.0
2026-04-11,2075.0
2026-04-13,2070.0
2026-04-15,2200.0
2026-04-16,2135.0
2026-04-17,2055.0
2026-04-18,1850.0
2026-04-22,2085.0
2026-04-23,2150.0
2026-04-28,2175.0
2026-04-29,2300.0
2026-04-30,2055.0
2026-05-01,2155.0
2026-05-02,2190.0
2026-05-04,2150.0
2026-05-05,2300.0
2026-05-06,2275.0
2026-05-07,2250.0
2026-05-09,2200.0
2026-05-13,2180.0
2026-05-14,2250.0
2026-05-15,2210.0
2026-05-16,2300.0
2026-05-18,2250.0
2026-05-19,2200.0
2026-05-20,2225.0
2026-05-21,2250.0
2026-05-22,2230.0
2026-05-23,2170.0
2026-05-25,2275.0
2026-05-28,2250.0
2026-05-29,2200.0
2026-05-30,2250.0
2026-06-01,2250.0
2026-06-03,2125.0
2026-06-04,2275.0
2026-06-05,2385.0
2026-06-08,2255.0
2026-06-10,2375.0
2026-06-12,2255.0
2026-06-13,2280.0
2026-06-15,2390.0
2026-06-16,2375.0
2026-06-17,2350.0
2026-06-18,2450.0
2026-06-22,2375.0
2026-06-23,2375.0
2026-06-24,2285.0
2026-06-25,2300.0
2026-06-26,2290.0
2026-06-27,2360.0
2026-06-29,2410.0
2026-06-30,2255.0
2026-07-01,2350.0
2026-07-03,2450.0
2026-07-04,2360.0
2026-07-08,2305.0
2026-07-11,2360.0
2026-07-14,2265.0
2026-07-15,2395.0
2026-07-22,2450.0
2026-07-31,2380.0
2026-08-06,2305.0
2026-08-07,2185.0
2026-08-18,2470.0
2026-08-19,2450.0
2026-08-21,2500.0
2026-08-22,2660.0
2026-08-25,2600.0
2026-08-26,2500.0
2026-08-27,2400.0
2026-08-29,2750.0
2026-08-31,2725.0
2026-09-08,2615.0
2026-09-09,2260.0
2026-09-12,2655.0
2026-09-19,2670.0
2026-09-21,3000.0
2026-09-23,2775.0
