date,price
2025-01-02,2825.0
2025-01-07,2800.0
2025-01-09,2810.0
2025-01-10,2945.0
2025-01-11,2785.0
2025-01-15,2865.0
2025-01-16,3025.0
2025-01-17,2890.0
2025-02-14,3050.0
2025-02-17,3030.0
2025-02-24,2800.0
2025-02-27,2895.0
2025-02-28,2785.0
2025-03-03,2690.0
2025-03-04,2730.0
2025-03-05,2695.0
2025-03-06,2655.0
2025-03-07,2660.0
2025-03-17,2365.0
2025-03-18,2180.0
2025-03-19,2165.0
2025-03-21,2165.0
2025-03-22,2120.0
2025-04-02,2400.0
2025-04-03,2225.0
2025-04-04,2125.0
2025-04-05,2310.0
2025-04-07,2210.0
2025-04-08,2295.0
2025-04-10,2225.0
2025-04-11,2140.0
2025-04-14,2075.0
2025-04-15,2090.0
2025-04-16,2120.0
2025-04-17,2160.0
2025-04-18,2085.0
2025-04-19,2170.0
2025-04-21,2060.0
2025-04-22,2010.0
2025-04-23,2150.0
2025-04-24,2210.0
2025-04-25,2140.0
2025-04-26,2125.0
2025-04-28,2195.0
2025-04-29,2235.0
2025-04-30,2275.0
2025-05-01,2230.0
2025-05-03,2185.0
2025-05-13,2160.0
2025-05-14,2215.0
2025-05-15,2255.0
2025-05-17,2140.0
2025-05-19,2255.0
2025-05-20,2210.0
2025-05-21,2230.0
2025-05-22,2240.0
2025-05-23,2195.0
2025-05-27,2125.0
2025-05-30,2195.0
2025-05-31,2165.0
2025-06-02,2165.0
2025-06-03,2085.0
2025-06-04,2110.0
2025-06-05,2020.0
2025-06-07,2165.0
2025-06-09,2100.0
2025-06-10,2155.0
2025-06-11,2130.0
2025-06-12,2160.0
2025-06-13,2140.0
2025-06-14,2150.0
2025-06-16,2155.0
2025-06-17,2285.0
2025-06-18,2265.0
2025-06-19,2205.0
2025-06-20,2260.0
2025-06-21,2165.0
2025-06-23,2220.0
2025-06-24,2335.0
2025-06-25,2170.0
2025-06-26,2225.0
2025-06-28,2175.0
2025-06-30,2165.0
2025-07-01,2175.0
2025-07-03,2185.0
2025-07-05,2240.0
2025-07-10,2225.0
2025-07-11,2205.0
2025-07-12,2210.0
2025-07-14,1850.0
2025-07-16,2115.0
2025-07-17,2245.0
2025-07-18,2440.0
2025-07-19,2225.0
2025-07-21,2185.0
2025-07-22,2200.0
2025-07-23,2200.0
2025-07-24,2075.0
2025-07-25,2055.0
2025-07-26,2390.0
2025-07-29,2150.0
2025-07-30,2305.0
2025-07-31,2500.0
2025-08-01,2285.0
2025-08-02,2485.0
2025-08-05,2260.0
2025-08-06,2350.0
2025-08-07,2360.0
2025-08-08,2390.0
2025-08-19,2340.0
2025-08-20,2470.0
2025-08-21,2495.0
2025-08-22,2315.0
2025-08-25,2305.0
2025-08-26,2440.0
2025-08-27,2480.0
2025-08-28,2445.0
2025-08-29,2490.0
2025-08-30,2450.0
2025-09-01,2405.0
2025-09-02,2380.0
2025-09-03,2350.0
2025-09-04,2510.0
2025-09-05,2435.0
2025-09-06,2520.0
2025-09-08,2510.0
2025-09-09,2490.0
2025-09-10,2325.0
2025-09-11,2370.0
2025-09-12,2505.0
2025-09-13,2505.0
2025-09-15,2430.0
2025-09-16,2490.0
2025-09-17,2380.0
2025-09-18,2330.0
2025-09-19,2495.0
2025-09-20,2545.0
2025-09-23,2210.0
2025-09-24,2475.0
2025-09-25,2455.0
2025-09-26,2415.0
2025-09-27,2480.0
2025-09-29,2295.0
2025-09-30,2330.0
2025-10-01,2350.0
2025-10-03,2495.0
2025-10-04,2505.0
2025-10-06,2285.0
2025-10-07,2320.0
2025-10-08,2525.0
2025-10-09,2520.0
2025-10-10,2415.0
2025-10-11,2320.0
2025-10-13,2505.0
2025-10-15,2490.0
2025-10-16,2390.0
2025-10-17,2490.0
2025-11-03,2515.0
2025-11-04,2595.0
2025-11-05,2585.0
2025-11-06,2400.0
2026-02-24,2300.0
2026-02-25,2265.0
2026-02-26,2365.0
2026-02-27,2235.0
2026-02-28,2295.0
2026-03-02,2070.0
2026-03-03,2135.0
2026-03-05,2190.0
2026-03-07,2295.0
2026-03-09,2165.0
2026-03-10,2100.0
2026-03-11,1940.0
2026-03-12,2025.0
2026-03-14,1870.0
2026-03-16,1825.0
2026-03-17,1815.0
2026-03-20,1810.0
2026-03-21,2030.0
2026-03-23,2230.0
2026-03-24,1990.0
2026-04-04,2055.0
2026-04-06,2035.0
2026-04-08,1770.0
2026-04-09,2170.0
2026-04-10,2175.0
2026-04-11,2075.0
2026-04-14,2190.0
2026-04-15,2165.0
2026-04-21,2150.0
2026-04-22,1950.0
2026-04-23,1945.0
2026-04-24,1885.0
2026-04-25,1990.0
