date,price
2025-03-24,3050.0
2025-04-02,2550.0
2025-04-03,2650.0
2025-04-04,2800.0
2025-04-05,2690.0
2025-04-07,2360.0
2025-04-08,2350.0
2025-04-10,2970.0
2025-04-11,2600.0
2025-04-15,2760.0
2025-04-16,3210.0
2025-04-17,2590.0
2025-04-18,2750.0
2025-04-19,3000.0
2025-04-22,2860.0
2025-04-23,2760.0
2025-04-25,2940.0
2025-04-26,2950.0
2025-05-02,2650.0
2025-05-05,2700.0
2025-05-06,2900.0
2025-05-07,2610.0
2025-05-08,2840.0
2025-05-09,2890.0
2025-05-10,3000.0
2025-05-13,2800.0
2025-05-14,2715.0
2025-05-15,2750.0
2025-05-16,2850.0
2025-05-17,2910.0
2025-05-19,3000.0
2025-05-20,2840.0
2025-05-21,2550.0
2025-05-23,2430.0
2025-05-24,2525.0
2025-05-27,2600.0
2025-05-30,2550.0
2025-05-31,2900.0
2025-06-02,2810.0
2025-06-03,2940.0
2025-06-04,2610.0
2025-06-05,2790.0
2025-06-07,2530.0
2025-06-09,2600.0
2025-06-10,2900.0
2025-06-12,2750.0
2025-06-13,2800.0
2025-06-14,2700.0
2025-06-17,2350.0
2025-06-18,2450.0
2025-06-20,2600.0
2025-06-24,2600.0
2025-06-25,2700.0
2025-06-27,2500.0
2025-06-28,2450.0
2025-06-30,2359.0
2025-07-01,2550.0
2025-07-02,2450.0
2025-07-05,2400.0
2025-07-07,2400.0
2025-07-08,1950.0
2025-07-11,2300.0
2025-08-19,2240.0
2025-08-21,2500.0
2025-08-22,2500.0
2025-08-25,2390.0
2025-08-26,2350.0
2025-08-29,2350.0
2025-09-13,2390.0
2025-09-23,2350.0
2025-10-10,2450.0
2025-12-15,2450.0
2026-01-30,2450.0
2026-01-31,2700.0
2026-02-02,2570.0
2026-02-03,2640.0
2026-02-04,2700.0
2026-02-05,2940.0
2026-02-06,2610.0
2026-02-07,2730.0
2026-02-09,2575.0
2026-02-10,2525.0
2026-02-11,2675.0
2026-02-12,2915.0
2026-02-16,2555.0
2026-02-17,2625.0
2026-02-19,2650.0
2026-02-21,2362.0
2026-02-24,2365.0
2026-02-26,2350.0
2026-03-06,2460.0
2026-03-10,2377.0
2026-03-11,2360.0
2026-03-16,2450.0
2026-03-17,2670.0
2026-03-19,2452.0
2026-03-20,2422.0
2026-03-23,2505.0
2026-04-06,2530.0
2026-04-07,2577.0
2026-04-08,2500.0
2026-04-09,2585.0
2026-04-10,2650.0
2026-04-11,2575.0
2026-04-13,2532.0
2026-04-14,2862.0
2026-04-15,2662.0
2026-04-16,2552.0
2026-04-17,2500.0
2026-04-18,2327.0
2026-04-27,2437.0
2026-04-28,2437.0
2026-05-02,2320.0
2026-05-04,2300.0
2026-05-07,2625.0
2026-05-08,2475.0
2026-05-09,2375.0
2026-05-11,2240.0
2026-05-12,2175.0
2026-05-13,2277.0
2026-05-14,2312.0
2026-05-15,2327.0
2026-05-16,2185.0
2026-05-18,2125.0
2026-05-20,2582.0
2026-05-23,2242.0
2026-05-26,2455.0
2026-05-28,2125.0
2026-05-29,2505.0
2026-05-30,2377.0
2026-06-01,2180.0
2026-06-04,2340.0
2026-06-05,2130.0
2026-06-06,2127.0
2026-06-08,2360.0
2026-06-09,2250.0
2026-06-10,2275.0
2026-06-11,2155.0
2026-06-12,2175.0
2026-06-15,2245.0
2026-06-16,2225.0
2026-06-17,2425.0
2026-06-24,2315.0
2026-06-25,2515.0
2026-06-26,2112.0
2026-06-27,2425.0
2026-06-30,2400.0
2026-07-01,2375.0
2026-07-02,2230.0
2026-07-04,2125.0
2026-07-06,2320.0
2026-07-07,2362.0
2026-07-08,2352.0
2026-07-09,2205.0
2026-07-10,2337.0
2026-07-11,2377.0
2026-07-13,2340.0
2026-07-17,2372.0
2026-07-18,2362.0
2026-07-20,2375.0
2026-07-21,2325.0
2026-07-22,2300.0
2026-07-30,2267.0
2026-07-31,2287.0
2026-08-01,2380.0
2026-08-03,2280.0
2026-08-05,2337.0
2026-08-06,2255.0
2026-08-08,2575.0
2026-08-10,2370.0
2026-08-11,2217.0
2026-08-12,2335.0
2026-08-13,2257.0
2026-08-14,2350.0
2026-08-19,2472.0
2026-08-20,2477.0
2026-08-21,2290.0
2026-08-24,2555.0
2026-08-25,2300.0
2026-09-09,2532.0
2026-09-10,2505.0
2026-09-11,2650.0
2026-09-12,2595.0
2026-09-16,2575.0
2026-09-17,2540.0
2026-09-18,2582.0
2026-09-19,2662.0
2026-09-21,2720.0
2026-09-23,2350.0
