date,price
2025-11-07,2690.0
2025-11-10,2660.0
2025-11-11,2690.0
2025-11-13,2680.0
2025-11-17,2700.0
2025-11-18,2700.0
2025-11-24,2680.0
2025-11-25,2730.0
2025-11-26,2570.0
2025-11-27,2570.0
2025-11-28,2630.0
2025-12-01,2620.0
2025-12-02,2650.0
2025-12-03,2650.0
2025-12-04,2550.0
2025-12-05,2550.0
2025-12-08,2650.0
2025-12-09,2710.0
2025-12-10,2680.0
2025-12-11,2690.0
2025-12-12,2620.0
2025-12-15,2600.0
2025-12-17,2650.0
2025-12-18,2610.0
2025-12-22,2670.0
2025-12-23,2550.0
2025-12-24,2630.0
2025-12-25,2590.0
2025-12-26,2580.0
2025-12-29,2600.0
2025-12-30,2630.0
2025-12-31,2620.0
2026-01-02,2600.0
2026-01-05,2650.0
2026-01-06,2640.0
2026-01-07,2590.0
2026-01-08,2630.0
2026-01-09,2590.0
2026-01-12,2640.0
2026-01-13,2610.0
2026-01-15,2600.0
2026-01-16,2600.0
2026-01-19,2610.0
2026-01-20,2610.0
2026-01-27,2590.0
2026-01-28,2650.0
2026-01-30,2630.0
2026-01-31,2610.0
2026-02-02,2560.0
2026-02-03,2570.0
2026-02-04,2600.0
2026-02-05,2560.0
2026-02-09,2500.0
2026-02-11,2550.0
2026-02-16,2350.0
2026-02-17,2500.0
2026-02-18,2350.0
2026-02-23,2370.0
2026-02-24,2380.0
2026-02-26,2400.0
2026-02-27,2380.0
2026-03-02,2420.0
2026-03-03,2370.0
2026-03-06,2510.0
2026-03-09,2380.0
2026-03-10,2450.0
2026-03-11,2430.0
2026-03-16,2350.0
2026-03-23,2240.0
2026-04-06,2580.0
2026-04-07,2530.0
2026-04-13,2230.0
2026-04-14,2230.0
2026-04-15,2400.0
2026-04-17,2310.0
2026-04-20,2305.0
2026-04-23,2360.0
2026-04-24,2450.0
2026-04-25,2360.0
2026-04-27,2280.0
2026-04-29,2360.0
2026-04-30,2350.0
2026-05-04,2400.0
2026-05-06,2355.0
2026-05-07,2370.0
2026-05-08,2370.0
2026-05-11,2430.0
2026-05-13,2370.0
2026-05-15,2350.0
2026-05-18,2400.0
2026-05-20,2420.0
2026-05-22,2430.0
2026-05-26,2390.0
2026-05-29,2390.0
2026-05-30,2380.0
2026-06-01,2400.0
2026-06-02,2390.0
2026-06-03,2400.0
2026-06-05,2430.0
2026-06-08,2420.0
2026-06-09,2440.0
2026-06-10,2390.0
2026-06-11,2340.0
2026-06-13,2370.0
2026-06-15,2330.0
2026-06-17,2310.0
2026-06-18,2300.0
2026-06-19,2350.0
2026-06-22,2380.0
2026-06-23,2420.0
2026-06-24,2450.0
2026-06-30,2490.0
2026-07-06,2550.0
2026-07-07,2590.0
2026-07-09,2590.0
2026-07-10,2610.0
2026-07-11,2560.0
2026-07-13,2620.0
2026-07-14,2520.0
2026-07-15,2620.0
2026-07-17,2540.0
2026-07-20,2610.0
2026-07-22,2630.0
2026-07-23,2670.0
2026-07-27,2650.0
2026-07-28,2650.0
2026-07-29,2680.0
2026-07-30,2620.0
2026-07-31,2620.0
2026-08-03,2620.0
2026-08-04,2630.0
2026-08-05,2640.0
2026-08-06,2650.0
2026-08-11,2630.0
2026-08-12,2700.0
2026-08-13,2640.0
2026-08-18,2710.0
2026-08-19,2710.0
2026-08-20,2710.0
2026-08-27,2680.0
2026-09-08,2700.0
2026-09-09,2780.0
2026-09-12,2810.0
2026-09-14,2850.0
2026-09-17,2820.0
2026-09-18,2820.0
2026-09-19,2840.0
2026-09-21,2830.0
2026-09-22,2850.0
