date,price
2025-01-02,3130.0
2025-01-03,3050.0
2025-01-04,3060.0
2025-01-06,3080.0
2025-01-07,3110.0
2025-01-08,3100.0
2025-01-09,3080.0
2025-01-11,3140.0
2025-01-15,3130.0
2025-01-16,3140.0
2025-01-18,3100.0
2025-01-20,3070.0
2025-01-21,3070.0
2025-01-23,3090.0
2025-01-24,3080.0
2025-01-25,3050.0
2025-01-27,3060.0
2025-01-28,3120.0
2025-01-29,3110.0
2025-01-30,3090.0
2025-01-31,3100.0
2025-02-01,3000.0
2025-02-03,3050.0
2025-02-04,3060.0
2025-02-07,3070.0
2025-02-08,3020.0
2025-02-10,3050.0
2025-02-11,3040.0
2025-02-12,3040.0
2025-02-13,3080.0
2025-02-15,3070.0
2025-02-17,3060.0
2025-02-18,3060.0
2025-02-21,3010.0
2025-02-22,3050.0
2025-02-24,3000.0
2025-02-27,2760.0
2025-02-28,2750.0
2025-03-01,2790.0
2025-03-03,2700.0
2025-03-04,2710.0
2025-03-05,2690.0
2025-03-07,2620.0
2025-03-08,2640.0
2025-03-10,2650.0
2025-03-11,2590.0
2025-03-12,2550.0
2025-03-15,2590.0
2025-03-17,2550.0
2025-03-18,2550.0
2025-03-19,2580.0
2025-03-20,2530.0
2025-03-21,2450.0
2025-03-22,2470.0
2025-04-01,2630.0
2025-04-02,2550.0
2025-04-03,2500.0
2025-04-04,2540.0
2025-04-05,2630.0
2025-04-07,2500.0
2025-04-08,2570.0
2025-04-09,2480.0
2025-04-10,2580.0
2025-04-14,2540.0
2025-04-15,2520.0
2025-04-16,2530.0
2025-04-18,2710.0
2025-04-19,2630.0
2025-04-22,2660.0
2025-04-23,2600.0
2025-04-25,2600.0
2025-04-28,2600.0
2025-05-02,2570.0
2025-05-05,2630.0
2025-05-06,2500.0
2025-05-07,2480.0
2025-05-08,2500.0
2025-05-09,2470.0
2025-05-10,2490.0
2025-05-12,2490.0
2025-05-13,2560.0
2025-05-15,2560.0
2025-05-16,2510.0
2025-05-17,2560.0
2025-05-19,2480.0
2025-05-20,2460.0
2025-05-21,2440.0
2025-05-23,2490.0
2025-05-24,2500.0
2025-05-26,2510.0
2025-05-27,2540.0
2025-05-28,2530.0
2025-05-31,2460.0
2025-06-02,2540.0
2025-06-03,2450.0
2025-06-04,2460.0
2025-06-09,2550.0
2025-06-10,2450.0
2025-06-13,2420.0
2025-06-14,2510.0
2025-06-16,2500.0
2025-06-17,2490.0
2025-06-18,2540.0
2025-06-20,2560.0
2025-06-21,2550.0
2025-06-23,2530.0
2025-06-24,2550.0
2025-06-25,2540.0
2025-06-30,2510.0
2025-07-01,2530.0
2025-07-02,2540.0
2025-07-03,2520.0
2025-07-04,2530.0
2025-07-05,2560.0
2025-07-08,2550.0
2025-07-11,2510.0
2025-07-12,2610.0
2025-07-14,2560.0
2025-07-15,2570.0
2025-07-16,2580.0
2025-07-22,2690.0
2025-07-23,2660.0
2025-07-29,2740.0
2025-07-30,2740.0
2025-08-02,2760.0
2025-08-05,2670.0
2025-08-06,2700.0
2025-08-08,2720.0
2025-08-12,2760.0
2025-08-13,2750.0
2025-08-20,2770.0
2025-08-26,2750.0
2025-08-27,2710.0
2025-08-28,2730.0
2025-08-29,2770.0
2025-08-30,2810.0
2025-09-01,2780.0
2025-09-03,2790.0
2025-09-04,2720.0
2025-09-08,2700.0
2025-09-09,2690.0
2025-09-12,2690.0
2025-09-15,2680.0
2025-09-16,2680.0
2025-09-17,2710.0
2025-09-19,2640.0
2025-09-20,2640.0
2025-09-22,2630.0
2025-09-23,2630.0
2025-09-24,2600.0
2025-09-25,2710.0
2025-09-27,2680.0
2025-09-29,2600.0
2025-09-30,2620.0
2025-10-03,2640.0
2025-10-04,2610.0
2025-10-06,2620.0
2025-10-10,2670.0
2025-10-11,2630.0
2025-10-13,2650.0
2025-10-14,2700.0
2025-10-16,2670.0
2025-10-27,2610.0
2025-10-28,2610.0
2025-10-30,2650.0
2025-11-03,2700.0
