date,price
2025-11-07,2750.0
2025-11-10,2680.0
2025-11-11,2670.0
2025-11-13,2760.0
2025-11-17,2750.0
2025-11-18,2750.0
2025-11-24,2620.0
2025-11-25,2630.0
2025-11-26,2655.0
2025-11-27,2655.0
2025-12-01,2600.0
2025-12-02,2620.0
2025-12-03,2610.0
2025-12-04,2590.0
2025-12-05,2590.0
2025-12-08,2640.0
2025-12-09,2640.0
2025-12-10,2750.0
2025-12-11,2690.0
2025-12-12,2640.0
2025-12-15,2650.0
2025-12-17,2680.0
2025-12-18,2660.0
2025-12-22,2630.0
2025-12-23,2580.0
2025-12-24,2620.0
2025-12-25,2730.0
2025-12-26,2700.0
2025-12-29,2720.0
2025-12-30,2670.0
2025-12-31,2640.0
2026-01-02,2690.0
2026-01-06,2650.0
2026-01-07,2650.0
2026-01-08,2600.0
2026-01-09,2650.0
2026-01-12,2670.0
2026-01-15,2680.0
2026-01-16,2680.0
2026-01-19,2610.0
2026-01-20,2610.0
2026-01-27,2630.0
2026-01-28,2800.0
2026-01-30,2800.0
2026-01-31,2800.0
2026-02-02,2670.0
2026-02-03,2620.0
2026-02-04,2750.0
2026-02-05,2620.0
2026-02-09,2560.0
2026-02-11,2600.0
2026-02-16,2450.0
2026-02-17,2600.0
2026-02-18,2450.0
2026-02-23,2550.0
2026-02-24,2590.0
2026-02-26,2580.0
2026-02-27,2490.0
2026-03-02,2640.0
2026-03-06,2590.0
2026-03-09,2750.0
2026-03-10,2660.0
2026-03-11,2720.0
2026-03-16,2700.0
2026-03-23,2610.0
2026-04-06,2780.0
2026-04-07,2700.0
2026-04-14,2580.0
2026-04-15,2480.0
2026-04-17,2505.0
2026-04-20,2605.0
2026-04-23,2430.0
2026-04-24,2550.0
2026-04-25,2505.0
2026-04-27,2290.0
2026-04-29,2400.0
2026-04-30,2410.0
2026-05-04,2540.0
2026-05-06,2460.0
2026-05-07,2490.0
2026-05-08,2490.0
2026-05-11,2490.0
2026-05-13,2450.0
2026-05-15,2450.0
2026-05-18,2460.0
2026-05-20,2470.0
2026-05-22,2460.0
2026-05-26,2440.0
2026-05-29,2440.0
2026-05-30,2460.0
2026-06-01,2450.0
2026-06-02,2440.0
2026-06-03,2380.0
2026-06-05,2420.0
2026-06-08,2460.0
2026-06-10,2460.0
2026-06-11,2450.0
2026-06-13,2450.0
2026-06-15,2460.0
2026-06-17,2310.0
2026-06-18,2440.0
2026-06-19,2450.0
2026-06-22,2460.0
2026-06-23,2460.0
2026-06-24,2470.0
2026-06-30,2460.0
2026-07-06,2670.0
2026-07-07,2630.0
2026-07-09,2550.0
2026-07-10,2690.0
2026-07-11,2730.0
2026-07-13,2670.0
2026-07-14,2610.0
2026-07-15,2570.0
2026-07-17,2590.0
2026-07-20,2650.0
2026-07-22,2720.0
2026-07-23,2750.0
2026-07-27,2720.0
2026-07-28,2700.0
2026-07-29,2860.0
2026-07-30,2730.0
2026-07-31,2650.0
2026-08-03,2680.0
2026-08-04,2810.0
2026-08-05,2780.0
2026-08-06,2760.0
2026-08-11,2760.0
2026-08-12,2770.0
2026-08-13,2760.0
2026-08-18,2950.0
2026-08-19,2890.0
2026-08-20,2890.0
2026-08-27,2770.0
2026-09-08,2790.0
2026-09-09,2850.0
2026-09-12,2850.0
2026-09-14,2870.0
2026-09-17,2900.0
2026-09-18,2900.0
2026-09-19,2900.0
2026-09-21,2920.0
2026-09-22,2940.0
