date,price
2025-03-03,2500.0
2025-03-04,2575.0
2025-03-05,2525.0
2025-03-06,2525.0
2025-03-07,2600.0
2025-03-08,2600.0
2025-03-10,2525.0
2025-03-11,2450.0
2025-03-15,2455.0
2025-03-17,2400.0
2025-03-18,2400.0
2025-03-19,2400.0
2025-03-20,2400.0
2025-03-21,2450.0
2025-03-22,2400.0
2025-04-02,2400.0
2025-04-03,2400.0
2025-04-04,2425.0
2025-04-10,2400.0
2025-04-11,2400.0
2025-04-15,2400.0
2025-04-16,2400.0
2025-04-18,2400.0
2025-04-19,2425.0
2025-04-21,2425.0
2025-04-23,2400.0
2025-04-24,2425.0
2025-04-25,2400.0
2025-04-26,2425.0
2025-04-28,2425.0
2025-04-29,2425.0
2025-04-30,2400.0
2025-05-01,2400.0
2025-05-02,2400.0
2025-05-03,2300.0
2025-05-14,2250.0
2025-05-15,2300.0
2025-05-16,2400.0
2025-05-17,2400.0
2025-05-19,2400.0
2025-05-21,2500.0
2025-05-31,2450.0
2025-06-02,2450.0
2025-06-03,2450.0
2025-06-04,2405.0
2025-06-05,2450.0
2025-06-09,2425.0
2025-06-10,2450.0
2025-06-11,2425.0
2025-06-12,2450.0
2025-06-13,2450.0
2025-06-14,2400.0
2025-06-20,2400.0
2025-06-23,2400.0
2025-06-24,2425.0
2025-06-25,2425.0
2025-06-26,2400.0
2025-06-27,2425.0
2025-06-28,2425.0
2025-06-30,2425.0
2025-07-01,2425.0
2025-07-03,2425.0
2025-07-10,2425.0
2025-07-12,2425.0
2025-07-14,2425.0
2025-07-15,2425.0
2025-07-16,2450.0
2025-07-17,2450.0
2025-07-18,2425.0
2025-07-19,2450.0
2025-07-21,2500.0
2025-07-22,2500.0
2025-07-23,2500.0
2025-07-24,2500.0
2025-07-25,2550.0
2025-07-26,2550.0
2025-07-28,2550.0
2025-07-29,2575.0
2025-07-30,2550.0
2025-07-31,2550.0
2025-08-01,2550.0
2025-08-02,2550.0
2025-08-04,2550.0
2025-08-05,2550.0
2025-08-06,2550.0
2025-08-07,2550.0
2025-08-08,2550.0
2025-08-11,2425.0
2025-08-12,2550.0
2025-08-20,2550.0
2025-08-21,2550.0
2025-08-22,2550.0
2025-08-25,2550.0
2025-08-26,2600.0
2025-08-29,2550.0
2025-08-30,2600.0
2025-09-01,2550.0
2025-09-02,2550.0
2025-09-03,2550.0
2025-09-04,2550.0
2025-09-05,2550.0
2025-09-06,2550.0
2025-09-08,2600.0
2025-09-11,2550.0
2025-09-12,2550.0
2025-09-13,2550.0
2025-09-15,2550.0
2025-09-16,2550.0
2025-09-17,2410.0
2025-09-18,2550.0
2025-09-19,2550.0
2025-09-20,2525.0
2025-09-22,2500.0
2025-09-23,2500.0
2025-09-25,2500.0
2025-09-26,2450.0
2025-09-27,2450.0
2025-09-29,2500.0
2025-09-30,2455.0
2025-10-01,2450.0
2025-10-03,2505.0
2025-10-04,2505.0
2025-10-06,2535.0
2025-10-07,2525.0
2025-10-08,2505.0
2025-10-09,2505.0
2025-10-10,2600.0
2025-10-11,2500.0
2025-10-13,2525.0
2025-10-14,2530.0
2025-10-15,2600.0
2025-10-16,2450.0
2025-10-18,2555.0
2025-10-27,2500.0
2025-10-28,2500.0
2025-10-29,2505.0
2025-10-30,2500.0
2025-10-31,2500.0
2025-11-01,2515.0
2025-11-03,2550.0
2025-11-04,2550.0
2025-11-05,2600.0
2025-11-06,2550.0
2025-11-07,2500.0
2025-11-10,2600.0
2025-11-11,2575.0
2025-11-12,2550.0
2025-11-13,2600.0
2025-11-14,2575.0
2025-11-15,2575.0
2025-11-17,2575.0
2025-11-18,2525.0
2025-11-20,2550.0
2025-11-24,2600.0
2025-11-25,2600.0
2025-11-26,2550.0
2025-11-27,2505.0
2025-11-28,2500.0
2025-12-01,2520.0
2025-12-02,2500.0
2025-12-03,2505.0
2025-12-04,2510.0
2025-12-05,2500.0
2025-12-06,2450.0
2025-12-08,2450.0
2025-12-09,2450.0
2025-12-10,2450.0
2025-12-11,2500.0
2025-12-12,2500.0
2025-12-13,2555.0
2025-12-15,2500.0
2025-12-16,2505.0
2025-12-17,2425.0
2025-12-18,2500.0
2025-12-19,2500.0
2025-12-20,2375.0
2025-12-23,2450.0
2025-12-24,2450.0
