date,price
2025-03-01,2575.0
2025-11-19,2600.0
2025-11-21,2600.0
2025-12-22,2460.0
2025-12-25,2425.0
2025-12-26,2500.0
2025-12-31,2500.0
2026-01-02,2425.0
2026-01-03,2500.0
2026-01-05,2500.0
2026-01-06,2425.0
2026-01-07,2450.0
2026-01-08,2400.0
2026-01-09,2425.0
2026-01-10,2400.0
2026-01-12,2500.0
2026-01-13,2500.0
2026-01-15,2425.0
2026-01-16,2425.0
2026-01-17,2500.0
2026-01-19,2500.0
2026-01-20,2500.0
2026-01-21,2500.0
2026-01-22,2500.0
2026-01-27,2450.0
2026-01-28,2505.0
2026-01-29,4850.0
2026-01-30,2500.0
2026-01-31,2500.0
2026-02-04,2450.0
2026-02-05,2250.0
2026-02-06,2350.0
2026-02-07,2350.0
2026-02-09,2350.0
2026-02-10,2325.0
2026-02-16,2300.0
2026-02-17,2275.0
2026-02-19,2025.0
2026-02-20,2200.0
2026-02-21,2200.0
2026-02-23,2200.0
2026-02-24,2150.0
2026-02-25,2225.0
2026-02-28,2225.0
2026-03-05,2225.0
2026-03-06,2225.0
2026-03-07,2225.0
2026-03-09,2175.0
2026-03-10,2200.0
2026-03-12,2125.0
2026-03-13,2200.0
2026-03-16,2175.0
2026-03-18,2150.0
2026-03-21,2300.0
2026-03-25,2150.0
2026-04-04,2175.0
2026-04-06,2055.0
2026-04-07,2150.0
2026-04-09,2125.0
2026-04-10,2150.0
2026-04-13,2200.0
2026-04-14,2250.0
2026-04-15,2200.0
2026-04-16,2250.0
2026-04-17,2175.0
2026-04-18,2150.0
2026-04-20,2200.0
2026-04-21,2200.0
2026-04-22,2225.0
2026-04-23,2225.0
2026-04-24,2250.0
2026-04-25,2250.0
2026-04-27,2240.0
2026-04-28,2250.0
2026-04-29,2250.0
2026-05-02,2250.0
2026-05-04,2200.0
2026-05-05,2200.0
2026-05-06,2200.0
2026-05-07,2225.0
2026-05-08,2275.0
2026-05-09,2225.0
2026-05-11,2200.0
2026-05-12,2200.0
2026-05-13,2225.0
2026-05-14,2250.0
2026-05-15,2250.0
2026-05-16,2250.0
2026-05-18,2200.0
2026-05-19,2250.0
2026-05-20,2250.0
2026-05-21,2225.0
2026-05-22,2250.0
2026-05-23,2250.0
2026-05-25,2225.0
2026-05-26,2250.0
2026-05-27,2200.0
2026-05-28,2225.0
2026-05-29,2250.0
2026-05-30,2200.0
2026-06-01,2225.0
2026-06-02,2225.0
2026-06-03,2250.0
2026-06-05,2225.0
2026-06-06,2225.0
2026-06-08,2225.0
2026-06-09,2225.0
2026-06-10,2225.0
2026-06-11,2225.0
2026-06-12,2250.0
2026-06-13,2250.0
2026-06-15,2250.0
2026-06-16,2250.0
2026-06-17,2250.0
2026-06-18,2250.0
2026-06-19,2275.0
2026-06-22,2300.0
2026-06-23,2325.0
2026-06-24,2375.0
2026-06-26,2300.0
2026-06-27,2300.0
2026-06-29,2300.0
2026-06-30,2325.0
2026-07-01,2350.0
2026-07-02,2350.0
2026-07-04,2375.0
2026-07-06,2375.0
2026-07-07,2400.0
2026-07-08,2375.0
2026-07-09,2375.0
2026-07-10,2400.0
2026-07-11,2400.0
2026-07-13,2400.0
2026-07-14,2400.0
2026-07-15,2400.0
2026-07-17,2425.0
2026-07-18,2425.0
2026-07-20,2450.0
2026-07-21,2475.0
2026-07-22,2500.0
2026-07-23,2500.0
2026-07-24,2475.0
2026-07-25,2475.0
2026-07-27,2525.0
2026-07-28,2525.0
2026-07-30,2525.0
2026-07-31,2550.0
2026-08-01,2550.0
2026-08-03,2550.0
2026-08-04,2575.0
2026-08-05,2575.0
2026-08-06,2575.0
2026-08-07,2575.0
2026-08-08,2550.0
2026-08-10,2550.0
2026-08-11,2575.0
2026-08-12,2550.0
2026-08-13,2575.0
2026-08-14,2575.0
2026-08-18,2575.0
2026-08-19,2575.0
2026-08-20,2550.0
2026-08-21,2550.0
2026-08-22,2550.0
2026-08-25,2550.0
2026-08-26,2600.0
2026-08-27,2600.0
2026-08-29,2600.0
2026-09-08,2675.0
2026-09-09,2650.0
2026-09-12,2650.0
2026-09-14,2675.0
2026-09-15,2650.0
2026-09-17,2700.0
2026-09-18,2675.0
2026-09-19,2750.0
2026-09-21,2725.0
