date,price
2025-02-18,2750.0
2025-02-19,2875.0
2025-02-20,2775.0
2025-03-05,2325.0
2025-03-06,2425.0
2025-03-08,2500.0
2025-03-10,2375.0
2025-03-11,2375.0
2025-03-15,2375.0
2025-03-17,2500.0
2025-03-18,2490.0
2025-03-19,2250.0
2025-04-01,2260.0
2025-04-02,2350.0
2025-04-04,2235.0
2025-04-07,2355.0
2025-04-08,2250.0
2025-04-10,2400.0
2025-04-11,2295.0
2025-04-14,2350.0
2025-04-15,2335.0
2025-04-16,2425.0
2025-04-17,2420.0
2025-04-18,2420.0
2025-04-24,2425.0
2025-04-29,2375.0
2025-05-15,2390.0
2025-05-16,2425.0
2025-06-09,2410.0
2025-06-16,2325.0
2025-06-17,2375.0
2025-06-30,2275.0
2025-07-02,2325.0
2025-07-03,2325.0
2025-07-04,2350.0
2025-07-05,2375.0
2025-07-08,2375.0
2025-07-09,2325.0
2025-07-10,2450.0
2025-07-11,2500.0
2025-07-14,2250.0
2025-07-15,2250.0
2025-07-17,2325.0
2025-07-18,2505.0
2025-07-19,2425.0
2025-07-21,2475.0
2025-07-22,2415.0
2025-07-23,2485.0
2025-07-24,2480.0
2025-07-25,2425.0
2025-07-26,2505.0
2025-07-28,2485.0
2025-07-29,2475.0
2025-07-30,2495.0
2025-07-31,2475.0
2025-08-01,2475.0
2025-08-04,2505.0
2025-08-05,2525.0
2025-08-06,2505.0
2025-08-07,2525.0
2025-08-11,2505.0
2025-08-12,2500.0
2025-08-22,2505.0
2025-08-26,2525.0
2025-08-27,2505.0
2025-08-29,2505.0
2025-08-30,2500.0
2025-09-01,2505.0
2025-09-03,2505.0
2025-09-04,2505.0
2025-09-05,2505.0
2025-09-06,2500.0
2025-09-11,2450.0
2025-09-12,2450.0
2025-09-15,2450.0
2025-09-16,2505.0
2025-09-17,2500.0
2025-09-18,2450.0
2025-09-19,2505.0
2025-09-20,2500.0
2025-09-22,2450.0
2025-09-23,2450.0
2025-09-24,2450.0
2025-09-25,2450.0
2025-09-26,2500.0
2025-09-27,2500.0
2025-09-29,2500.0
2025-09-30,2500.0
2025-10-01,2400.0
2025-10-04,2525.0
2025-10-06,2505.0
2025-10-07,2400.0
2025-10-08,2450.0
2025-10-09,2500.0
2025-10-10,2495.0
2025-10-13,2500.0
2025-10-16,2495.0
2025-10-17,2505.0
2025-10-27,2500.0
2025-10-29,2505.0
2025-11-03,2505.0
2025-11-04,2505.0
2025-11-20,2250.0
2026-04-02,4800.0
2026-04-07,1855.0
2026-04-08,2250.0
2026-04-09,2250.0
2026-04-11,2175.0
2026-04-13,2150.0
2026-04-14,2150.0
2026-04-15,2250.0
2026-04-20,2125.0
2026-04-22,2075.0
2026-04-23,2125.0
2026-04-25,2150.0
2026-04-27,2150.0
2026-04-28,2100.0
2026-04-29,2125.0
2026-04-30,2100.0
2026-05-01,2125.0
2026-05-06,2150.0
2026-05-07,2125.0
2026-05-09,2125.0
2026-05-11,2125.0
2026-05-13,2150.0
2026-05-14,2150.0
2026-05-16,2150.0
2026-05-19,2235.0
2026-05-21,2125.0
2026-05-22,2220.0
2026-05-25,2175.0
2026-05-27,2150.0
2026-05-28,2150.0
2026-05-29,2150.0
2026-05-30,2150.0
2026-06-01,2200.0
2026-06-02,2175.0
2026-06-03,2150.0
2026-06-04,2175.0
2026-06-06,2175.0
2026-06-10,2150.0
2026-06-12,2150.0
2026-06-13,2150.0
2026-06-15,2150.0
2026-06-17,2150.0
2026-06-18,2150.0
2026-06-22,2150.0
2026-06-23,2150.0
2026-06-24,2150.0
2026-06-30,2150.0
2026-07-02,2150.0
2026-07-03,2150.0
2026-07-06,2150.0
2026-07-07,2150.0
2026-07-08,2325.0
2026-07-09,2300.0
2026-07-10,2250.0
2026-07-13,2350.0
2026-07-14,2350.0
2026-07-15,2350.0
2026-07-22,2350.0
2026-07-23,2350.0
2026-07-24,2350.0
2026-07-25,2350.0
2026-07-27,2300.0
2026-07-28,2350.0
2026-07-30,2350.0
2026-08-01,2350.0
2026-08-03,2350.0
2026-08-04,2350.0
2026-08-05,2350.0
2026-08-06,2350.0
2026-08-07,2350.0
2026-08-08,2350.0
2026-08-11,2425.0
2026-08-12,2425.0
2026-08-13,2425.0
2026-08-14,2450.0
2026-08-17,2425.0
2026-08-18,2425.0
2026-08-19,2425.0
2026-08-20,2425.0
2026-08-21,2425.0
2026-08-24,2425.0
2026-08-29,2425.0
