date,price
2025-01-03,3000.0
2025-01-04,3000.0
2025-01-05,3000.0
2025-01-06,3000.0
2025-01-07,2700.0
2025-01-08,3000.0
2025-01-09,3000.0
2025-01-10,3000.0
2025-01-11,3000.0
2025-01-12,3000.0
2025-01-13,2600.0
2025-01-15,2700.0
2025-01-16,3000.0
2025-01-17,3000.0
2025-01-18,2700.0
2025-01-20,2700.0
2025-01-21,3000.0
2025-01-22,2700.0
2025-01-23,2800.0
2025-01-24,2700.0
2025-01-25,2800.0
2025-01-26,2700.0
2025-01-27,3000.0
2025-01-28,2700.0
2025-01-29,2700.0
2025-01-30,2700.0
2025-01-31,2700.0
2025-02-01,2700.0
2025-02-02,3000.0
2025-02-03,3000.0
2025-02-04,3000.0
2025-02-05,3200.0
2025-02-06,2700.0
2025-02-07,2700.0
2025-02-10,2700.0
2025-02-11,3000.0
2025-02-12,2700.0
2025-02-13,3200.0
2025-02-14,3000.0
2025-02-15,2700.0
2025-02-17,2700.0
2025-02-18,3000.0
2025-02-19,3000.0
2025-02-20,3000.0
2025-02-21,2600.0
2025-02-22,3000.0
2025-02-23,3000.0
2025-02-24,3000.0
2025-02-25,2700.0
2025-02-26,3000.0
2025-02-27,3000.0
2025-02-28,2700.0
2025-03-01,3200.0
2025-03-02,3000.0
2025-03-03,2600.0
2025-03-04,3000.0
2025-03-05,3000.0
2025-03-06,3000.0
2025-03-07,3000.0
2025-03-10,3000.0
2025-03-11,3200.0
2025-03-12,3000.0
2025-03-13,3200.0
2025-03-14,3400.0
2025-03-15,3000.0
2025-03-16,3000.0
2025-03-17,3000.0
2025-03-18,3200.0
2025-03-19,3000.0
2025-03-20,3000.0
2025-03-21,3000.0
2025-03-22,3200.0
2025-03-23,3000.0
2025-03-24,3000.0
2025-03-25,3200.0
2025-03-26,3300.0
2025-03-27,3000.0
2025-03-28,3000.0
2025-03-29,3000.0
2025-03-31,3200.0
2025-04-01,3000.0
2025-04-02,3200.0
2025-04-03,3200.0
2025-04-04,3200.0
2025-04-05,3200.0
2025-04-06,3200.0
2025-04-07,3000.0
2025-04-08,2800.0
2025-04-09,2900.0
2025-04-10,3000.0
2025-04-11,3200.0
2025-04-12,3000.0
2025-04-13,3000.0
2025-04-14,3200.0
2025-04-15,2700.0
2025-04-16,2800.0
2025-04-17,3200.0
2025-04-18,3000.0
2025-04-19,2700.0
2025-04-20,3000.0
2025-04-21,3200.0
2025-04-22,3000.0
2025-04-23,3200.0
2025-04-24,3200.0
2025-04-25,3200.0
2025-04-26,3200.0
2025-04-27,3000.0
2025-04-28,2700.0
2025-04-29,3000.0
2025-04-30,3200.0
2025-05-01,3200.0
2025-05-02,2700.0
2025-05-03,2700.0
2025-05-04,3200.0
2025-05-05,2700.0
2025-05-06,2800.0
2025-05-07,2700.0
2025-05-08,3200.0
2025-05-09,2800.0
2025-05-10,3200.0
2025-05-11,3000.0
2025-05-12,3200.0
2025-05-13,3000.0
2025-05-14,2700.0
2025-05-15,3000.0
2025-05-16,2700.0
2025-05-17,3200.0
2025-05-18,3200.0
2025-05-19,3000.0
2025-05-20,3200.0
2025-05-21,3200.0
2025-05-22,3000.0
2025-05-23,3200.0
2025-05-24,3200.0
2025-05-25,3000.0
2025-05-26,2700.0
2025-05-27,3200.0
2025-05-28,3200.0
2025-05-29,3000.0
2025-05-30,2700.0
2025-05-31,2700.0
2025-06-01,3200.0
2025-06-02,3000.0
2025-06-03,3300.0
2025-06-04,3000.0
2025-06-05,2700.0
2025-06-06,3200.0
2025-06-07,3000.0
2025-06-08,3000.0
2025-06-09,2700.0
2025-06-10,3200.0
2025-06-11,3000.0
2025-06-12,3000.0
2025-06-13,3200.0
2025-06-14,3200.0
2025-06-15,3000.0
2025-06-16,3000.0
2025-06-17,3200.0
2025-06-18,3000.0
2025-06-19,3200.0
2025-06-20,2700.0
2025-06-21,3000.0
2025-06-22,3200.0
2025-06-23,2700.0
2025-06-24,2700.0
2025-06-25,3000.0
2025-06-26,3200.0
2025-06-27,3000.0
2025-06-28,2800.0
2025-06-29,3000.0
2025-06-30,3000.0
2025-07-01,3200.0
2025-07-02,3000.0
2025-07-03,2700.0
2025-07-04,3000.0
2025-07-05,3200.0
2025-07-06,3000.0
2025-07-07,3200.0
2025-07-08,2800.0
2025-07-09,2800.0
2025-07-10,2800.0
2025-07-11,3200.0
2025-07-12,3200.0
2025-07-13,3000.0
2025-07-14,2800.0
2025-07-15,3000.0
2025-07-16,3000.0
2025-07-17,3200.0
2025-07-18,3000.0
2025-07-19,3000.0
2025-07-20,3200.0
2025-07-21,2700.0
2025-07-22,3000.0
2025-07-23,3000.0
2025-07-24,3200.0
2025-07-25,3000.0
2025-07-26,2800.0
2025-07-27,3200.0
2025-07-28,3000.0
2025-07-29,3000.0
2025-07-30,2900.0
2025-07-31,3000.0
2025-08-01,3000.0
2025-08-02,2600.0
2025-08-03,3200.0
2025-08-04,3000.0
2025-08-05,3000.0
2025-08-06,3000.0
2025-08-07,3000.0
2025-08-08,3000.0
2025-08-09,3200.0
2025-08-10,3000.0
2025-08-11,3000.0
2025-08-12,3000.0
2025-08-13,3200.0
2025-08-14,3200.0
2025-08-15,3000.0
2025-08-16,3000.0
2025-08-17,3000.0
2025-08-18,2700.0
2025-08-19,2700.0
2025-08-20,3000.0
2025-08-21,3200.0
2025-08-22,3000.0
2025-08-23,3000.0
2025-08-24,3000.0
2025-08-25,3000.0
2025-08-26,2800.0
2025-08-27,2800.0
2025-08-28,3200.0
2025-08-29,3000.0
2025-08-30,3000.0
2025-08-31,3000.0
2025-09-01,2800.0
2025-09-02,3000.0
2025-09-03,3000.0
2025-09-04,3000.0
2025-09-05,3000.0
2025-09-06,3000.0
2025-09-07,3200.0
2025-09-08,3000.0
2025-09-09,2800.0
2025-09-10,3000.0
2025-09-11,3000.0
2025-09-12,3000.0
2025-09-13,3200.0
2025-09-14,3000.0
2025-09-15,3000.0
2025-09-16,3000.0
2025-09-17,3000.0
2025-09-18,3000.0
2025-09-19,3000.0
2025-09-20,3000.0
2025-09-21,3000.0
2025-09-22,3000.0
2025-09-23,2700.0
2025-09-24,3000.0
2025-09-25,3000.0
2025-09-26,3000.0
2025-09-29,2800.0
2025-09-30,2700.0
2025-10-01,3000.0
2025-10-02,3000.0
2025-10-03,3000.0
2025-10-04,3000.0
2025-10-06,2700.0
2025-10-07,3000.0
2025-10-08,3000.0
2025-10-09,3000.0
2025-10-10,3000.0
2025-10-11,3000.0
2025-10-12,3000.0
2025-10-13,3000.0
2025-10-14,2700.0
2025-10-15,3000.0
2025-10-16,3000.0
2025-10-17,3000.0
2025-10-18,3000.0
2025-10-24,2800.0
2025-10-25,3000.0
2025-10-26,3000.0
2025-10-27,3000.0
2025-10-28,3000.0
2025-10-29,3000.0
2025-10-30,3200.0
2025-11-01,3000.0
2025-11-02,3000.0
2025-11-03,3000.0
2025-11-04,3000.0
2025-11-05,3000.0
2025-11-06,2700.0
