date,price
2025-01-20,3125.0
2025-01-21,3050.0
2025-01-22,3035.0
2025-01-23,3075.0
2025-01-24,3125.0
2025-01-25,3150.0
2025-01-27,3075.0
2025-01-28,3025.0
2025-01-29,3075.0
2025-01-30,3050.0
2025-01-31,3125.0
2025-02-01,3025.0
2025-02-03,2975.0
2025-02-04,3025.0
2025-02-05,2950.0
2025-02-06,3025.0
2025-02-07,3050.0
2025-02-08,2950.0
2025-02-10,2975.0
2025-02-11,3025.0
2025-02-12,3050.0
2025-02-13,3025.0
2025-02-14,3125.0
2025-02-15,3125.0
2025-02-17,3050.0
2025-02-18,3075.0
2025-02-19,3125.0
2025-02-20,3058.0
2025-02-21,3048.0
2025-02-22,3023.0
2025-02-24,2918.0
2025-02-25,3378.0
2025-02-27,2903.0
2025-02-28,2680.0
2025-03-01,2553.0
2025-03-03,2775.0
2025-03-04,2725.0
2025-03-05,2625.0
2025-03-06,2625.0
2025-03-07,2550.0
2025-03-08,2750.0
2025-03-10,2450.0
2025-03-12,2425.0
2025-03-13,2515.0
2025-03-15,2375.0
2025-03-17,2415.0
2025-03-18,2375.0
2025-03-19,2350.0
2025-03-21,2525.0
2025-03-22,2375.0
2025-04-01,2455.0
2025-04-03,2450.0
2025-04-05,2525.0
2025-04-07,2475.0
2025-04-08,2475.0
2025-04-09,2465.0
2025-04-11,2450.0
2025-04-14,2450.0
2025-04-15,2475.0
2025-04-16,2460.0
2025-04-17,2450.0
2025-04-18,2475.0
2025-04-19,2525.0
2025-04-21,2490.0
2025-04-22,2475.0
2025-04-24,2450.0
2025-04-25,2450.0
2025-04-26,2525.0
2025-04-28,2525.0
2025-04-29,2525.0
2025-05-02,2425.0
2025-05-03,2450.0
2025-05-14,2475.0
2025-05-15,2450.0
2025-05-16,2425.0
2025-05-19,2525.0
2025-05-20,2450.0
2025-05-21,2450.0
2025-05-24,2625.0
2025-05-26,2450.0
2025-05-27,2525.0
2025-05-28,2475.0
2025-05-29,2430.0
2025-05-31,2450.0
2025-06-02,2825.0
2025-06-03,2475.0
2025-06-04,2475.0
2025-06-05,2475.0
2025-06-09,2650.0
2025-06-10,2490.0
2025-06-11,2575.0
2025-06-12,2450.0
2025-06-13,2475.0
2025-06-14,2475.0
2025-06-16,2525.0
2025-06-17,2475.0
2025-06-19,2500.0
2025-06-20,2475.0
2025-06-21,2490.0
2025-06-24,2450.0
2025-06-25,2450.0
2025-06-26,2450.0
2025-06-28,2450.0
2025-06-30,2450.0
2025-07-01,2450.0
2025-07-02,2430.0
2025-07-03,2450.0
2025-07-04,2450.0
2025-07-07,2450.0
2025-07-08,2440.0
2025-07-09,2440.0
2025-07-10,2500.0
2025-07-11,2425.0
2025-07-12,2425.0
2025-07-14,2425.0
2025-07-15,2525.0
2025-07-16,2450.0
2025-07-17,2450.0
2025-07-18,2475.0
2025-07-19,2525.0
2025-07-22,2675.0
2025-07-23,2575.0
2025-07-24,2580.0
2025-07-25,2625.0
2025-07-26,2475.0
2025-07-28,2575.0
2025-07-29,2625.0
2025-07-30,2625.0
2025-08-02,2600.0
