date,price
2025-01-01,2625.0
2025-01-02,2600.0
2025-01-03,2600.0
2025-01-04,2625.0
2025-01-06,2650.0
2025-01-07,2650.0
2025-01-08,2650.0
2025-01-09,2625.0
2025-01-10,2600.0
2025-01-11,2650.0
2025-01-13,2650.0
2025-01-16,2600.0
2025-01-17,2625.0
2025-01-18,2750.0
2025-01-20,2650.0
2025-01-21,2600.0
2025-01-22,2700.0
2025-01-23,2700.0
2025-01-24,2650.0
2025-01-25,2700.0
2025-01-27,2605.0
2025-01-28,2600.0
2025-01-29,2650.0
2025-01-30,2625.0
2025-01-31,2600.0
2025-02-01,2555.0
2025-02-04,2555.0
2025-02-05,2600.0
2025-02-06,2575.0
2025-02-07,2555.0
2025-02-08,2650.0
2025-02-10,2650.0
2025-02-11,2575.0
2025-02-12,2650.0
2025-02-13,2650.0
2025-02-14,2575.0
2025-02-15,2575.0
2025-02-17,2600.0
2025-02-18,2600.0
2025-02-19,2600.0
2025-02-20,2575.0
2025-02-21,2650.0
2025-02-24,2575.0
2025-02-25,2600.0
2025-02-27,2575.0
2025-02-28,2500.0
2025-03-01,2500.0
2025-03-03,2475.0
2025-03-04,2500.0
2025-03-05,2400.0
2025-03-06,2500.0
2025-03-07,2500.0
2025-03-08,2500.0
2025-03-10,2350.0
2025-03-11,2350.0
2025-03-12,2350.0
2025-03-13,2375.0
2025-03-15,2375.0
2025-03-17,2350.0
2025-03-18,2350.0
2025-03-19,2300.0
2025-03-20,2300.0
2025-04-01,2350.0
2025-04-02,2300.0
2025-04-03,2300.0
2025-04-04,2500.0
2025-04-05,2300.0
2025-04-07,2300.0
2025-04-09,2250.0
2025-04-10,2300.0
2025-04-11,2275.0
2025-04-14,2250.0
2025-04-15,2300.0
2025-04-16,2300.0
2025-04-17,2325.0
2025-04-18,2300.0
2025-04-21,2275.0
2025-04-22,2255.0
2025-04-23,2325.0
2025-04-24,2325.0
2025-04-25,2515.0
2025-04-28,2440.0
2025-05-01,2500.0
2025-05-02,2400.0
2025-05-03,2450.0
2025-05-05,2350.0
2025-05-12,2325.0
2025-05-13,2350.0
2025-05-14,2350.0
2025-05-15,2350.0
2025-05-17,2350.0
2025-05-20,2350.0
2025-05-22,2345.0
2025-05-23,2325.0
2025-05-24,2330.0
2025-05-26,2325.0
2025-05-27,2325.0
2025-05-28,2345.0
2025-05-31,2350.0
2025-06-03,2355.0
2025-06-04,2350.0
2025-06-09,2350.0
2025-06-10,2350.0
2025-06-11,2350.0
2025-06-12,2350.0
2025-06-14,2350.0
2025-06-18,2325.0
2025-06-19,2350.0
2025-06-20,2350.0
2025-06-21,2355.0
2025-06-23,2375.0
2025-06-24,2350.0
2025-06-25,2350.0
2025-07-01,2375.0
2025-07-02,2375.0
2025-07-03,2350.0
2025-07-04,2400.0
2025-07-05,2400.0
2025-07-07,2375.0
2025-07-08,2375.0
2025-07-10,2350.0
2025-07-11,2400.0
2025-07-14,2400.0
2025-07-15,2400.0
2025-07-16,2390.0
2025-07-21,2425.0
2025-07-22,2450.0
2025-07-23,2460.0
2025-07-26,2425.0
2025-07-29,2440.0
2025-08-01,2460.0
2025-08-05,2500.0
2025-08-06,2475.0
2025-08-07,2450.0
2025-08-08,2450.0
2025-08-12,2500.0
2025-08-20,2500.0
2025-08-21,2500.0
2025-08-22,2500.0
2025-08-26,2500.0
2025-08-27,2500.0
2025-08-30,2500.0
2025-09-01,2500.0
2025-09-02,2500.0
2025-09-04,2250.0
2025-09-05,2500.0
2025-09-08,2500.0
2025-09-10,2500.0
2025-09-11,2500.0
2025-09-12,2500.0
2025-09-13,2500.0
2025-09-15,2500.0
2025-09-16,2500.0
2025-09-17,2500.0
2025-09-18,2500.0
2025-09-20,2500.0
2025-09-22,2525.0
2025-09-23,2525.0
2025-09-24,2525.0
2025-09-25,2500.0
2025-09-26,2500.0
2025-09-27,2500.0
2025-09-29,2500.0
2025-10-03,2500.0
2025-10-04,2500.0
2025-10-06,2500.0
2025-10-07,2500.0
2025-10-08,2500.0
2025-10-09,2500.0
2025-10-11,2500.0
2025-10-13,2500.0
2025-10-14,2500.0
2025-10-15,2500.0
2025-10-17,2500.0
2025-10-18,2500.0
2025-11-04,2500.0
2025-11-05,2500.0
2025-11-06,2535.0
2025-11-07,2535.0
2025-11-08,2525.0
2025-11-10,2535.0
2025-11-11,2500.0
2025-11-12,2500.0
2025-11-13,2500.0
2025-11-14,2525.0
2025-11-15,2500.0
2025-11-17,2500.0
2025-11-18,2500.0
2025-11-19,2500.0
2025-11-20,2500.0
2025-11-21,2535.0
2025-11-22,2500.0
2025-11-24,2550.0
2025-11-25,2500.0
2025-11-26,2525.0
2025-11-27,2520.0
2025-11-28,2525.0
2025-11-29,2500.0
2025-12-01,2525.0
2025-12-02,2500.0
2025-12-03,2500.0
2025-12-04,2500.0
2025-12-05,2500.0
2025-12-06,2500.0
2025-12-08,2500.0
2025-12-09,2500.0
2025-12-10,2500.0
2025-12-11,2500.0
2025-12-15,2500.0
2025-12-16,2500.0
2025-12-17,2500.0
2025-12-19,2500.0
2025-12-20,2500.0
2025-12-22,2500.0
2025-12-23,2525.0
2025-12-24,2500.0
2025-12-25,2525.0
2025-12-26,2525.0
2025-12-27,2525.0
2025-12-29,2525.0
