date,price
2025-01-02,3075.0
2025-01-03,3075.0
2025-01-04,3075.0
2025-01-06,3050.0
2025-01-07,3050.0
2025-01-08,3075.0
2025-01-09,3125.0
2025-01-10,3100.0
2025-01-11,3100.0
2025-01-13,3125.0
2025-01-15,3125.0
2025-01-17,3125.0
2025-01-18,3150.0
2025-01-20,3125.0
2025-01-21,3100.0
2025-01-22,3100.0
2025-01-23,3100.0
2025-01-24,3100.0
2025-01-25,3075.0
2025-01-27,3000.0
2025-01-28,3000.0
2025-01-29,2975.0
2025-01-30,2950.0
2025-01-31,3000.0
2025-02-01,2950.0
2025-02-03,2950.0
2025-02-04,2950.0
2025-02-05,2950.0
2025-02-06,2950.0
2025-02-07,3000.0
2025-02-08,3000.0
2025-02-10,3050.0
2025-02-11,3125.0
2025-02-12,3150.0
2025-02-13,3125.0
2025-02-14,3175.0
2025-02-15,3150.0
2025-02-17,3175.0
2025-02-19,3150.0
2025-02-20,3150.0
2025-02-21,3125.0
2025-02-24,2955.0
2025-02-25,2825.0
2025-02-27,2755.0
2025-03-01,2650.0
2025-03-03,2625.0
2025-03-04,2600.0
2025-03-05,2675.0
2025-03-06,2600.0
2025-03-07,2600.0
2025-03-08,2550.0
2025-03-10,2575.0
2025-03-11,2500.0
2025-03-12,2500.0
2025-03-13,2550.0
2025-03-15,2450.0
2025-03-17,2450.0
2025-03-19,2450.0
2025-03-20,2450.0
2025-03-21,2450.0
2025-03-22,2450.0
2025-03-24,2475.0
2025-04-01,2450.0
2025-04-02,2450.0
2025-04-03,2450.0
2025-04-04,2425.0
2025-04-05,2450.0
2025-04-07,2450.0
2025-04-08,2450.0
2025-04-09,2450.0
2025-04-10,2450.0
2025-04-11,2450.0
2025-04-15,2450.0
2025-04-16,2425.0
2025-04-17,2450.0
2025-04-18,2450.0
2025-04-19,2450.0
2025-04-21,2450.0
2025-04-22,2450.0
2025-04-23,2450.0
2025-04-24,2450.0
2025-04-25,2475.0
2025-04-26,2475.0
2025-04-28,2525.0
2025-04-29,2550.0
2025-04-30,2475.0
2025-05-01,2500.0
2025-05-02,2500.0
2025-05-03,2500.0
2025-05-05,2500.0
2025-05-06,2500.0
2025-05-07,2500.0
2025-05-08,2500.0
