date,price
2025-01-01,3100.0
2025-01-02,3100.0
2025-01-03,3050.0
2025-01-04,3050.0
2025-01-06,3100.0
2025-01-07,3100.0
2025-01-08,3075.0
2025-01-09,3150.0
2025-01-10,3150.0
2025-01-11,3150.0
2025-01-13,3100.0
2025-01-16,3150.0
2025-01-17,3150.0
2025-01-18,3150.0
2025-01-20,3100.0
2025-01-21,3100.0
2025-01-22,3050.0
2025-01-23,3100.0
2025-01-24,3100.0
2025-01-25,3100.0
2025-01-27,3100.0
2025-01-28,3100.0
2025-01-29,3100.0
2025-01-30,3100.0
2025-01-31,3100.0
2025-02-01,3100.0
2025-02-03,3100.0
2025-02-04,3100.0
2025-02-05,3100.0
2025-02-06,3100.0
2025-02-07,3100.0
2025-02-08,3100.0
2025-02-10,3100.0
2025-02-11,3100.0
2025-02-12,3150.0
2025-02-13,3150.0
2025-02-14,3150.0
2025-02-15,3150.0
2025-02-17,3150.0
2025-02-18,3125.0
2025-02-19,3100.0
2025-02-21,3100.0
2025-02-22,3100.0
2025-02-24,3100.0
2025-02-25,3100.0
2025-02-27,3050.0
2025-02-28,3000.0
2025-03-01,2700.0
2025-03-03,2725.0
2025-03-04,2700.0
2025-03-05,2700.0
2025-03-06,2700.0
2025-03-07,2725.0
2025-03-08,2700.0
2025-03-10,2700.0
2025-03-11,2700.0
2025-03-12,2700.0
2025-03-13,2650.0
2025-03-15,2700.0
2025-03-17,2650.0
2025-03-18,2650.0
2025-03-19,2700.0
2025-03-20,2700.0
2025-03-21,2700.0
2025-03-22,2700.0
2025-04-02,2700.0
2025-04-03,2650.0
2025-04-04,2650.0
2025-04-07,2700.0
2025-04-08,2650.0
2025-04-09,2700.0
2025-04-10,2700.0
2025-04-11,2650.0
2025-04-12,2650.0
2025-04-15,2600.0
2025-04-16,2650.0
2025-04-17,2650.0
2025-04-18,2625.0
2025-04-19,2600.0
2025-04-21,2650.0
2025-04-22,2650.0
2025-04-23,2600.0
2025-04-24,2600.0
2025-04-25,2600.0
2025-04-26,2600.0
2025-04-28,2600.0
2025-04-29,2500.0
2025-05-01,2500.0
2025-05-02,2525.0
2025-05-03,2500.0
2025-05-05,2500.0
2025-05-06,2500.0
2025-05-07,2500.0
2025-05-08,2500.0
2025-05-09,2525.0
2025-05-10,2525.0
2025-05-13,2600.0
2025-05-14,2550.0
2025-05-15,2600.0
2025-05-16,2600.0
2025-05-17,2600.0
2025-05-19,2600.0
2025-05-20,2600.0
2025-05-21,2550.0
2025-05-22,2550.0
2025-05-26,2550.0
2025-05-27,2550.0
2025-05-28,2500.0
2025-05-29,2490.0
2025-05-30,2550.0
2025-05-31,2550.0
2025-06-02,2500.0
2025-06-03,2500.0
2025-06-04,2500.0
2025-06-05,2450.0
2025-06-06,2400.0
2025-06-07,2490.0
2025-06-09,2490.0
2025-06-10,2500.0
2025-06-11,2500.0
2025-06-12,2500.0
2025-06-13,2500.0
2025-06-14,2500.0
2025-06-16,2500.0
2025-06-17,2500.0
2025-06-18,2500.0
2025-06-20,2500.0
2025-06-21,2500.0
2025-06-23,2450.0
2025-06-24,2475.0
2025-06-25,2425.0
2025-06-26,2425.0
2025-06-28,2450.0
2025-06-30,2475.0
2025-07-01,2450.0
2025-07-02,2450.0
2025-07-03,2450.0
2025-07-04,2450.0
2025-07-07,2500.0
2025-07-08,2500.0
2025-07-09,2500.0
2025-07-10,2500.0
2025-07-11,2500.0
2025-07-12,2500.0
2025-07-14,2500.0
2025-07-15,2500.0
2025-07-16,2500.0
2025-07-17,2500.0
2025-07-18,2500.0
2025-07-19,2500.0
2025-07-22,2500.0
2025-07-23,2600.0
2025-07-24,2550.0
2025-07-25,2550.0
2025-07-26,3050.0
2025-07-28,2550.0
2025-07-29,2550.0
2025-07-30,2550.0
2025-07-31,2550.0
2025-08-01,2550.0
2025-08-02,2550.0
2025-08-04,2550.0
2025-08-05,2550.0
2025-08-06,2550.0
2025-08-07,2550.0
2025-08-08,2550.0
2025-08-11,2550.0
2025-08-12,2550.0
2025-08-13,2575.0
2025-08-14,2675.0
2025-08-18,2575.0
2025-08-19,2700.0
2025-08-20,2625.0
2025-08-21,2675.0
2025-08-22,2650.0
2025-08-23,2675.0
2025-08-25,2690.0
2025-08-26,2700.0
2025-08-28,2700.0
2025-08-29,2650.0
2025-08-30,2690.0
2025-09-01,2680.0
2025-09-02,2675.0
2025-09-03,2675.0
2025-09-04,2675.0
2025-09-05,2675.0
2025-09-06,2675.0
2025-09-08,2675.0
2025-09-09,2680.0
2025-09-10,2675.0
2025-09-11,2675.0
2025-09-12,2675.0
2025-09-13,2700.0
2025-09-15,2700.0
2025-09-16,2675.0
2025-09-17,2675.0
2025-09-18,2700.0
2025-09-19,2680.0
2025-09-20,2675.0
2025-09-22,2650.0
2025-09-23,2670.0
2025-09-24,2675.0
2025-09-25,2650.0
2025-09-26,2600.0
2025-09-27,2675.0
2025-09-29,2600.0
2025-09-30,2600.0
2025-10-01,2600.0
2025-10-03,2650.0
2025-10-04,2625.0
2025-10-06,2625.0
2025-10-07,2625.0
2025-10-08,2600.0
2025-10-09,2600.0
2025-10-10,2600.0
2025-10-13,2625.0
2025-10-14,2625.0
2025-10-15,2650.0
2025-10-16,2650.0
2025-10-17,2625.0
2025-10-29,2550.0
2025-10-30,2625.0
2025-11-01,2550.0
2025-11-03,2550.0
