date,price
2025-01-03,2650.0
2025-01-04,3100.0
2025-01-06,3150.0
2025-01-07,3100.0
2025-01-08,3225.0
2025-01-09,3250.0
2025-01-10,3200.0
2025-01-11,3300.0
2025-01-13,3250.0
2025-02-07,2775.0
2025-05-20,2550.0
2025-05-21,2600.0
2025-05-22,2550.0
2025-05-23,2550.0
2025-05-24,2600.0
2025-05-26,2550.0
2025-05-27,2500.0
2025-05-29,2550.0
2025-05-30,2550.0
2025-05-31,2500.0
2025-06-01,2550.0
2025-06-03,2500.0
2025-06-04,2500.0
2025-06-05,2475.0
2025-06-06,2500.0
2025-06-09,2500.0
2025-06-10,2550.0
2025-06-11,2550.0
2025-06-12,2525.0
2025-06-13,2500.0
2025-06-14,2550.0
2025-06-16,2525.0
2025-06-17,2500.0
2025-06-18,2600.0
2025-06-19,2525.0
2025-06-20,2500.0
2025-06-23,2500.0
2025-06-24,2600.0
2025-06-25,2500.0
2025-06-26,2550.0
2025-06-28,2500.0
2025-06-30,2450.0
2025-07-01,2500.0
2025-07-02,2600.0
2025-07-03,2450.0
2025-07-04,2600.0
2025-07-05,2450.0
2025-07-07,2500.0
2025-07-08,1800.0
2025-07-09,2550.0
2025-07-11,2550.0
2025-07-12,2500.0
2025-07-14,2600.0
2025-07-15,2550.0
2025-07-16,2600.0
2025-07-17,2600.0
2025-07-18,2650.0
2025-07-19,2600.0
2025-07-21,2650.0
2025-07-22,2650.0
2025-07-23,2600.0
2025-07-24,2650.0
2025-07-25,2700.0
2025-07-26,2750.0
2025-07-28,2700.0
2025-07-29,2700.0
2025-07-30,2675.0
2025-07-31,2700.0
2025-08-01,2650.0
2025-08-02,2650.0
2025-08-04,2700.0
2025-08-05,2750.0
2025-08-06,2600.0
2025-08-07,2675.0
2025-08-08,2700.0
2025-08-11,2675.0
2025-08-12,2850.0
2025-08-13,2700.0
2025-08-14,2625.0
2025-08-18,2700.0
2025-08-19,2650.0
2025-08-20,2700.0
2025-08-21,2700.0
2025-08-22,2700.0
2025-08-23,2700.0
2025-08-25,2700.0
2025-08-26,2700.0
2025-08-28,2600.0
2025-08-29,2650.0
2025-08-30,2600.0
2025-09-01,2700.0
2025-09-02,2650.0
2025-09-03,2650.0
2025-09-04,2700.0
2025-09-05,2650.0
2025-09-06,2700.0
2025-09-08,2675.0
2025-09-09,2500.0
2025-09-10,2550.0
2025-09-11,2650.0
2025-09-12,2600.0
2025-09-13,2500.0
2025-09-15,2550.0
2025-09-16,2650.0
2025-09-17,2700.0
2025-09-18,2675.0
2025-09-19,2650.0
2025-09-20,2400.0
2025-09-22,2650.0
2025-09-23,2600.0
2025-09-24,2500.0
2025-09-25,2750.0
2025-10-06,2500.0
2025-10-07,2650.0
2025-10-08,2600.0
2025-10-09,2700.0
2025-10-13,2350.0
2025-10-14,2500.0
2025-10-15,2500.0
2025-10-27,2650.0
2025-10-29,2700.0
2025-10-30,2600.0
2025-11-03,2500.0
2025-11-04,2550.0
2025-11-11,2600.0
2025-11-12,2700.0
2025-11-13,2750.0
2025-11-14,2600.0
2025-11-15,2650.0
2025-11-17,2650.0
2025-11-18,2600.0
2025-11-19,2600.0
2025-11-20,2650.0
2025-11-21,2525.0
2025-11-22,2700.0
2025-11-24,2550.0
2025-11-25,2500.0
2025-11-26,2500.0
2025-11-27,2550.0
2025-11-28,2550.0
2025-11-29,2550.0
2025-12-01,2500.0
2025-12-02,2550.0
2025-12-03,2550.0
2025-12-04,2500.0
2025-12-05,2500.0
2025-12-06,2400.0
2025-12-08,2450.0
2025-12-09,2550.0
2025-12-10,2500.0
2025-12-11,2550.0
2025-12-12,2500.0
2025-12-13,2550.0
2025-12-15,2600.0
2025-12-18,2450.0
2025-12-19,2500.0
2025-12-22,2500.0
2025-12-23,2550.0
2025-12-24,2600.0
2025-12-25,2500.0
2025-12-26,2500.0
2025-12-27,2500.0
2025-12-29,2550.0
2025-12-30,2550.0
2025-12-31,2550.0
2026-01-01,2550.0
2026-01-02,2625.0
2026-01-03,2650.0
2026-01-05,2650.0
2026-01-06,2550.0
2026-01-07,2600.0
2026-01-08,2550.0
2026-01-09,2700.0
2026-01-10,2650.0
2026-01-12,2600.0
2026-01-13,2600.0
2026-01-16,2575.0
2026-01-17,2650.0
2026-01-19,2500.0
2026-01-20,2575.0
2026-01-21,2600.0
2026-01-22,2600.0
2026-01-23,2575.0
2026-01-24,2500.0
2026-01-28,2550.0
2026-01-30,2500.0
2026-01-31,2575.0
2026-02-02,2500.0
2026-02-03,2550.0
2026-02-04,2600.0
2026-02-06,2550.0
2026-02-09,2500.0
2026-02-10,2500.0
2026-02-13,2500.0
2026-02-14,2450.0
2026-02-16,2500.0
2026-02-17,2500.0
2026-02-18,2500.0
2026-02-19,2550.0
2026-02-23,2500.0
2026-02-24,2500.0
2026-02-25,2400.0
2026-02-26,2400.0
2026-02-27,2400.0
2026-02-28,2250.0
2026-03-02,2250.0
2026-03-05,2350.0
2026-03-06,2100.0
2026-03-07,2200.0
2026-03-09,2200.0
2026-03-10,2200.0
2026-03-11,2200.0
2026-03-12,2250.0
2026-03-13,2300.0
2026-03-14,2250.0
2026-03-16,2250.0
2026-03-17,2300.0
2026-03-18,2300.0
2026-03-19,2250.0
2026-03-20,2350.0
2026-03-21,2500.0
2026-03-23,2300.0
2026-03-24,2200.0
2026-04-03,2350.0
2026-04-06,2300.0
2026-04-07,2400.0
2026-04-10,2250.0
2026-04-11,2400.0
2026-04-13,2250.0
2026-04-15,2300.0
2026-04-16,2250.0
2026-04-17,2300.0
2026-04-20,2200.0
