date,price
2025-01-02,2900.0
2025-01-03,2900.0
2025-01-04,2900.0
2025-01-05,2900.0
2025-01-06,2800.0
2025-01-08,2800.0
2025-01-09,2800.0
2025-01-10,2800.0
2025-01-11,2750.0
2025-01-17,2750.0
2025-01-18,2750.0
2025-01-20,2750.0
2025-01-21,2725.0
2025-01-22,2925.0
2025-01-23,2925.0
2025-01-24,2925.0
2025-01-25,2925.0
2025-01-26,2887.0
2025-01-27,2887.0
2025-01-28,2887.0
2025-01-29,2887.0
2025-01-30,2887.0
2025-01-31,2887.0
2025-02-01,2750.0
2025-02-02,2750.0
2025-02-03,2750.0
2025-02-09,2750.0
2025-02-11,2700.0
2025-02-13,2700.0
2025-02-14,2762.0
2025-02-15,2762.0
2025-02-16,2762.0
2025-02-17,2762.0
2025-02-18,2762.0
2025-02-19,2762.0
2025-02-20,2762.0
2025-02-22,2770.0
2025-02-23,2825.0
2025-02-26,2825.0
2025-02-27,2825.0
2025-02-28,2725.0
2025-03-01,2725.0
2025-03-03,2725.0
2025-03-04,2725.0
2025-03-05,2725.0
2025-03-07,2550.0
2025-03-08,2550.0
2025-03-10,2550.0
2025-03-11,2475.0
2025-03-12,2475.0
2025-03-13,2475.0
2025-03-17,2450.0
2025-03-18,2450.0
2025-03-19,2487.0
2025-03-20,2487.0
2025-03-21,2475.0
2025-03-22,2475.0
2025-03-23,2470.0
2025-03-24,2470.0
2025-03-25,2420.0
2025-03-26,2470.0
2025-03-27,2470.0
2025-03-28,2425.0
2025-03-29,2425.0
2025-04-01,2400.0
2025-04-02,2400.0
2025-04-03,2400.0
2025-04-04,2400.0
2025-04-05,2400.0
2025-04-08,2300.0
2025-04-10,2300.0
2025-04-11,2300.0
2025-04-12,2300.0
2025-04-15,2300.0
2025-04-16,2300.0
2025-04-17,2300.0
2025-04-18,2425.0
2025-04-19,2425.0
2025-04-20,2425.0
2025-04-22,2425.0
2025-04-24,2425.0
2025-04-25,2425.0
2025-04-28,2425.0
2025-04-29,2475.0
2025-04-30,2475.0
2025-05-01,2475.0
2025-05-02,2475.0
2025-05-03,2475.0
2025-05-04,2475.0
2025-05-07,2475.0
2025-05-08,2475.0
2025-05-09,2475.0
2025-05-10,2425.0
2025-05-11,2425.0
2025-05-13,2425.0
2025-05-14,2450.0
2025-05-16,2450.0
2025-05-17,2450.0
2025-05-18,2450.0
2025-05-20,2450.0
2025-05-21,2450.0
2025-05-22,2437.0
2025-05-23,2437.0
2025-05-24,2460.0
2025-05-25,2467.0
2025-05-27,2462.0
2025-05-28,2462.0
2025-05-29,2462.0
2025-05-30,2450.0
2025-05-31,2450.0
2025-06-03,2450.0
2025-06-04,2450.0
2025-06-05,2400.0
2025-06-06,2400.0
2025-06-07,2400.0
2025-06-08,2400.0
2025-06-10,2400.0
2025-06-14,2387.0
2025-06-15,2387.0
2025-06-18,2425.0
2025-06-19,2425.0
2025-06-20,2425.0
2025-06-21,2425.0
2025-06-22,2425.0
2025-06-24,2425.0
2025-06-25,2425.0
2025-06-26,2425.0
2025-06-27,2425.0
2025-06-28,2425.0
2025-06-29,2425.0
2025-07-01,2425.0
2025-07-02,2425.0
2025-07-03,2425.0
2025-07-04,2425.0
2025-07-05,2425.0
2025-07-06,2425.0
2025-07-08,2425.0
2025-07-09,2425.0
2025-07-10,2425.0
2025-07-11,2425.0
2025-07-12,2425.0
2025-07-13,2437.0
2025-07-14,2437.0
2025-07-15,2430.0
2025-07-16,2437.0
