date,price
2025-01-03,2500.0
2025-01-04,2500.0
2025-01-06,2500.0
2025-01-07,2550.0
2025-01-08,2550.0
2025-01-09,2550.0
2025-01-10,2550.0
2025-01-13,2550.0
2025-01-15,2550.0
2025-01-16,2550.0
2025-01-17,2450.0
2025-01-18,2500.0
2025-01-20,2450.0
2025-01-21,2540.0
2025-01-22,2550.0
2025-01-23,2550.0
2025-01-24,2550.0
2025-01-28,2450.0
2025-01-29,2550.0
2025-01-30,2450.0
2025-01-31,2550.0
2025-02-01,2550.0
2025-02-03,2560.0
2025-02-06,2550.0
2025-02-07,2550.0
2025-02-08,2560.0
2025-02-10,2370.0
2025-02-11,2550.0
2025-02-12,2550.0
2025-02-13,2550.0
2025-02-14,2550.0
2025-02-15,2550.0
2025-02-17,2550.0
2025-02-18,2550.0
2025-02-19,2540.0
2025-02-20,2550.0
2025-02-21,2550.0
2025-02-24,2550.0
2025-02-25,2550.0
2025-02-27,2550.0
2025-02-28,2500.0
2025-03-01,2500.0
2025-03-03,2550.0
2025-03-04,2620.0
2025-03-06,2600.0
2025-03-07,2600.0
2025-03-10,2600.0
2025-03-11,2600.0
2025-03-12,2550.0
2025-03-13,2550.0
2025-03-17,2600.0
2025-03-18,2600.0
2025-03-19,2600.0
2025-03-20,2540.0
2025-03-21,2450.0
2025-03-26,2590.0
2025-03-27,2550.0
2025-03-28,2560.0
2025-03-29,2550.0
2025-04-01,2550.0
2025-04-02,2550.0
2025-04-03,2550.0
2025-04-05,2550.0
2025-04-07,2550.0
2025-04-09,2475.0
2025-04-11,2475.0
2025-04-15,2650.0
2025-04-16,2550.0
2025-04-17,2650.0
2025-04-19,2550.0
2025-04-21,2600.0
2025-04-22,2550.0
2025-04-23,2600.0
2025-04-24,2575.0
2025-04-25,2550.0
2025-04-28,2550.0
2025-04-30,2560.0
2025-05-01,2575.0
2025-05-02,2550.0
2025-05-03,2550.0
2025-05-05,2550.0
2025-05-06,2550.0
2025-05-08,2575.0
2025-05-12,2600.0
2025-05-13,2600.0
2025-05-14,2600.0
2025-05-15,2550.0
2025-05-16,2550.0
2025-05-17,2550.0
2025-05-19,2550.0
2025-05-20,2550.0
2025-05-21,2550.0
2025-05-22,2550.0
2025-05-23,2550.0
2025-05-24,2550.0
2025-05-27,2550.0
2025-05-28,2550.0
2025-06-04,2550.0
2025-06-05,2550.0
2025-06-06,2550.0
2025-06-09,2550.0
2025-06-11,2550.0
2025-06-12,2550.0
2025-06-13,2550.0
2025-06-16,2575.0
2025-06-19,2550.0
2025-06-30,2550.0
2025-07-01,2250.0
2025-07-03,2300.0
2025-07-04,2300.0
2025-07-05,2250.0
2025-07-07,2250.0
2025-07-08,2250.0
2025-07-09,2250.0
2025-07-11,2250.0
2025-07-14,2250.0
2025-07-15,2500.0
2025-07-17,2550.0
2025-07-18,2250.0
2025-07-19,2550.0
2025-07-21,2250.0
2025-07-22,2250.0
2025-07-25,2250.0
2025-07-29,2250.0
2025-07-30,2550.0
2025-07-31,2450.0
2025-08-01,2500.0
2025-08-02,2600.0
2025-08-04,2500.0
2025-08-06,2500.0
2025-08-07,2500.0
2025-08-12,2500.0
2025-08-13,2500.0
2025-08-14,2500.0
2025-08-18,2500.0
2025-08-19,2500.0
2025-08-20,2500.0
2025-08-25,2500.0
2025-08-26,2500.0
2025-08-28,2550.0
2025-08-29,2550.0
2025-09-02,2550.0
2025-09-10,2550.0
2025-09-11,2550.0
2025-09-12,2550.0
2025-09-13,2550.0
2025-09-15,2550.0
2025-09-16,2550.0
2025-09-17,2600.0
2025-09-18,2550.0
2025-09-20,2550.0
2025-09-22,2550.0
2025-09-23,2550.0
2025-09-24,2550.0
2025-09-25,2550.0
2025-09-26,2550.0
2025-09-29,2550.0
2025-09-30,2550.0
2025-10-01,2575.0
2025-10-03,2575.0
2025-10-06,2550.0
2025-10-07,2550.0
2025-10-08,2550.0
2025-10-09,2550.0
2025-10-13,2550.0
2025-10-14,2550.0
2025-10-15,2550.0
2025-10-16,2550.0
2025-10-28,2550.0
2025-10-29,2550.0
2025-10-30,2550.0
2025-11-01,2550.0
2025-11-03,2550.0
2025-11-04,2550.0
2025-11-27,2550.0
2026-01-17,2550.0
