date,price
2025-01-02,3245.0
2025-01-03,3210.0
2025-01-04,3065.0
2025-01-06,3185.0
2025-01-07,3140.0
2025-01-08,3090.0
2025-01-09,3040.0
2025-01-10,3190.0
2025-01-11,3225.0
2025-01-13,3070.0
2025-01-15,2990.0
2025-01-16,3160.0
2025-01-17,3375.0
2025-01-18,3250.0
2025-01-20,3275.0
2025-01-21,3370.0
2025-01-22,2685.0
2025-01-23,3220.0
2025-01-24,3335.0
2025-01-25,3225.0
2025-01-27,3050.0
2025-01-28,2710.0
2025-01-29,3230.0
2025-01-30,3230.0
2025-01-31,3270.0
2025-02-01,2965.0
2025-02-03,3215.0
2025-02-04,3120.0
2025-02-05,3390.0
2025-02-06,3215.0
2025-02-07,3175.0
2025-02-08,3180.0
2025-02-10,3000.0
2025-02-11,3150.0
2025-02-12,3195.0
2025-02-13,3145.0
2025-02-14,2880.0
2025-02-15,2740.0
2025-02-17,3250.0
2025-02-18,2925.0
2025-02-19,3075.0
2025-02-20,2910.0
2025-02-21,3110.0
2025-02-22,3080.0
2025-02-25,2875.0
2025-02-27,2425.0
2025-02-28,2755.0
2025-03-01,2750.0
2025-03-03,2700.0
2025-03-04,2735.0
2025-03-05,2610.0
2025-03-06,2885.0
2025-03-07,2655.0
2025-03-08,2690.0
2025-03-10,2605.0
2025-03-11,2885.0
2025-03-12,2735.0
2025-03-13,2625.0
2025-03-17,2750.0
2025-03-18,2875.0
2025-03-19,3000.0
2025-03-20,2750.0
2025-03-21,3000.0
2025-03-22,2875.0
2025-03-24,3250.0
2025-03-25,3000.0
2025-03-27,3000.0
2025-04-01,2875.0
2025-04-03,3000.0
2025-04-04,3000.0
2025-04-05,3000.0
2025-04-07,2750.0
2025-04-08,2750.0
2025-04-09,3250.0
2025-04-11,3250.0
2025-04-14,2875.0
2025-04-15,3000.0
2025-04-16,2875.0
2025-04-17,3000.0
2025-04-18,2750.0
2025-04-19,3000.0
2025-04-21,2750.0
2025-04-22,2875.0
2025-04-23,3005.0
2025-04-24,2500.0
2025-04-26,2875.0
2025-04-28,2875.0
2025-04-29,2875.0
2025-04-30,3250.0
2025-05-01,2620.0
2025-05-02,2875.0
2025-05-03,2650.0
2025-05-05,2750.0
2025-05-09,2685.0
2025-05-10,2750.0
2025-05-12,2550.0
2025-05-13,2555.0
2025-05-14,2635.0
2025-05-15,2465.0
2025-05-16,2750.0
2025-05-17,2465.0
2025-05-19,2755.0
2025-05-20,2735.0
2025-05-22,2445.0
2025-05-23,2500.0
2025-05-24,2000.0
2025-05-26,2500.0
2025-05-27,2500.0
2025-05-28,2500.0
2025-05-29,2600.0
2025-05-30,2750.0
2025-05-31,2500.0
2025-06-02,2515.0
2025-06-04,2500.0
2025-06-05,2500.0
2025-06-09,2605.0
2025-06-10,2755.0
2025-06-11,2605.0
2025-06-12,2500.0
2025-06-13,2500.0
2025-06-14,2500.0
2025-06-16,2380.0
2025-06-17,2255.0
2025-06-18,2500.0
2025-06-19,2500.0
2025-06-20,2625.0
2025-06-21,2500.0
2025-06-23,2600.0
2025-06-24,2675.0
2025-06-25,2500.0
2025-06-26,2400.0
2025-06-28,2750.0
2025-06-30,2250.0
2025-07-01,2500.0
2025-07-02,2375.0
2025-07-03,2500.0
2025-07-07,2625.0
2025-07-08,2625.0
2025-07-09,2500.0
2025-07-11,2125.0
2025-07-12,2625.0
2025-07-14,2625.0
2025-07-15,2625.0
2025-07-16,2550.0
2025-07-18,2625.0
2025-07-19,2500.0
2025-07-22,2615.0
