date,price
2025-03-08,2800.0
2025-03-10,2860.0
2025-03-12,2700.0
2025-03-17,2600.0
2025-03-18,2575.0
2025-03-19,2590.0
2025-03-20,2735.0
2025-03-21,2605.0
2025-03-22,2700.0
2025-03-24,2675.0
2025-03-25,2625.0
2025-04-02,2625.0
2025-04-03,2600.0
2025-04-04,2550.0
2025-04-05,2625.0
2025-04-07,2525.0
2025-04-09,2575.0
2025-04-10,2555.0
2025-04-11,2500.0
2025-04-14,2575.0
2025-04-15,2625.0
2025-04-16,2580.0
2025-04-17,2600.0
2025-04-18,2600.0
2025-04-21,2600.0
2025-04-22,2500.0
2025-04-23,2625.0
2025-04-25,2500.0
2025-04-26,2600.0
2025-05-01,2575.0
2025-05-02,2545.0
2025-05-03,2565.0
2025-05-05,2575.0
2025-05-06,2575.0
2025-05-07,2525.0
2025-05-08,2550.0
2025-05-09,2575.0
2025-05-12,2525.0
2025-05-13,2590.0
2025-05-14,2600.0
2025-05-15,2535.0
2025-05-16,2550.0
2025-05-17,2580.0
2025-05-19,2640.0
2025-05-20,2575.0
2025-05-21,2625.0
2025-05-22,2575.0
2025-05-23,2580.0
2025-05-24,2500.0
2025-05-26,2525.0
2025-05-28,2485.0
2025-05-29,2485.0
2025-05-30,2475.0
2025-05-31,2450.0
2025-06-02,2425.0
2025-06-03,2475.0
2025-06-04,2450.0
2025-06-05,2575.0
2025-06-06,2565.0
2025-06-07,2500.0
2025-06-09,2535.0
2025-06-10,2500.0
2025-06-12,2525.0
2025-06-13,2525.0
2025-06-14,2550.0
2025-06-26,2450.0
2025-06-28,2460.0
2025-06-30,2400.0
2025-07-01,2495.0
2025-07-02,2450.0
2025-07-03,2400.0
2025-07-04,2450.0
2025-07-05,2450.0
2025-07-06,2450.0
2025-07-07,2450.0
2025-07-08,2540.0
2025-07-09,2540.0
2025-07-11,2465.0
2025-07-14,2590.0
2025-07-15,2600.0
2025-07-16,2600.0
2025-07-17,2575.0
2025-07-18,2600.0
2025-07-19,2625.0
2025-07-23,2650.0
2025-07-24,2625.0
2025-07-25,2675.0
2025-07-26,2660.0
2025-07-28,2625.0
2025-07-29,2650.0
2025-07-30,2655.0
2025-08-01,2665.0
2025-08-02,2625.0
2025-08-04,2650.0
2025-08-05,2650.0
2025-08-06,2685.0
2025-08-07,2695.0
2025-08-08,2700.0
2025-08-11,2710.0
2025-08-12,2710.0
2025-08-13,2710.0
2025-08-14,2700.0
2025-08-18,2695.0
2025-08-19,2700.0
2025-08-20,2700.0
2025-08-21,2690.0
2025-08-22,2685.0
2025-08-23,2675.0
2025-08-25,2675.0
2025-08-26,2685.0
2025-08-28,2755.0
2025-08-29,2700.0
2025-08-30,2725.0
2025-09-01,2775.0
2025-09-02,2740.0
2025-09-03,2725.0
2025-09-04,2700.0
2025-09-05,2695.0
2025-09-06,2695.0
2025-09-08,2735.0
2025-09-09,2700.0
2025-09-10,2755.0
2025-09-11,2725.0
2025-09-12,2725.0
2025-09-13,2700.0
2025-09-15,2650.0
2025-09-16,2650.0
2025-09-17,2640.0
2025-09-18,2690.0
2025-09-19,2625.0
2025-09-20,2675.0
2025-09-24,2615.0
2025-09-25,2590.0
2025-09-26,2600.0
2025-09-27,2615.0
2025-09-29,2610.0
2025-09-30,2650.0
2025-10-01,2660.0
2025-10-03,2650.0
2025-10-04,2650.0
2025-10-06,2625.0
2025-10-07,2630.0
2025-10-08,2635.0
2025-10-09,2550.0
2025-10-10,2525.0
2025-10-11,2575.0
2025-10-13,2610.0
2025-10-14,2550.0
2025-10-15,2575.0
2025-10-16,2575.0
2025-10-17,2490.0
2025-10-28,2575.0
2025-10-29,2575.0
2025-11-01,2675.0
2025-11-03,2725.0
2025-11-04,2675.0
