date,price
2025-01-01,2995.0
2025-01-02,3000.0
2025-01-03,3050.0
2025-01-04,3025.0
2025-01-06,3000.0
2025-01-07,3125.0
2025-01-08,3350.0
2025-01-09,3150.0
2025-01-10,3150.0
2025-01-11,3075.0
2025-01-13,3205.0
2025-01-15,3050.0
2025-01-16,3450.0
2025-01-18,3165.0
2025-01-21,3250.0
2025-01-22,3300.0
2025-01-23,3050.0
2025-01-24,3150.0
2025-01-25,3250.0
2025-01-27,3175.0
2025-01-28,3005.0
2025-01-29,3300.0
2025-01-30,3775.0
2025-02-01,3000.0
2025-02-03,3295.0
2025-02-04,3050.0
2025-02-05,2700.0
2025-02-06,2900.0
2025-02-07,3075.0
2025-02-08,2950.0
2025-02-10,3050.0
2025-02-11,3050.0
2025-02-12,3315.0
2025-02-13,3300.0
2025-02-14,3305.0
2025-02-15,3000.0
2025-02-17,3025.0
2025-02-18,3050.0
2025-02-19,3150.0
2025-02-20,3100.0
2025-02-21,3065.0
2025-02-22,3105.0
2025-02-24,3150.0
2025-02-25,3050.0
2025-02-27,2950.0
2025-02-28,3050.0
2025-03-03,2800.0
2025-03-05,2710.0
2025-03-06,2760.0
2025-03-07,2750.0
2025-03-08,2750.0
2025-03-10,2775.0
2025-03-11,2770.0
2025-03-12,2575.0
2025-03-13,2600.0
2025-03-15,2550.0
2025-03-17,2565.0
2025-03-18,2750.0
2025-03-19,2700.0
2025-03-20,2650.0
2025-03-21,2350.0
2025-03-22,2650.0
2025-03-24,2800.0
2025-03-25,2550.0
2025-03-26,2550.0
2025-03-27,2550.0
2025-03-29,2550.0
2025-04-02,2550.0
2025-04-03,2560.0
2025-04-04,2850.0
2025-04-05,2850.0
2025-04-07,2750.0
2025-04-08,2900.0
2025-04-09,2900.0
2025-04-11,2850.0
2025-04-12,2900.0
2025-04-15,2860.0
2025-04-16,2875.0
2025-04-17,2750.0
2025-04-19,2910.0
2025-04-21,2800.0
2025-04-22,2900.0
2025-04-23,2675.0
2025-04-24,2800.0
2025-04-26,2525.0
2025-04-28,2775.0
2025-04-30,2785.0
2025-05-01,2650.0
2025-05-02,2600.0
