date,price
2025-01-01,3420.0
2025-01-02,3420.0
2025-01-04,3345.0
2025-01-06,3215.0
2025-01-07,3330.0
2025-01-08,3355.0
2025-01-09,3250.0
2025-01-10,3265.0
2025-01-11,3210.0
2025-01-13,3035.0
2025-01-15,3080.0
2025-01-16,3075.0
2025-01-17,3160.0
2025-01-18,3175.0
2025-01-20,3175.0
2025-01-21,3200.0
2025-01-22,3145.0
2025-01-23,3125.0
2025-01-24,3115.0
2025-01-25,3080.0
2025-01-27,3025.0
2025-01-28,2950.0
2025-01-29,3075.0
2025-01-30,3025.0
2025-01-31,3005.0
2025-02-01,3035.0
2025-02-03,3030.0
2025-02-04,3005.0
2025-02-05,3035.0
2025-02-06,3085.0
2025-02-07,3145.0
2025-02-08,2975.0
2025-02-10,3150.0
2025-02-11,3085.0
2025-02-12,3060.0
2025-02-13,3105.0
2025-02-14,3125.0
2025-02-15,3140.0
2025-02-17,3130.0
2025-02-18,3145.0
2025-02-19,3060.0
2025-02-20,3115.0
2025-02-21,3055.0
2025-02-22,3025.0
2025-02-24,3010.0
2025-02-25,3140.0
2025-02-27,2930.0
2025-02-28,3045.0
2025-03-01,2795.0
2025-03-03,2690.0
2025-03-04,2650.0
2025-03-05,2630.0
2025-03-06,2630.0
2025-03-07,2560.0
2025-03-08,2465.0
2025-03-09,2505.0
2025-03-11,2490.0
2025-03-12,2625.0
2025-03-13,2450.0
2025-03-15,2505.0
2025-03-17,2600.0
2025-03-18,2590.0
2025-03-19,2560.0
2025-03-20,2610.0
2025-03-21,2635.0
2025-03-22,2615.0
2025-03-24,2635.0
2025-03-25,2527.5
2025-04-01,2565.0
2025-04-02,2580.0
2025-04-03,2655.0
2025-04-04,2560.0
2025-04-05,2607.5
2025-04-07,2645.0
2025-04-08,2570.0
2025-04-09,2625.0
2025-04-10,2600.0
2025-04-11,2870.0
2025-04-14,2660.0
2025-04-15,2650.0
2025-04-16,2560.0
2025-04-17,2525.0
2025-04-18,2665.0
2025-04-19,2615.0
2025-04-21,2640.0
2025-04-22,2625.0
2025-04-23,2685.0
2025-04-24,2620.0
2025-04-25,2575.0
2025-04-26,2535.0
2025-04-28,2610.0
2025-04-29,2665.0
2025-05-01,2560.0
2025-05-02,2590.0
2025-05-03,2520.0
2025-05-05,2565.0
2025-05-06,2280.0
2025-05-12,2510.0
2025-05-13,2550.0
2025-05-14,2535.0
2025-05-15,2555.0
2025-05-16,2560.0
2025-05-17,2550.0
2025-05-19,2605.0
2025-05-20,2565.0
2025-05-21,2670.0
2025-05-23,2545.0
2025-05-24,2525.0
2025-05-26,2530.0
2025-05-27,2555.0
2025-05-28,2585.0
2025-05-29,2535.0
2025-05-30,2525.0
2025-05-31,2575.0
2025-06-02,2530.0
2025-06-03,2510.0
2025-06-04,2490.0
2025-06-05,2500.0
2025-06-07,2525.0
2025-06-09,2510.0
2025-06-10,2530.0
2025-06-11,2525.0
2025-06-12,2545.0
2025-06-13,2525.0
2025-06-14,2550.0
2025-06-16,2510.0
2025-06-17,2510.0
2025-06-18,2530.0
2025-06-19,2540.0
2025-06-20,2560.0
2025-06-21,2550.0
2025-06-23,2515.0
2025-06-24,2540.0
2025-06-25,2535.0
2025-06-26,2530.0
2025-06-28,2535.0
2025-06-30,2535.0
2025-07-01,2465.0
2025-07-02,2560.0
2025-07-03,2525.0
2025-07-04,2540.0
2025-07-05,2535.0
2025-07-07,2530.0
2025-07-08,2570.0
2025-07-09,2555.0
2025-07-10,2540.0
2025-07-11,2555.0
2025-07-12,2545.0
2025-07-14,2555.0
2025-07-15,2550.0
2025-07-16,2575.0
2025-07-17,2590.0
2025-07-18,2605.0
2025-07-19,2635.0
2025-07-21,2580.0
2025-07-22,2620.0
2025-07-23,2615.0
2025-07-24,2595.0
2025-07-25,2595.0
2025-07-26,2620.0
2025-07-28,2625.0
2025-07-29,2650.0
2025-07-30,2665.0
2025-07-31,2685.0
2025-08-01,2635.0
2025-08-02,2655.0
2025-08-04,2590.0
2025-08-05,2635.0
2025-08-06,2645.0
2025-08-07,2670.0
2025-08-08,2655.0
2025-08-11,2670.0
2025-08-12,2630.0
2025-08-19,2640.0
2025-08-20,2640.0
2025-08-21,2635.0
2025-08-22,2645.0
2025-08-23,2630.0
2025-08-25,2650.0
2025-08-26,2670.0
2025-08-27,2670.0
2025-08-28,2690.0
2025-08-29,2655.0
2025-08-30,2670.0
2025-09-01,2695.0
2025-09-02,2675.0
2025-09-03,2690.0
2025-09-04,2690.0
2025-09-05,2670.0
2025-09-06,2680.0
2025-09-08,2655.0
2025-09-09,2690.0
2025-09-10,2680.0
2025-09-11,2675.0
2025-09-12,2675.0
2025-09-13,2675.0
2025-09-15,2610.0
2025-09-16,2615.0
2025-09-17,2640.0
2025-09-18,2705.0
2025-09-19,2715.0
2025-09-20,2690.0
2025-09-22,2630.0
2025-09-23,2700.0
2025-09-24,2695.0
2025-09-25,2690.0
2025-09-26,2695.0
2025-09-27,2690.0
2025-09-29,2675.0
2025-09-30,2665.0
2025-10-01,2680.0
2025-10-03,2665.0
2025-10-04,2700.0
2025-10-06,2670.0
2025-10-07,2695.0
2025-10-08,2640.0
2025-10-09,2695.0
2025-10-10,2685.0
2025-10-11,2690.0
2025-10-13,2695.0
2025-10-14,2660.0
2025-10-15,2660.0
2025-10-16,2660.0
2025-10-17,2635.0
2025-10-18,2565.0
2025-10-27,2635.0
2025-10-28,2625.0
2025-10-29,2595.0
2025-10-30,2710.0
2025-10-31,2750.0
2025-11-01,2645.0
2025-11-03,2665.0
2025-11-05,2665.0
