date,price
2025-02-27,2700.0
2025-03-04,2635.0
2025-03-05,2612.0
2025-03-06,2620.0
2025-03-07,2610.0
2025-03-10,2600.0
2025-03-11,2675.0
2025-03-14,2615.0
2025-03-17,2610.0
2025-03-18,2600.0
2025-03-19,2680.0
2025-03-21,2585.0
2025-03-24,2642.0
2025-03-25,2655.0
2025-03-26,2615.0
2025-03-27,2575.0
2025-03-28,2417.0
2025-04-01,2502.0
2025-04-02,2465.0
2025-04-03,2510.0
2025-04-04,2520.0
2025-04-05,2485.0
2025-04-07,2450.0
2025-04-08,2540.0
2025-04-09,2465.0
2025-04-10,2510.0
2025-04-11,2345.0
2025-04-14,2495.0
2025-04-15,2525.0
2025-04-16,2350.0
2025-04-17,2550.0
2025-04-21,2535.0
2025-04-22,2550.0
2025-04-23,2583.0
2025-04-25,2535.0
2025-04-28,2565.0
2025-04-30,2465.0
2025-05-02,2545.0
2025-05-05,2465.0
2025-05-09,2510.0
2025-05-10,2522.0
2025-05-16,2525.0
2025-05-22,2395.0
2025-06-02,2410.0
2025-06-04,2435.0
2025-06-07,2235.0
2025-06-09,2415.0
2025-06-10,2415.0
2025-06-12,2475.0
2025-06-14,2565.0
2025-06-19,2455.0
2025-06-24,2435.0
2025-06-25,2415.0
2025-07-02,2245.0
2025-07-03,2410.0
2025-07-05,2455.0
2025-07-08,2485.0
2025-07-15,2395.0
2025-07-19,2425.0
2025-07-23,2455.0
2025-07-25,2275.0
2025-08-02,2365.0
2025-08-06,2345.0
2025-08-08,2345.0
2025-08-14,2345.0
2025-08-23,2415.0
2025-08-28,2185.0
2025-09-03,2350.0
2025-09-06,2345.0
2025-09-09,2385.0
2025-09-16,2145.0
2025-09-17,2235.0
2025-09-23,2295.0
2025-09-27,2135.0
2025-09-30,2285.0
2025-10-02,2345.0
2026-03-10,2145.0
2026-03-11,2145.0
2026-03-12,2145.0
2026-03-13,2175.0
2026-03-16,2145.0
2026-03-17,2150.0
2026-03-18,2235.0
2026-03-19,2200.0
2026-03-20,2185.0
2026-03-21,2200.0
2026-03-23,2150.0
2026-03-24,2195.0
2026-03-25,2250.0
2026-03-26,2175.0
2026-03-27,2195.0
2026-03-30,2185.0
2026-03-31,2185.0
2026-04-01,2165.0
2026-04-02,2185.0
2026-04-03,2150.0
2026-04-04,2185.0
2026-04-06,2185.0
2026-04-07,2150.0
2026-04-08,2185.0
2026-04-09,2185.0
2026-04-11,2185.0
2026-04-13,2185.0
2026-04-15,2185.0
2026-04-16,2185.0
2026-04-17,2168.0
2026-04-18,2145.0
2026-04-20,2145.0
2026-04-21,2285.0
2026-04-23,2222.0
2026-04-24,2185.0
2026-04-25,2185.0
2026-04-27,2365.0
2026-04-28,2345.0
2026-04-29,2345.0
2026-05-02,2340.0
2026-05-04,2365.0
2026-05-05,2325.0
2026-05-08,2300.0
2026-05-13,2350.0
2026-05-18,2400.0
2026-05-19,2350.0
2026-05-29,2300.0
2026-06-03,2365.0
