date,price
2025-11-06,2590.0
2025-11-07,2645.0
2025-11-08,2567.5
2025-11-10,2622.5
2025-11-11,2580.0
2025-11-12,2575.0
2025-11-13,2647.5
2025-11-14,2622.5
2025-11-15,2590.0
2025-11-17,2625.0
2025-11-18,2687.5
2025-11-19,2647.5
2025-11-20,2640.0
2025-11-21,2645.0
2025-11-24,2612.5
2025-11-25,2630.0
2025-11-26,2615.0
2025-11-27,2557.0
2025-11-28,2675.0
2025-12-01,2552.5
2025-12-02,2610.0
2025-12-05,2595.0
2025-12-06,2610.0
2025-12-08,2582.5
2025-12-09,2570.0
2025-12-10,2602.5
2025-12-11,2620.0
2025-12-12,2590.0
2025-12-15,2550.0
2025-12-16,2663.0
2025-12-18,2563.0
2025-12-19,2605.0
2025-12-22,2640.0
2025-12-23,2575.0
2025-12-25,2612.5
2025-12-29,2600.0
2025-12-31,2720.0
2026-01-07,2520.0
2026-01-08,2622.0
2026-01-10,2597.0
2026-01-12,2622.5
2026-01-13,2620.0
2026-01-15,2575.0
2026-01-16,2632.5
2026-01-19,2620.0
2026-01-20,2632.5
2026-01-21,2670.0
2026-01-22,2600.0
2026-01-24,2637.5
2026-01-27,2595.0
2026-01-28,2617.0
2026-01-29,2625.0
2026-01-30,2630.0
2026-01-31,2602.5
2026-02-02,2595.0
2026-02-05,2600.0
2026-02-07,2605.0
2026-02-09,2617.5
2026-02-10,2615.0
2026-02-11,2570.0
2026-02-12,2610.0
2026-02-13,2550.0
2026-02-16,2587.5
2026-02-17,2517.5
2026-02-18,2550.0
2026-02-19,2550.0
2026-02-20,2512.5
2026-02-21,2507.5
2026-02-23,2515.0
2026-02-24,2517.5
2026-02-25,2505.0
2026-02-26,2505.0
2026-02-27,2495.0
2026-02-28,2412.0
2026-03-06,2455.0
2026-03-07,2437.0
2026-03-09,2342.5
2026-03-10,2422.5
2026-03-11,2380.0
2026-03-12,2355.0
2026-03-13,2317.5
2026-03-14,2325.0
2026-03-16,2327.5
2026-03-17,2255.0
2026-03-18,2425.0
2026-03-19,2282.0
2026-03-20,2472.0
2026-03-23,2705.0
2026-03-24,2377.0
2026-04-01,2502.5
2026-04-03,2552.0
2026-04-04,2505.0
2026-04-06,2602.5
2026-04-07,2617.5
2026-04-08,2692.5
2026-04-09,2692.5
2026-04-10,2492.5
2026-04-11,2752.5
2026-04-16,2540.0
2026-04-17,2587.5
2026-04-18,2712.5
2026-04-20,2512.5
2026-04-21,2527.5
2026-04-22,2350.0
2026-04-23,2237.5
2026-04-24,2485.0
2026-04-25,2352.0
2026-04-28,2405.0
2026-04-29,2486.32
2026-05-02,2777.0
2026-05-04,2512.0
2026-05-05,2625.0
2026-05-06,2627.0
2026-05-07,2437.0
2026-05-08,2415.0
2026-05-09,2470.0
2026-05-11,2490.0
2026-05-13,2557.5
2026-05-14,2580.0
2026-05-15,2355.0
2026-05-16,2377.5
2026-05-18,2377.5
2026-05-19,2450.0
2026-05-20,2362.5
2026-05-21,2505.0
2026-05-22,2492.5
2026-05-23,2470.0
2026-05-25,2380.0
2026-05-26,2475.0
2026-05-27,2412.5
2026-05-29,2368.42
2026-06-01,2325.0
2026-06-02,2337.5
2026-06-03,2390.54
2026-06-04,2403.87
2026-06-05,2402.5
2026-06-06,2395.0
2026-06-08,2350.0
2026-06-09,2390.0
2026-06-10,2447.5
2026-06-11,2385.0
2026-06-12,2300.0
2026-06-13,2360.0
2026-06-15,2362.5
2026-06-16,2417.0
2026-06-17,2390.0
2026-06-18,2290.0
2026-06-19,2412.0
2026-06-20,2355.0
2026-06-22,2432.0
2026-06-23,2377.0
2026-06-24,2487.5
2026-06-25,2399.58
2026-06-27,2442.5
2026-06-30,2527.5
2026-07-01,2565.0
2026-07-02,2502.5
2026-07-03,2527.5
2026-07-04,2555.0
2026-07-06,2545.0
2026-07-07,2590.0
2026-07-08,2677.5
2026-07-09,2532.5
2026-07-10,2702.5
2026-07-11,2602.5
2026-07-13,2540.0
2026-07-14,2550.0
2026-07-15,2562.5
2026-07-17,2577.5
2026-07-18,2537.5
2026-07-20,2562.5
2026-07-21,2600.0
2026-07-22,2602.5
2026-07-23,2592.5
2026-07-24,2605.0
2026-07-28,2622.5
2026-07-30,2577.5
2026-07-31,2560.0
2026-08-01,2597.5
2026-08-04,2567.5
2026-08-05,2607.5
2026-08-06,2587.5
2026-08-07,2535.0
2026-08-08,2550.0
2026-08-10,2610.0
2026-08-11,2550.0
2026-08-12,2565.0
2026-08-13,2575.0
2026-08-14,2660.0
2026-08-17,2577.5
2026-08-18,2577.5
2026-08-19,2587.5
2026-08-20,2587.5
2026-08-21,2565.0
2026-08-22,2620.0
2026-08-24,2600.0
2026-08-25,2592.0
2026-08-27,2582.5
2026-08-29,2612.5
2026-08-31,2615.0
2026-09-01,2665.0
2026-09-02,2635.0
2026-09-08,2725.0
2026-09-09,2755.0
2026-09-10,2800.0
2026-09-11,2827.5
2026-09-12,2825.0
2026-09-14,2737.0
2026-09-16,2827.5
2026-09-18,2726.0
2026-09-19,2772.5
2026-09-23,2805.0
