date,price
2025-01-02,3137.0
2025-01-03,3175.0
2025-01-04,3107.0
2025-01-06,3112.0
2025-01-07,3220.0
2025-01-08,3142.0
2025-01-09,3190.0
2025-01-15,3185.0
2025-01-16,3170.0
2025-01-17,3135.0
2025-01-18,3088.0
2025-01-21,3140.0
2025-01-22,3145.0
2025-01-23,3102.0
2025-01-24,3142.0
2025-01-25,3120.0
2025-01-27,3070.0
2025-01-30,2950.0
2025-01-31,3137.0
2025-02-01,3050.0
2025-02-03,3130.0
2025-02-04,3210.0
2025-02-05,3102.0
2025-02-06,3100.0
2025-02-07,3125.0
2025-02-08,3157.0
2025-02-10,3195.0
2025-02-11,3205.0
2025-02-13,3282.0
2025-02-14,3262.0
2025-02-15,3225.0
2025-02-17,3250.0
2025-02-18,3250.0
2025-02-19,3255.0
2025-02-20,3260.0
2025-02-21,3322.0
2025-02-22,3242.0
2025-02-24,3212.0
2025-02-25,3075.0
2025-02-27,3050.0
2025-02-28,3052.0
2025-03-01,2840.0
2025-03-03,2735.0
2025-03-04,2742.0
2025-03-05,2758.0
2025-03-06,2727.0
2025-03-07,2745.0
2025-03-08,2670.0
2025-03-10,2677.0
2025-03-11,2587.0
2025-03-12,2702.0
2025-03-17,2640.0
2025-03-18,2542.0
2025-03-19,2495.0
2025-03-20,2470.0
2025-03-21,2562.0
2025-03-22,2540.0
2025-03-24,2490.0
2025-03-25,2490.0
2025-04-01,2650.0
2025-04-02,2565.0
2025-04-03,2647.0
2025-04-04,3152.0
2025-04-05,2590.0
2025-04-07,2710.0
2025-04-08,2685.0
2025-04-09,2645.0
2025-04-10,2612.0
2025-04-15,2637.0
2025-04-16,2655.0
2025-04-17,2640.0
2025-04-18,2767.0
2025-04-19,2612.0
2025-04-21,2525.0
2025-04-22,2612.0
2025-04-23,2580.0
2025-04-24,2637.0
2025-04-25,2462.0
2025-04-26,2567.0
2025-04-29,2600.0
2025-05-01,2465.0
2025-05-02,2477.0
2025-05-03,2755.0
2025-05-05,2550.0
2025-05-06,2515.0
2025-05-07,2510.0
2025-05-09,2320.0
2025-05-10,2460.0
2025-05-13,2567.0
2025-05-14,2520.0
2025-05-15,2715.0
2025-05-16,2587.0
2025-05-19,2537.0
2025-05-20,2552.0
2025-05-21,2530.0
2025-05-22,2512.0
2025-05-23,2537.0
2025-05-24,2490.0
2025-05-26,2482.0
2025-05-27,2690.0
2025-05-28,2570.0
2025-05-29,2502.0
2025-05-30,2500.0
2025-05-31,2562.0
2025-06-02,2562.0
2025-06-03,2412.0
2025-06-04,2422.0
2025-06-05,2500.0
2025-06-06,2457.0
2025-06-09,2535.0
2025-06-10,2450.0
2025-06-13,2500.0
2025-06-14,2457.0
2025-06-16,2447.0
2025-06-17,2487.0
2025-06-18,2525.0
2025-06-19,2512.0
2025-06-20,2625.0
2025-06-21,2525.0
2025-06-23,2425.0
2025-06-24,2607.0
2025-06-25,2485.0
2025-06-26,2530.0
2025-06-28,2520.0
2025-06-30,2490.0
2025-07-01,2455.0
2025-07-04,2457.0
2025-07-05,2412.0
2025-07-07,2490.0
2025-07-08,2472.0
2025-07-09,2440.0
2025-07-11,2500.0
2025-07-12,2487.0
2025-07-14,2500.0
2025-07-15,2510.0
2025-07-16,2607.0
2025-07-17,2675.0
2025-07-18,2597.0
2025-07-21,2592.0
2025-07-22,2577.0
2025-07-23,2567.0
2025-07-24,2597.0
2025-07-25,2757.0
2025-07-26,2617.0
2025-07-29,2617.0
2025-07-31,2690.0
2025-08-01,2647.0
2025-08-02,2655.0
2025-08-04,2662.0
2025-08-05,2682.0
2025-08-06,2702.0
2025-08-07,2655.0
2025-08-08,2672.0
2025-08-11,2655.0
2025-08-12,2685.0
2025-08-13,2690.0
2025-08-14,2660.0
2025-08-19,2682.0
2025-08-20,2625.0
2025-08-21,2652.0
2025-08-22,2685.0
2025-08-23,2647.0
2025-08-25,2702.0
2025-08-26,2672.0
2025-08-28,2625.0
2025-08-29,2670.0
2025-08-30,2665.0
2025-09-01,2665.0
2025-09-02,2677.0
2025-09-04,2675.0
2025-09-05,2712.0
2025-09-06,2680.0
2025-09-08,2715.0
2025-09-09,2757.0
2025-09-10,2730.0
2025-09-12,2702.0
2025-09-13,2692.0
2025-09-15,2732.0
2025-09-16,2687.0
2025-09-17,2685.0
2025-09-18,2670.0
2025-09-19,2642.0
2025-09-22,2630.0
2025-09-23,2637.0
2025-09-24,2622.0
2025-09-25,2595.0
2025-09-26,2622.0
2025-09-29,2570.0
2025-09-30,2622.0
2025-10-01,2625.0
2025-10-03,2642.0
2025-10-04,2600.0
2025-10-06,2645.0
2025-10-08,2677.0
2025-10-09,2660.0
2025-10-13,2617.0
2025-10-14,2592.0
2025-10-15,2567.5
2025-10-30,2545.0
2025-11-03,2637.5
2025-12-03,2565.0
2025-12-30,2612.0
2026-01-01,2605.75
2026-01-02,2572.0
2026-01-05,2625.0
2026-01-06,2585.0
2026-01-09,2622.0
2026-02-03,2542.0
2026-02-04,2595.0
2026-03-05,2445.0
2026-05-12,2495.0
2026-08-03,2607.5
2026-09-17,2750.0
