date,price
2025-01-01,2930.0
2025-01-02,2870.0
2025-01-03,2950.0
2025-01-04,2985.0
2025-01-06,2910.0
2025-01-07,2945.0
2025-01-08,2955.0
2025-01-09,2965.0
2025-01-10,2975.0
2025-01-11,2960.0
2025-01-13,2660.0
2025-01-15,2950.0
2025-01-16,2960.0
2025-01-17,1500.0
2025-01-18,3000.0
2025-01-20,2925.0
2025-01-21,3055.0
2025-01-22,2980.0
2025-01-23,2965.0
2025-01-24,3015.0
2025-01-25,3035.0
2025-01-27,3060.0
2025-01-28,3040.0
2025-01-29,3005.0
2025-01-30,3015.0
2025-01-31,3065.0
2025-02-07,3020.0
2025-02-08,2930.0
2025-02-10,3025.0
2025-02-11,2955.0
2025-02-12,3005.0
2025-02-13,3025.0
2025-02-14,3010.0
2025-02-15,2950.0
2025-02-17,2900.0
2025-02-18,2975.0
2025-02-19,3040.0
2025-02-20,2925.0
2025-02-21,2725.0
2025-02-22,2920.0
2025-02-24,2810.0
2025-02-25,2855.0
2025-02-28,2735.0
2025-03-04,2735.0
2025-03-05,2600.0
2025-03-06,2600.0
2025-03-07,2625.0
2025-03-08,2735.0
2025-03-10,2650.0
2025-03-11,2605.0
2025-03-12,2385.0
2025-03-15,2405.0
2025-03-21,2610.0
2025-03-22,2655.0
2025-03-24,2625.0
2025-04-02,2570.0
2025-04-03,2425.0
2025-04-04,2600.0
2025-04-07,2325.0
2025-04-08,2525.0
2025-04-09,2325.0
2025-04-10,2525.0
2025-04-11,2550.0
2025-04-14,2475.0
2025-04-15,2560.0
2025-04-16,2550.0
2025-04-17,2510.0
2025-04-18,2500.0
2025-04-21,2475.0
2025-04-22,2590.0
2025-04-23,2580.0
2025-04-24,2495.0
2025-04-25,2575.0
2025-04-26,2510.0
2025-04-28,2560.0
2025-04-29,2600.0
2025-04-30,2630.0
2025-05-01,2530.0
2025-05-03,2505.0
2025-05-05,2525.0
2025-05-06,2500.0
2025-05-08,2520.0
2025-05-09,2535.0
2025-05-10,2525.0
2025-05-12,2520.0
2025-05-14,2510.0
2025-05-15,2500.0
2025-05-16,2485.0
2025-05-17,2485.0
2025-05-19,2460.0
2025-05-20,2490.0
2025-05-21,2470.0
2025-05-22,2490.0
2025-05-23,2490.0
2025-05-24,2490.0
2025-05-28,2475.0
2025-05-29,2495.0
2025-05-30,2465.0
2025-06-02,2460.0
2025-06-03,2490.0
2025-06-04,2435.0
2025-06-05,2545.0
2025-06-10,2560.0
2025-06-11,2475.0
2025-06-12,2405.0
2025-06-18,2390.0
2025-06-19,2425.0
2025-06-20,2470.0
2025-06-21,2395.0
2025-06-24,2325.0
2025-06-25,2435.0
2025-06-26,2455.0
2025-06-28,2425.0
2025-06-30,2405.0
2025-07-01,2425.0
2025-07-02,2435.0
2025-07-03,2445.0
2025-07-04,2415.0
2025-07-05,2460.0
2025-07-07,2475.0
2025-07-08,2515.0
2025-07-09,2455.0
2025-07-11,2435.0
2025-07-12,2460.0
2025-07-14,2530.0
2025-07-15,2405.0
2025-07-16,2425.0
2025-07-17,2475.0
2025-07-18,2430.0
2025-07-19,2450.0
2025-07-22,2460.0
2025-07-23,2200.0
2025-07-24,2450.0
2025-07-28,2515.0
2025-07-29,2485.0
2025-07-30,2490.0
2025-08-01,2560.0
2025-08-02,2545.0
2025-08-05,2605.0
2025-08-06,2615.0
2025-08-07,2600.0
2025-08-08,2550.0
2025-08-11,2555.0
2025-08-12,2510.0
2025-08-13,2540.0
2025-08-14,2550.0
2025-08-19,2535.0
2025-08-21,2615.0
2025-08-22,2605.0
2025-08-26,2690.0
2025-08-27,2655.0
2025-08-28,2655.0
2025-08-29,2600.0
2025-09-01,2400.0
2025-09-02,2590.0
2025-09-03,2700.0
2025-09-04,2625.0
2025-09-05,2465.0
2025-09-06,2540.0
2025-09-11,2670.0
2025-09-12,2675.0
2025-09-13,2450.0
2025-09-15,2675.0
2025-09-16,2605.0
2025-09-17,2500.0
2025-09-18,2550.0
2025-09-19,2535.0
2025-09-22,2655.0
2025-09-23,2545.0
2025-09-24,2590.0
2025-09-25,2635.0
2025-09-26,2480.0
2025-09-30,2570.0
2025-10-03,2550.0
2025-10-04,2500.0
2025-10-06,2655.0
2025-10-07,2550.0
2025-10-08,2515.0
2025-10-10,2600.0
2025-10-13,2625.0
2025-10-14,2535.0
2025-10-15,2580.0
2025-10-16,2475.0
2025-10-18,2535.0
2025-10-29,2615.0
2025-11-03,2580.0
2025-11-05,2565.0
2025-12-31,2450.0
