date,price
2025-11-11,2580.0
2025-11-12,2550.0
2025-11-13,2650.0
2025-11-14,2080.0
2025-11-15,2545.0
2025-11-19,2630.0
2025-11-22,2500.0
2025-12-01,2570.0
2025-12-02,2550.0
2025-12-03,2665.0
2025-12-04,2570.0
2025-12-05,2675.0
2025-12-06,2650.0
2025-12-08,2610.0
2025-12-09,2520.0
2025-12-10,2525.0
2025-12-11,2555.0
2025-12-12,2400.0
2025-12-13,2465.0
2025-12-14,2465.0
2025-12-16,2485.0
2025-12-17,2435.0
2025-12-18,2475.0
2025-12-19,2520.0
2025-12-22,2500.0
2025-12-23,2460.0
2025-12-24,2495.0
2025-12-26,2425.0
2025-12-27,2400.0
2025-12-29,2550.0
2025-12-30,2515.0
2026-01-01,2520.0
2026-01-05,2360.0
2026-01-06,2590.0
2026-01-07,2570.0
2026-01-08,2495.0
2026-01-09,2315.0
2026-01-10,2545.0
2026-01-12,2630.0
2026-01-15,2550.0
2026-01-16,2595.0
2026-01-17,2580.0
2026-01-19,2550.0
2026-01-20,2585.0
2026-01-21,2580.0
2026-01-27,2755.0
2026-01-28,2620.0
2026-01-29,2760.0
2026-01-30,2685.0
2026-02-02,2710.0
2026-02-03,2675.0
2026-02-04,2620.0
2026-02-05,2650.0
2026-02-06,2450.0
2026-02-07,2575.0
2026-02-09,2540.0
2026-02-10,2650.0
2026-02-11,2650.0
2026-02-12,2550.0
2026-02-13,2500.0
2026-02-14,2350.0
2026-02-16,2540.0
2026-02-17,2425.0
2026-02-18,2505.0
2026-02-19,2490.0
2026-02-20,2450.0
2026-02-25,2435.0
2026-02-26,2400.0
2026-02-27,2310.0
2026-02-28,2310.0
2026-03-06,2400.0
2026-03-10,2185.0
2026-03-11,2300.0
2026-03-12,2195.0
2026-03-13,2310.0
2026-03-14,2350.0
2026-03-16,2330.0
2026-03-17,2325.0
2026-03-18,2290.0
2026-03-19,2360.0
2026-03-23,2305.0
2026-03-24,2300.0
2026-04-03,2010.0
2026-04-06,2125.0
2026-04-07,2120.0
2026-04-08,2140.0
2026-04-09,2255.0
2026-04-13,2400.0
2026-04-14,2120.0
2026-04-15,2080.0
2026-04-16,2250.0
2026-04-17,2260.0
2026-04-18,2285.0
2026-04-21,2140.0
2026-04-22,2135.0
2026-04-23,2260.0
2026-04-24,2150.0
2026-04-28,2175.0
2026-04-29,2120.0
2026-04-30,2200.0
2026-05-01,2250.0
2026-05-02,2135.0
2026-05-04,2250.0
2026-05-05,2195.0
2026-05-06,2265.0
2026-05-07,2150.0
2026-05-08,2280.0
2026-05-11,2225.0
2026-05-12,2180.0
2026-05-13,2335.0
2026-05-14,2275.0
2026-05-15,2275.0
2026-05-18,2275.0
2026-05-20,2300.0
2026-05-21,2240.0
2026-05-25,2225.0
2026-05-26,2200.0
2026-05-27,2300.0
2026-05-28,2200.0
2026-05-29,2245.0
2026-06-01,2265.0
2026-06-02,2265.0
2026-06-03,2160.0
2026-06-04,2205.0
2026-06-05,2190.0
2026-06-08,2245.0
2026-06-09,2240.0
2026-06-10,2215.0
2026-06-12,2265.0
2026-06-16,2175.0
2026-06-17,2225.0
2026-06-18,2225.0
2026-06-19,2005.0
2026-06-22,2245.0
2026-06-23,2275.0
2026-06-24,2240.0
2026-06-29,2325.0
2026-06-30,2375.0
2026-07-01,2305.0
2026-07-02,2355.0
2026-07-03,2400.0
2026-07-04,2335.0
2026-07-06,2305.0
2026-07-09,2335.0
2026-07-10,2330.0
2026-07-11,2455.0
2026-07-13,2440.0
2026-07-14,2430.0
2026-07-15,2185.0
2026-07-17,2315.0
2026-07-20,2445.0
2026-07-21,2515.0
2026-07-22,2410.0
2026-07-23,2485.0
2026-07-28,2440.0
2026-08-01,2475.0
2026-08-03,2480.0
2026-08-04,2375.0
2026-08-05,2515.0
2026-08-06,2495.0
2026-08-08,2535.0
2026-08-10,2490.0
2026-08-11,2560.0
2026-08-12,2510.0
2026-08-13,2390.0
2026-08-14,2595.0
2026-08-17,2605.0
2026-08-20,2540.0
2026-08-21,2530.0
2026-08-22,2535.0
2026-08-24,2530.0
2026-08-25,2495.0
2026-08-26,2540.0
2026-08-27,2605.0
2026-08-31,2640.0
2026-09-01,2590.0
2026-09-07,2670.0
2026-09-08,2675.0
2026-09-09,2735.0
2026-09-10,2555.0
2026-09-12,2690.0
2026-09-14,2675.0
2026-09-15,2675.0
2026-09-16,2525.0
2026-09-17,2530.0
2026-09-18,2650.0
2026-09-19,2720.0
2026-09-21,2680.0
2026-09-22,2625.0
