date,price
2025-11-09,2515.0
2025-11-11,2485.0
2025-11-12,2470.0
2025-11-14,2575.0
2025-11-15,2555.0
2025-11-18,2350.0
2025-11-19,2610.0
2025-11-20,2550.0
2025-11-21,2585.0
2025-11-22,2530.0
2025-11-24,2545.0
2025-11-25,2555.0
2025-11-26,2490.0
2025-11-27,2575.0
2025-11-28,2560.0
2025-11-29,2565.0
2025-12-01,2450.0
2025-12-02,2470.0
2025-12-03,2555.0
2025-12-04,2585.0
2025-12-05,2555.0
2025-12-06,2595.0
2025-12-09,2565.0
2025-12-10,2535.0
2025-12-11,2535.0
2025-12-12,2400.0
2025-12-13,2615.0
2025-12-15,2565.0
2025-12-16,2560.0
2025-12-17,2350.0
2025-12-18,2580.0
2025-12-19,2520.0
2025-12-20,2555.0
2025-12-22,2545.0
2025-12-23,2535.0
2025-12-24,2540.0
2025-12-26,2555.0
2025-12-27,2520.0
2025-12-29,2540.0
2025-12-30,2470.0
2025-12-31,2490.0
2026-01-03,2515.0
2026-01-05,2500.0
2026-01-06,2540.0
2026-01-07,2555.0
2026-01-08,2525.0
2026-01-09,2490.0
2026-01-10,2500.0
2026-01-12,2475.0
2026-01-13,2500.0
2026-01-15,2545.0
2026-01-16,2550.0
2026-01-17,2485.0
2026-01-19,2540.0
2026-01-20,2565.0
2026-01-21,2500.0
2026-01-22,2575.0
2026-01-23,2495.0
2026-01-24,2475.0
2026-01-27,2475.0
2026-01-28,2500.0
2026-01-29,2400.0
2026-01-30,2555.0
2026-01-31,2450.0
2026-02-02,2465.0
2026-02-03,2360.0
2026-02-04,2530.0
2026-02-05,2565.0
2026-02-06,2600.0
2026-02-07,2520.0
2026-02-10,2460.0
2026-02-11,2495.0
2026-02-12,2460.0
2026-02-13,2495.0
2026-02-14,2400.0
2026-02-16,2385.0
2026-02-18,2425.0
2026-02-19,2405.0
2026-02-20,2240.0
2026-02-21,2415.0
2026-02-23,2425.0
2026-02-24,2240.0
2026-02-25,2425.0
2026-02-26,2390.0
2026-02-27,2250.0
2026-02-28,2175.0
2026-03-06,2125.0
2026-03-07,2145.0
2026-03-09,2160.0
2026-03-10,2275.0
2026-03-11,2265.0
2026-03-12,2285.0
2026-03-13,2275.0
2026-03-14,2095.0
2026-03-17,2265.0
2026-03-18,2295.0
2026-03-19,2130.0
2026-03-20,2470.0
2026-03-21,2245.0
2026-03-23,2205.0
2026-03-24,2090.0
2026-04-01,2380.0
2026-04-02,2230.0
2026-04-03,2140.0
2026-04-04,2190.0
2026-04-06,2290.0
2026-04-07,2435.0
2026-04-08,2255.0
2026-04-09,2195.0
2026-04-10,2285.0
2026-04-11,2285.0
2026-04-13,2290.0
2026-04-14,2310.0
2026-04-15,2525.0
2026-04-16,2345.0
2026-04-17,2495.0
2026-04-18,2295.0
2026-04-20,2285.0
2026-04-21,2290.0
2026-04-22,2330.0
2026-04-23,2345.0
2026-04-24,2195.0
2026-04-25,2125.0
2026-04-27,2445.0
2026-04-28,2265.0
2026-04-29,2245.0
2026-04-30,2425.0
2026-05-01,2240.0
2026-05-02,2235.0
2026-05-04,2340.0
2026-05-05,2315.0
2026-05-06,2330.0
2026-05-07,2300.0
2026-05-08,2290.0
2026-05-09,2325.0
2026-05-11,2335.0
2026-05-12,2280.0
2026-05-13,2415.0
2026-05-15,2250.0
2026-05-16,2235.0
2026-05-18,2300.0
2026-05-19,2245.0
2026-05-20,2265.0
2026-05-21,2235.0
2026-05-22,2245.0
2026-05-25,2250.0
2026-05-26,2270.0
2026-05-27,2260.0
2026-05-28,2220.0
2026-05-29,2105.0
2026-05-30,2220.0
2026-06-01,2255.0
2026-06-02,2305.0
2026-06-03,2135.0
2026-06-04,2240.0
2026-06-05,2245.0
2026-06-06,2230.0
2026-06-08,2230.0
2026-06-09,2245.0
2026-06-10,2240.0
2026-06-11,2235.0
2026-06-12,2255.0
2026-06-13,2245.0
2026-06-15,2240.0
2026-06-16,2285.0
2026-06-17,2270.0
2026-06-18,2250.0
2026-06-19,2275.0
2026-06-20,2310.0
2026-06-22,2370.0
2026-06-23,2235.0
2026-06-24,2270.0
2026-06-25,2425.0
2026-06-26,2320.0
2026-06-27,2280.0
2026-06-29,2250.0
2026-06-30,2320.0
2026-07-01,2250.0
2026-07-02,2295.0
2026-07-04,2370.0
2026-07-06,2440.0
2026-07-07,2375.0
2026-07-08,2540.0
2026-07-09,2545.0
2026-07-10,2525.0
2026-07-11,2485.0
2026-07-13,2610.0
2026-07-14,2460.0
2026-07-15,2620.0
2026-07-16,2435.0
2026-07-17,2450.0
2026-07-18,2485.0
2026-07-20,2380.0
2026-07-22,2450.0
2026-07-23,2450.0
2026-07-24,2535.0
2026-07-25,2500.0
2026-07-27,2490.0
2026-07-28,2540.0
2026-07-29,2550.0
2026-07-30,2555.0
2026-08-01,2525.0
2026-08-03,2500.0
2026-08-04,2585.0
2026-08-05,2645.0
2026-08-06,2570.0
2026-08-07,2560.0
2026-08-08,2710.0
2026-08-10,2535.0
2026-08-11,2530.0
2026-08-12,2640.0
2026-08-13,2525.0
2026-08-14,2550.0
2026-08-17,2550.0
2026-08-18,2635.0
2026-08-19,2560.0
2026-08-20,2710.0
2026-08-21,2585.0
2026-08-22,2720.0
2026-08-24,2670.0
2026-08-25,2605.0
2026-08-26,2575.0
2026-08-27,2730.0
2026-08-29,2660.0
2026-08-31,2625.0
2026-09-01,2580.0
2026-09-08,2645.0
2026-09-09,2800.0
2026-09-10,2770.0
2026-09-11,2750.0
2026-09-12,2725.0
2026-09-14,2595.0
2026-09-15,2715.0
2026-09-16,2680.0
2026-09-17,2850.0
2026-09-19,2675.0
2026-09-21,2605.0
2026-09-22,2720.0
