date,price
2025-01-02,2500.0
2025-01-04,2550.0
2025-01-06,2750.0
2025-01-08,2500.0
2025-01-17,2550.0
2025-01-18,2750.0
2025-01-20,2600.0
2025-01-21,2850.0
2025-01-22,2685.0
2025-01-23,2500.0
2025-01-24,2610.0
2025-01-25,2675.0
2025-01-27,2925.0
2025-01-29,2800.0
2025-01-31,2885.0
2025-02-01,2910.0
2025-02-03,2600.0
2025-02-04,2550.0
2025-02-06,2350.0
2025-02-07,2660.0
2025-02-08,2775.0
2025-02-10,2825.0
2025-02-14,2810.0
2025-02-15,2625.0
2025-02-17,2250.0
2025-02-19,2400.0
2025-02-20,2510.0
2025-02-21,2675.0
2025-02-22,2525.0
2025-02-24,2575.0
2025-02-25,2330.0
2025-02-27,2250.0
2025-02-28,2410.0
2025-03-01,2400.0
2025-03-03,2400.0
2025-03-04,2425.0
2025-03-05,2335.0
2025-03-06,2325.0
2025-03-07,2125.0
2025-03-08,2125.0
2025-03-10,2000.0
2025-03-11,2110.0
2025-03-12,2150.0
2025-03-17,2290.0
2025-03-18,2105.0
2025-03-19,2290.0
2025-03-20,2300.0
2025-03-21,2235.0
2025-03-22,2280.0
2025-04-01,2125.0
2025-04-02,2100.0
2025-04-03,2265.0
2025-04-04,2130.0
2025-04-05,2235.0
2025-04-07,2125.0
2025-04-08,2140.0
2025-04-09,2140.0
2025-04-10,2285.0
2025-04-11,1800.0
2025-04-12,2175.0
2025-04-14,2155.0
2025-04-15,2135.0
2025-04-16,2145.0
2025-04-17,2250.0
2025-04-18,2155.0
2025-04-19,2070.0
2025-04-21,2200.0
2025-04-22,2150.0
2025-04-23,2185.0
2025-04-24,2050.0
2025-04-25,2125.0
2025-04-26,2130.0
2025-04-28,2125.0
2025-04-29,2175.0
2025-04-30,2150.0
2025-05-01,2100.0
2025-05-02,2100.0
2025-05-03,2100.0
2025-05-05,2160.0
2025-05-06,2025.0
2025-05-07,2010.0
2025-05-08,2025.0
2025-05-12,2075.0
2025-05-13,2225.0
2025-05-14,2050.0
2025-05-15,1925.0
2025-05-16,2090.0
2025-05-17,2060.0
2025-05-19,2080.0
2025-05-20,2250.0
2025-05-21,2075.0
2025-05-23,2010.0
2025-05-24,2025.0
2025-05-27,2135.0
2025-05-28,2060.0
2025-05-30,1860.0
2025-05-31,2125.0
2025-06-02,2075.0
2025-06-03,2135.0
2025-06-04,1925.0
2025-06-05,2265.0
2025-06-07,2050.0
2025-06-09,1850.0
2025-06-10,2060.0
2025-06-12,2050.0
2025-06-13,2255.0
2025-06-14,2160.0
2025-06-16,2035.0
2025-06-17,2000.0
2025-06-18,2225.0
2025-06-19,2275.0
2025-06-20,2225.0
2025-06-21,2290.0
2025-06-23,2000.0
2025-06-24,2015.0
2025-06-25,2115.0
2025-06-26,2075.0
2025-06-28,2000.0
2025-06-30,2100.0
2025-07-01,2035.0
2025-07-02,1950.0
2025-07-03,2295.0
2025-07-04,2240.0
2025-07-08,2000.0
2025-07-09,2335.0
2025-07-10,2300.0
2025-07-11,2075.0
2025-07-12,2105.0
2025-07-18,2050.0
2025-07-19,2250.0
2025-07-24,2220.0
2025-07-29,2250.0
2025-08-01,2290.0
2025-08-12,2325.0
2025-08-14,2250.0
2025-08-26,2200.0
2025-08-28,2350.0
2025-08-29,2640.0
2025-09-02,1910.0
2025-09-05,2530.0
2025-09-08,2425.0
2025-09-09,2480.0
2025-09-10,2525.0
2025-09-12,2400.0
2025-09-13,2420.0
2025-09-16,2395.0
2025-09-18,2250.0
2025-09-19,2570.0
2025-09-23,2375.0
2025-09-24,2545.0
2025-09-25,2375.0
2025-09-26,2410.0
2025-09-27,2380.0
2025-09-30,2505.0
2025-10-04,2435.0
2025-10-06,2485.0
2025-10-07,2325.0
2025-10-08,2400.0
2025-10-09,2385.0
2025-10-10,2325.0
2025-10-11,2250.0
2025-10-14,2000.0
2025-10-16,2300.0
2025-10-17,2125.0
2025-10-28,2400.0
2025-10-29,2225.0
2025-11-04,2450.0
2025-11-05,2050.0
2025-11-06,2225.0
2025-11-13,2000.0
2025-11-19,1825.0
2025-11-21,2150.0
2025-11-24,2275.0
2025-11-26,2300.0
2025-11-27,2250.0
2025-11-28,1775.0
2025-11-29,2335.0
2025-12-02,2300.0
2025-12-03,2375.0
2025-12-05,2285.0
2025-12-06,2250.0
2025-12-09,2275.0
2025-12-12,2275.0
2025-12-15,2335.0
2025-12-16,2310.0
2025-12-17,2580.0
2025-12-18,2425.0
2025-12-19,2000.0
2025-12-20,2235.0
2025-12-22,2285.0
2025-12-23,2260.0
2025-12-26,2300.0
2025-12-27,2200.0
2025-12-29,2335.0
2025-12-31,2325.0
2026-01-03,2225.0
2026-01-06,2325.0
2026-01-07,2275.0
2026-01-08,2275.0
2026-01-09,2360.0
2026-01-12,2275.0
2026-01-13,2310.0
2026-01-15,2425.0
2026-01-17,2325.0
2026-01-19,2400.0
2026-01-21,2000.0
2026-01-22,2325.0
2026-01-24,2350.0
2026-01-27,2240.0
2026-01-28,2325.0
2026-01-29,2225.0
2026-01-30,2300.0
2026-01-31,2000.0
2026-02-02,2175.0
2026-02-03,2025.0
2026-02-04,2325.0
2026-02-05,2335.0
2026-02-07,2050.0
2026-02-09,2260.0
2026-02-12,2000.0
2026-02-16,2235.0
2026-02-17,2340.0
2026-02-18,1975.0
2026-02-19,2110.0
2026-02-20,2100.0
2026-02-21,2125.0
2026-02-23,2180.0
2026-02-24,2125.0
2026-02-25,2195.0
2026-02-26,2215.0
2026-02-27,2155.0
2026-02-28,4325.0
2026-03-06,1775.0
2026-03-09,1885.0
2026-03-10,1725.0
2026-03-11,1785.0
2026-03-12,1860.0
2026-03-13,1810.0
2026-03-14,2040.0
2026-03-16,2025.0
2026-03-17,2050.0
2026-03-18,2075.0
2026-03-19,1965.0
2026-03-20,1920.0
2026-03-21,2025.0
2026-03-23,2035.0
2026-03-24,1960.0
2026-04-01,1995.0
2026-04-02,2065.0
2026-04-03,1975.0
2026-04-04,2025.0
2026-04-06,2025.0
2026-04-07,2035.0
2026-04-08,2075.0
2026-04-09,2090.0
2026-04-10,2100.0
2026-04-11,2060.0
2026-04-13,2075.0
2026-04-14,2100.0
2026-04-15,2075.0
2026-04-16,2105.0
2026-04-17,2065.0
2026-04-18,2080.0
2026-04-20,2075.0
2026-04-21,2065.0
2026-04-22,1850.0
2026-04-23,2115.0
2026-04-24,1880.0
2026-04-25,1775.0
2026-04-27,2110.0
2026-04-28,2010.0
2026-04-29,1975.0
2026-04-30,2080.0
2026-05-01,2055.0
2026-05-02,2075.0
2026-05-04,2075.0
2026-05-05,1900.0
2026-05-06,2075.0
2026-05-07,1935.0
2026-05-08,2130.0
2026-05-11,2060.0
2026-05-12,2110.0
2026-05-13,2100.0
2026-05-15,1935.0
2026-05-16,1975.0
2026-05-18,2085.0
2026-05-19,2000.0
2026-05-20,2060.0
2026-05-22,2060.0
2026-05-25,2105.0
2026-05-26,2125.0
2026-05-27,2075.0
2026-05-28,2060.0
2026-05-30,2075.0
2026-06-01,2150.0
2026-06-02,2175.0
2026-06-03,1685.0
2026-06-04,1925.0
2026-06-05,1975.0
2026-06-06,2025.0
2026-06-08,2075.0
2026-06-09,2070.0
2026-06-10,1660.0
2026-06-11,2085.0
2026-06-12,2050.0
2026-06-13,2025.0
2026-06-16,2025.0
2026-06-18,2060.0
2026-06-19,1635.0
2026-06-20,2000.0
2026-06-22,2135.0
2026-06-23,2050.0
2026-06-24,2060.0
2026-06-25,2125.0
2026-06-26,2105.0
2026-06-27,1985.0
2026-06-29,2065.0
2026-06-30,2135.0
2026-07-01,1875.0
2026-07-02,2115.0
2026-07-10,2300.0
2026-07-13,2190.0
2026-07-15,2000.0
2026-07-17,2120.0
2026-07-18,2105.0
2026-07-21,2000.0
2026-07-28,2170.0
2026-08-03,2150.0
2026-08-08,2375.0
2026-08-14,2150.0
2026-08-19,2400.0
2026-08-20,2450.0
2026-08-21,2400.0
2026-08-22,2300.0
2026-08-25,2475.0
2026-08-29,2450.0
2026-08-31,2230.0
2026-09-09,2260.0
2026-09-12,2275.0
2026-09-17,2250.0
2026-09-23,2125.0
