date,price
2025-01-02,3035.0
2025-01-03,2970.0
2025-01-04,3050.0
2025-01-06,3050.0
2025-01-07,3015.0
2025-01-08,3105.0
2025-01-09,3110.0
2025-01-10,3095.0
2025-01-11,3160.0
2025-01-13,3100.0
2025-01-15,3110.0
2025-01-16,3125.0
2025-01-17,3175.0
2025-01-18,3030.0
2025-01-20,3070.0
2025-01-21,3085.0
2025-01-22,3085.0
2025-01-23,3050.0
2025-01-24,3095.0
2025-01-25,3080.0
2025-01-27,3090.0
2025-01-28,3120.0
2025-01-29,3120.0
2025-01-30,3035.0
2025-01-31,3090.0
2025-02-01,3035.0
2025-02-03,3025.0
2025-02-04,3100.0
2025-02-05,2685.0
2025-02-06,2825.0
2025-02-07,2950.0
2025-02-08,2950.0
2025-02-10,3050.0
2025-02-11,3110.0
2025-02-12,3125.0
2025-02-13,3100.0
2025-02-14,3075.0
2025-02-15,3085.0
2025-02-17,2860.0
2025-02-18,2950.0
2025-02-19,3120.0
2025-02-20,3050.0
2025-02-21,3050.0
2025-02-22,2905.0
2025-02-24,2900.0
2025-02-25,2785.0
2025-02-27,2610.0
2025-02-28,2700.0
2025-03-01,2525.0
2025-03-03,2600.0
2025-03-04,2585.0
2025-03-05,2520.0
2025-03-06,2465.0
2025-03-07,2475.0
2025-03-08,2505.0
2025-03-10,2450.0
2025-03-11,2415.0
2025-03-12,2365.0
2025-03-17,2385.0
2025-03-18,2360.0
2025-03-19,2335.0
2025-03-20,2460.0
2025-03-21,2340.0
2025-03-22,2385.0
2025-04-01,2385.0
2025-04-02,2450.0
2025-04-03,2350.0
2025-04-04,2415.0
2025-04-05,2385.0
2025-04-07,2480.0
2025-04-08,2390.0
2025-04-09,2435.0
2025-04-10,2515.0
2025-04-11,2370.0
2025-04-12,2450.0
2025-04-14,2490.0
2025-04-15,2545.0
2025-04-16,2365.0
2025-04-17,2445.0
2025-04-18,2415.0
2025-04-19,2365.0
2025-04-21,2425.0
2025-04-22,2430.0
2025-04-23,2370.0
2025-04-24,2455.0
2025-04-25,2435.0
2025-04-26,2400.0
2025-04-28,2425.0
2025-04-29,2465.0
2025-04-30,2425.0
2025-05-01,2410.0
2025-05-02,2405.0
2025-05-03,2395.0
2025-05-05,2360.0
2025-05-06,2495.0
2025-05-07,2365.0
2025-05-08,2400.0
2025-05-09,2325.0
2025-05-10,2350.0
2025-05-12,2425.0
2025-05-13,2470.0
2025-05-14,2455.0
2025-05-15,2400.0
2025-05-16,2425.0
2025-05-17,2430.0
2025-05-19,2375.0
2025-05-20,2425.0
2025-05-21,2420.0
2025-05-22,2385.0
2025-05-23,2425.0
2025-05-24,2395.0
2025-05-26,2450.0
2025-05-27,2415.0
2025-05-28,2375.0
2025-05-29,2415.0
2025-05-30,2255.0
2025-05-31,2425.0
2025-06-02,2415.0
2025-06-03,2415.0
2025-06-04,2485.0
2025-06-05,2480.0
2025-06-07,2435.0
2025-06-09,2285.0
2025-06-10,2405.0
2025-06-11,2450.0
2025-06-12,2445.0
2025-06-13,2485.0
2025-06-14,2440.0
2025-06-16,2420.0
2025-06-19,2445.0
2025-06-20,2390.0
2025-06-21,2380.0
2025-06-23,2415.0
2025-06-24,2285.0
2025-06-25,2410.0
2025-06-26,2300.0
2025-06-28,2440.0
2025-06-30,2445.0
2025-07-01,2370.0
2025-07-02,2430.0
2025-07-03,2420.0
2025-07-04,2445.0
2025-07-08,2370.0
2025-07-09,2585.0
2025-07-10,2450.0
2025-07-11,2435.0
2025-07-12,2430.0
2025-07-14,2410.0
2025-07-15,2410.0
2025-07-16,2550.0
2025-07-17,2480.0
2025-07-18,2520.0
2025-07-19,2465.0
2025-07-22,2500.0
2025-07-23,2450.0
2025-07-24,2515.0
2025-07-25,2605.0
2025-07-26,2595.0
2025-07-28,2595.0
2025-07-29,2590.0
2025-07-30,2575.0
2025-07-31,2645.0
2025-08-01,2680.0
2025-08-02,2610.0
2025-08-04,2580.0
2025-08-05,2675.0
2025-08-06,2595.0
2025-08-07,2610.0
2025-08-08,2575.0
2025-08-11,2600.0
2025-08-12,2690.0
2025-08-13,2585.0
2025-08-14,2555.0
2025-08-22,2670.0
2025-08-23,2620.0
2025-08-25,2725.0
2025-08-26,2500.0
2025-08-27,2615.0
2025-08-28,2660.0
2025-08-30,2635.0
2025-09-01,2650.0
2025-09-02,2650.0
2025-09-03,2680.0
2025-09-04,2640.0
2025-09-05,2645.0
2025-09-06,2555.0
2025-09-08,2695.0
2025-09-09,2705.0
2025-09-10,2755.0
2025-09-11,2765.0
2025-09-12,2705.0
2025-09-13,2790.0
2025-09-15,2650.0
2025-09-16,2730.0
2025-09-17,2655.0
2025-09-18,2685.0
2025-09-20,2660.0
2025-09-22,2640.0
2025-09-23,2640.0
2025-09-24,2630.0
2025-09-25,2660.0
2025-09-26,2585.0
2025-09-27,2650.0
2025-09-29,2640.0
2025-09-30,2650.0
2025-10-03,2680.0
2025-10-04,2635.0
2025-10-06,2625.0
2025-10-07,2540.0
2025-10-08,2585.0
2025-10-09,2605.0
2025-10-10,2635.0
2025-10-11,2600.0
2025-10-14,2500.0
2025-10-15,2375.0
2025-10-16,2650.0
2025-10-17,2450.0
2025-10-29,2580.0
2025-10-31,2525.0
2025-11-03,2635.0
2025-11-05,2560.0
2025-11-06,2555.0
2025-11-07,2545.0
2025-11-08,2325.0
2026-03-16,2200.0
