date,price
2025-01-02,3150.0
2025-01-04,3100.0
2025-01-06,3100.0
2025-01-08,3200.0
2025-01-09,3150.0
2025-01-10,3200.0
2025-01-11,3150.0
2025-01-15,3200.0
2025-01-16,3150.0
2025-01-17,3200.0
2025-01-18,3150.0
2025-01-20,3150.0
2025-01-23,3200.0
2025-01-24,3150.0
2025-01-27,3200.0
2025-01-28,3150.0
2025-01-29,3200.0
2025-01-30,3100.0
2025-01-31,3100.0
2025-02-01,3100.0
2025-02-03,3050.0
2025-02-04,3200.0
2025-02-05,3050.0
2025-02-06,3075.0
2025-02-07,3050.0
2025-02-08,3100.0
2025-02-10,3055.0
2025-02-11,3100.0
2025-02-13,3050.0
2025-02-14,3100.0
2025-02-15,3200.0
2025-02-17,3050.0
2025-02-18,3100.0
2025-02-25,3100.0
2025-02-27,3075.0
2025-02-28,3050.0
2025-03-03,3050.0
2025-03-04,2950.0
2025-03-05,3000.0
2025-03-06,2850.0
2025-03-07,2800.0
2025-03-08,2650.0
2025-03-10,2600.0
2025-03-11,2575.0
2025-03-15,2600.0
2025-03-17,2550.0
2025-03-18,2600.0
2025-03-19,2600.0
2025-03-20,2625.0
2025-03-21,2625.0
2025-03-22,2600.0
2025-03-24,2600.0
2025-04-01,2600.0
2025-04-02,2625.0
2025-04-03,2800.0
2025-04-04,2700.0
2025-04-05,2800.0
2025-04-07,2700.0
2025-04-08,2750.0
2025-04-09,2750.0
2025-04-15,2900.0
2025-04-16,2900.0
2025-04-17,2850.0
2025-04-18,2875.0
2025-04-19,2950.0
2025-04-21,2900.0
2025-04-22,2850.0
2025-04-23,2900.0
2025-04-24,2850.0
2025-04-25,2850.0
2025-04-26,2825.0
2025-04-28,2825.0
2025-04-29,2850.0
2025-05-01,2750.0
2025-05-05,2700.0
2025-05-07,2650.0
2025-05-08,2650.0
2025-05-09,2550.0
2025-05-10,2750.0
2025-05-13,2750.0
2025-05-14,2600.0
2025-05-15,2800.0
2025-05-16,2650.0
2025-05-17,2600.0
2025-05-19,2500.0
2025-05-20,2575.0
2025-05-21,2700.0
2025-05-22,2600.0
2025-05-23,2650.0
2025-05-24,2625.0
2025-05-26,2625.0
2025-05-27,2600.0
2025-05-28,2605.0
2025-05-29,2550.0
2025-05-30,2600.0
2025-05-31,2600.0
2025-06-02,2550.0
2025-06-03,2575.0
2025-06-04,2600.0
2025-06-05,2500.0
2025-06-06,2500.0
2025-06-07,2475.0
2025-06-09,2475.0
2025-06-10,2500.0
2025-06-12,2550.0
2025-06-13,2600.0
2025-06-14,2600.0
2025-06-16,2525.0
2025-06-17,2550.0
2025-06-18,2550.0
2025-06-19,2450.0
2025-06-20,2450.0
2025-06-21,2500.0
2025-06-23,2525.0
2025-06-24,2500.0
2025-06-25,2500.0
2025-06-26,2475.0
2025-06-28,2500.0
2025-06-30,2550.0
2025-07-01,2550.0
2025-07-02,2450.0
2025-07-03,2500.0
2025-07-04,2550.0
2025-07-05,2500.0
2025-07-07,2525.0
2025-07-08,2500.0
2025-07-11,2525.0
2025-07-12,2550.0
2025-07-14,2525.0
2025-07-15,2540.0
2025-07-16,2550.0
2025-07-17,2525.0
2025-07-18,2550.0
2025-07-19,2525.0
2025-07-21,2575.0
2025-07-22,2600.0
2025-07-23,2600.0
2025-07-24,2625.0
2025-07-25,2550.0
2025-07-26,2600.0
2025-07-29,2625.0
2025-07-30,2550.0
2025-08-01,2550.0
2025-08-02,2550.0
2025-08-04,2600.0
2025-08-06,2600.0
2025-08-07,2550.0
2025-08-08,2600.0
2025-08-11,2625.0
2025-08-12,2625.0
2025-08-13,2600.0
2025-08-14,2600.0
2025-08-18,2625.0
2025-08-19,2650.0
2025-08-21,2625.0
2025-08-22,2600.0
2025-08-23,2600.0
2025-08-25,2625.0
2025-08-26,2700.0
2025-08-28,2650.0
2025-08-29,2650.0
2025-08-30,2625.0
2025-09-01,2600.0
2025-09-03,2600.0
2025-09-04,2650.0
2025-09-05,2650.0
2025-09-06,2625.0
2025-09-09,2700.0
2025-09-10,2675.0
2025-09-11,2700.0
2025-09-12,2700.0
2025-09-13,2750.0
2025-09-15,2700.0
2025-09-16,2750.0
2025-09-17,2675.0
2025-09-18,2700.0
2025-09-19,2700.0
2025-09-20,2675.0
2025-09-22,2700.0
2025-09-23,2650.0
2025-09-24,2650.0
2025-09-25,2650.0
2025-09-26,2625.0
2025-09-29,2600.0
2025-09-30,2575.0
2025-10-01,2600.0
2025-10-03,2600.0
2025-10-04,2600.0
2025-10-06,2600.0
2025-10-08,2600.0
2025-10-11,2600.0
2025-10-13,2650.0
2025-10-14,2700.0
2025-10-15,2675.0
2025-10-16,2650.0
2025-10-27,2650.0
2025-10-28,2650.0
2025-10-30,2575.0
2025-11-01,2650.0
2025-11-03,2675.0
2025-11-04,2655.0
