date,price
2025-01-01,3112.0
2025-01-02,3100.0
2025-01-03,3142.0
2025-01-04,3072.0
2025-01-06,3192.0
2025-01-07,3132.0
2025-01-08,3092.0
2025-01-09,3140.0
2025-01-10,3267.0
2025-01-11,3182.0
2025-01-15,3177.0
2025-01-16,3225.0
2025-01-17,3207.0
2025-01-18,3222.0
2025-01-20,3222.0
2025-01-22,3122.0
2025-01-23,3130.0
2025-01-24,3087.0
2025-01-25,3095.0
2025-01-27,3150.0
2025-01-28,2977.0
2025-01-29,3072.0
2025-01-30,3067.0
2025-01-31,3057.0
2025-02-01,3105.0
2025-02-03,3055.0
2025-02-04,3040.0
2025-02-05,3105.0
2025-02-06,3082.0
2025-02-07,3105.0
2025-02-08,3132.0
2025-02-10,3012.0
2025-02-11,3127.0
2025-02-12,3102.0
2025-02-13,3162.0
2025-02-14,3190.0
2025-02-15,3212.0
2025-02-17,3187.0
2025-02-18,3145.0
2025-02-19,3172.0
2025-02-20,3212.0
2025-02-21,3202.0
2025-02-22,3175.0
2025-02-24,3087.0
2025-02-25,3010.0
2025-02-27,3015.0
2025-02-28,3025.0
2025-03-01,2850.0
2025-03-03,2815.0
2025-03-04,2627.0
2025-03-05,2627.0
2025-03-06,2665.0
2025-03-07,2630.0
2025-03-08,2650.0
2025-03-10,2627.0
2025-03-11,2687.0
2025-03-12,2675.0
2025-03-15,2670.0
2025-03-17,2680.0
2025-03-18,2582.0
2025-03-19,2582.0
2025-03-20,2590.0
2025-03-21,2625.0
2025-03-22,2565.0
2025-03-24,2537.0
2025-03-25,2587.0
2025-04-01,2655.0
2025-04-02,2632.0
2025-04-03,2650.0
2025-04-04,2682.0
2025-04-05,2640.0
2025-04-07,2660.0
2025-04-08,2720.0
2025-04-09,2765.0
2025-04-11,2737.0
2025-04-12,2677.0
2025-04-15,2877.0
2025-04-16,3005.0
2025-04-17,2855.0
2025-04-18,2752.0
2025-04-19,2935.0
2025-04-21,3080.0
2025-04-22,2725.0
2025-04-23,2787.0
2025-04-24,2762.0
2025-04-25,2755.0
2025-04-26,2752.0
2025-04-28,2987.0
2025-04-29,2757.0
2025-05-01,2545.0
2025-05-02,2670.0
2025-05-03,2567.0
2025-05-05,2677.0
2025-05-06,2675.0
2025-05-07,2590.0
2025-05-09,2482.0
2025-05-10,2512.0
2025-05-12,2700.0
2025-05-13,2725.0
2025-05-14,2735.0
2025-05-15,2930.0
2025-05-16,2865.0
2025-05-17,2615.0
2025-05-19,2690.0
2025-05-20,2660.0
2025-05-21,2527.0
2025-05-22,2642.0
2025-05-23,2607.0
2025-05-24,2565.0
2025-05-26,2605.0
2025-05-27,2600.0
2025-05-28,2535.0
2025-05-29,2502.0
2025-05-30,2615.0
2025-05-31,2552.0
2025-06-02,2585.0
2025-06-03,2465.0
2025-06-04,2500.0
2025-06-05,2425.0
2025-06-06,2487.0
2025-06-09,2575.0
2025-06-10,2480.0
2025-06-11,2545.0
2025-06-12,2532.0
2025-06-13,2475.0
2025-06-14,2440.0
2025-06-16,2530.0
2025-06-17,2570.0
2025-06-18,2400.0
2025-06-19,2400.0
2025-06-20,2412.0
2025-06-21,2440.0
2025-06-23,2415.0
2025-06-24,2417.0
2025-06-25,2432.0
2025-06-26,2410.0
2025-06-28,2467.0
2025-06-30,2467.0
2025-07-01,2455.0
2025-07-02,2477.0
2025-07-03,2402.0
2025-07-04,2487.0
2025-07-07,2497.0
2025-07-08,2480.0
2025-07-09,2472.0
2025-07-11,2507.0
2025-07-12,2527.0
2025-07-14,2652.0
2025-07-15,2527.0
2025-07-16,2285.0
2025-07-17,2565.0
2025-07-18,2632.0
2025-07-19,2532.0
2025-07-21,2680.0
2025-07-22,2582.0
2025-07-23,2600.0
2025-07-24,2575.0
2025-07-25,2575.0
2025-07-26,2635.0
2025-07-28,2592.0
2025-07-29,2587.0
2025-07-30,2525.0
2025-07-31,2597.0
2025-08-01,2675.0
2025-08-02,2597.0
2025-08-04,2637.0
2025-08-05,2610.0
2025-08-06,2615.0
2025-08-07,2645.0
2025-08-08,2657.0
2025-08-11,2502.0
2025-08-12,2637.0
2025-08-13,2622.0
2025-08-14,2635.0
2025-08-18,2620.0
2025-08-19,2630.0
2025-08-21,2605.0
2025-08-22,2670.0
2025-08-23,2660.0
2025-08-28,2670.0
2025-08-29,2657.0
2025-08-30,2687.0
2025-09-01,2757.0
2025-09-02,2685.0
2025-09-03,2625.0
2025-09-04,2660.0
2025-09-05,2655.0
2025-09-06,2685.0
2025-09-08,2670.0
2025-09-09,2412.0
2025-09-10,2632.0
2025-09-11,2792.0
2025-09-12,2792.0
2025-09-13,2710.0
2025-09-15,2690.0
2025-09-16,2755.0
2025-09-17,2672.0
2025-09-18,2655.0
2025-09-19,2675.0
2025-09-20,2635.0
2025-09-22,2712.0
2025-09-23,2665.0
2025-09-24,2597.0
2025-09-25,2542.0
2025-09-26,2640.0
2025-09-27,2610.0
2025-09-29,2645.0
2025-09-30,2572.0
2025-10-01,2600.0
2025-10-03,2600.0
2025-10-04,2600.0
2025-10-06,2620.0
2025-10-07,2600.0
2025-10-08,2627.0
2025-10-09,2672.0
2025-10-10,2600.0
2025-10-11,2580.0
2025-10-13,2612.0
2025-10-14,2500.0
2025-10-15,2577.0
2025-10-16,2560.0
2025-10-17,2595.0
2025-10-29,2555.0
2025-10-30,2545.0
2025-11-01,2590.0
2025-11-03,2537.0
2025-11-04,2590.0
2025-11-06,2560.0
2025-11-07,2597.0
2025-11-08,2790.0
2025-11-10,2652.0
2025-11-11,2612.0
2025-11-12,2660.0
2025-11-13,2635.0
2025-11-14,2585.0
2025-11-15,2635.0
2025-11-17,2692.0
2025-11-18,2632.0
2025-11-19,2640.0
2025-11-20,2607.0
2025-11-21,2635.0
2025-11-22,2622.0
2025-11-24,2650.0
2025-11-25,2587.0
2025-11-26,2602.0
2025-11-27,2587.0
2025-11-28,2550.0
2025-11-29,2622.0
2025-12-01,2605.0
2025-12-02,2610.0
2025-12-03,2585.0
2025-12-04,2580.0
2025-12-05,2537.0
2025-12-06,2495.0
2025-12-08,2500.0
2025-12-09,2532.0
2025-12-10,2532.0
2025-12-11,2517.0
2025-12-12,2565.0
2025-12-13,2612.0
2025-12-15,2602.0
2025-12-16,2570.0
2025-12-17,2587.0
2025-12-18,2550.0
2025-12-19,2555.0
2025-12-20,2555.0
2025-12-22,2582.0
2025-12-23,2605.0
2025-12-24,2545.0
2025-12-25,2512.0
2025-12-26,2565.0
2025-12-27,2512.0
2025-12-29,2517.0
2025-12-30,2550.0
2025-12-31,2515.0
2026-01-01,2567.0
2026-01-02,2560.0
2026-01-03,2572.0
2026-01-05,2607.0
2026-01-06,2612.0
2026-01-07,2620.0
2026-01-08,2625.0
2026-01-09,2677.0
2026-01-10,2630.0
2026-01-12,2627.0
2026-01-13,2625.0
2026-01-15,2675.0
2026-01-16,2630.0
2026-01-17,2645.0
2026-01-19,2667.0
2026-01-20,2667.0
2026-01-21,2682.0
2026-01-22,2625.0
2026-01-27,2705.0
2026-01-28,2627.0
2026-01-29,2630.0
2026-01-30,2590.0
2026-01-31,2587.0
2026-02-02,2575.0
2026-02-03,2540.0
2026-02-04,2540.0
2026-02-05,2362.0
2026-02-06,2520.0
2026-02-07,2537.0
2026-02-09,2562.0
2026-02-10,2575.0
2026-02-11,2512.0
2026-02-12,2473.0
2026-02-13,2642.0
2026-02-14,2500.0
2026-02-16,2485.0
2026-02-17,2377.0
2026-02-18,2425.0
2026-02-19,2400.0
2026-02-20,2402.0
2026-02-21,2405.0
2026-02-23,2457.0
2026-02-24,2337.0
2026-02-25,2432.0
2026-02-26,2417.0
2026-02-27,2435.0
2026-02-28,2425.0
2026-03-02,2375.0
2026-03-05,2320.0
2026-03-06,2102.0
2026-03-07,2215.0
2026-03-09,2165.0
2026-03-10,2247.0
2026-03-11,2240.0
2026-03-12,2215.0
2026-03-13,2312.0
2026-03-14,2087.0
2026-03-16,2370.0
2026-03-17,2352.0
2026-03-18,2300.0
2026-03-19,2275.0
2026-03-20,2287.0
2026-03-23,2317.0
2026-03-24,2557.0
2026-04-01,2487.0
2026-04-02,2480.0
2026-04-03,2607.0
2026-04-04,2742.0
2026-04-06,3312.0
2026-04-07,3015.0
2026-04-08,2850.0
2026-04-09,2950.0
2026-04-10,2887.0
2026-04-11,2660.0
2026-04-13,2750.0
2026-04-15,2777.0
2026-04-16,2717.0
2026-04-17,2850.0
2026-04-18,2605.0
2026-04-20,2527.0
2026-04-21,2562.0
2026-04-22,2627.0
2026-04-23,2700.0
2026-04-24,2637.0
2026-04-25,2587.0
2026-04-27,2690.0
2026-04-28,2777.0
2026-04-29,2630.0
2026-04-30,2692.0
2026-05-01,2687.0
2026-05-02,2675.0
2026-05-04,2517.0
2026-05-05,2455.0
2026-05-08,2625.0
2026-05-09,2337.0
2026-05-11,2415.0
2026-05-12,2437.0
2026-05-13,2565.0
2026-05-14,2457.0
2026-05-15,2565.0
2026-05-16,2490.0
2026-05-18,2705.0
2026-05-19,2410.0
2026-05-20,2350.0
2026-05-21,2525.0
2026-05-22,2625.0
2026-05-23,2300.0
2026-05-25,2327.0
2026-05-26,2427.0
2026-05-27,2342.0
2026-05-29,2290.0
2026-05-30,2352.0
2026-06-01,2557.0
2026-06-02,2300.0
2026-06-03,2447.0
2026-06-04,2320.0
2026-06-05,2517.0
2026-06-06,2052.0
2026-06-08,2412.0
2026-06-09,2382.0
2026-06-10,2382.0
2026-06-11,2387.0
2026-06-12,2412.0
2026-06-13,2330.0
2026-06-15,2327.0
2026-06-16,2325.0
2026-06-17,2375.0
2026-06-18,2537.0
2026-06-19,2470.0
2026-06-20,2412.0
2026-06-22,2425.0
2026-06-23,2405.0
2026-06-24,2485.0
2026-06-25,2490.0
2026-06-27,2455.0
2026-06-29,2600.0
2026-06-30,2432.0
2026-07-01,2445.0
2026-07-02,2490.0
2026-07-03,2475.0
2026-07-04,2465.0
2026-07-06,2257.0
2026-07-07,2480.0
2026-07-08,2537.0
2026-07-09,2562.0
2026-07-10,2570.0
2026-07-11,2500.0
2026-07-13,2567.0
2026-07-14,2522.0
2026-07-15,2537.0
2026-07-17,2607.0
2026-07-18,2550.0
2026-07-20,2645.0
2026-07-21,2595.0
2026-07-22,2602.0
2026-07-23,2585.0
2026-07-24,2572.0
2026-07-25,2572.0
2026-07-27,2582.0
2026-07-28,2640.0
2026-07-30,2640.0
2026-07-31,2660.0
2026-08-01,2452.0
2026-08-03,2597.0
2026-08-04,2562.0
2026-08-05,2590.0
2026-08-06,2630.0
2026-08-07,2670.0
2026-08-08,2590.0
2026-08-10,2680.0
2026-08-11,2590.0
2026-08-12,2617.0
2026-08-13,2572.0
2026-08-14,2592.0
2026-08-17,2617.0
2026-08-18,2672.0
2026-08-19,2630.0
2026-08-20,2680.0
2026-08-21,2665.0
2026-08-22,2645.0
2026-08-24,2645.0
2026-08-25,2652.0
2026-08-26,2667.0
2026-08-27,2662.0
2026-08-29,2667.0
2026-08-31,2707.0
2026-09-01,2727.0
2026-09-02,2707.0
2026-09-03,2750.0
2026-09-07,2755.0
2026-09-09,2750.0
