date,price
2025-01-01,2965.0
2025-01-02,2995.0
2025-01-03,2635.0
2025-01-04,3070.0
2025-01-06,3030.0
2025-01-07,3125.0
2025-01-08,3045.0
2025-01-09,3065.0
2025-01-10,3000.0
2025-01-11,2925.0
2025-01-13,2970.0
2025-01-15,2975.0
2025-01-16,3135.0
2025-01-17,3055.0
2025-01-18,3165.0
2025-01-20,3035.0
2025-01-21,2995.0
2025-01-22,3025.0
2025-01-23,2925.0
2025-01-24,3065.0
2025-01-25,2830.0
2025-01-27,2905.0
2025-01-28,3095.0
2025-01-29,3025.0
2025-01-30,3080.0
2025-01-31,3055.0
2025-02-01,3105.0
2025-02-03,3030.0
2025-02-04,3010.0
2025-02-05,3090.0
2025-02-06,3065.0
2025-02-07,2960.0
2025-02-08,3125.0
2025-02-10,3040.0
2025-02-11,3130.0
2025-02-12,3070.0
2025-02-13,2890.0
2025-02-14,3045.0
2025-02-15,2670.0
2025-02-17,2855.0
2025-02-18,3035.0
2025-02-19,2975.0
2025-02-20,2950.0
2025-02-21,3025.0
2025-02-22,2855.0
2025-02-24,2565.0
2025-02-25,2680.0
2025-02-27,2670.0
2025-02-28,2560.0
2025-03-01,2615.0
2025-03-03,2620.0
2025-03-04,2275.0
2025-03-05,2350.0
2025-03-06,2710.0
2025-03-07,2580.0
2025-03-08,2465.0
2025-03-10,2455.0
2025-03-11,2415.0
2025-03-12,2450.0
2025-03-21,2315.0
2025-03-22,2310.0
2025-03-24,2405.0
2025-03-25,2380.0
2025-03-26,2205.0
2025-03-27,2350.0
2025-03-28,2335.0
2025-03-29,2480.0
2025-03-31,2450.0
2025-04-01,2355.0
2025-04-02,2355.0
2025-04-03,2540.0
2025-04-04,2335.0
2025-04-05,2295.0
2025-04-07,2630.0
2025-04-08,2430.0
2025-04-15,2630.0
2025-04-16,2705.0
2025-04-17,2610.0
2025-04-18,2370.0
2025-04-19,2540.0
2025-04-21,2420.0
2025-04-22,2280.0
2025-04-23,2335.0
2025-04-24,2260.0
2025-04-25,2490.0
2025-05-05,2175.0
2025-05-06,2170.0
2025-05-08,2355.0
2025-05-12,2355.0
2025-05-13,2215.0
2025-05-19,2350.0
2025-05-20,2190.0
2025-05-21,2150.0
2025-05-22,2370.0
2025-05-29,2335.0
2025-05-30,2280.0
2025-06-02,2335.0
2025-06-03,2280.0
2025-06-05,2200.0
2025-06-07,2535.0
2025-06-09,2270.0
2025-06-10,2385.0
2025-06-11,2310.0
2025-06-12,2615.0
2025-06-13,2505.0
2025-06-14,2210.0
2025-06-16,2460.0
2025-06-17,2150.0
2025-06-18,2345.0
2025-06-19,2295.0
2025-06-20,2070.0
2025-06-21,2095.0
2025-06-23,2430.0
2025-06-24,2310.0
2025-06-25,2275.0
2025-06-26,2500.0
2025-06-28,2240.0
2025-06-30,2520.0
2025-07-01,2065.0
2025-07-02,2570.0
2025-07-03,2100.0
2025-07-04,2390.0
2025-07-05,2485.0
2025-07-07,2610.0
2025-07-14,2360.0
2025-07-15,2500.0
2025-07-16,2640.0
2025-07-17,2580.0
2025-07-18,2655.0
2025-07-19,2730.0
2025-07-23,2725.0
2025-07-24,2745.0
2025-07-25,2680.0
2025-07-26,2730.0
2025-07-28,2675.0
2025-07-29,2660.0
2025-07-30,2745.0
2025-07-31,2630.0
2025-08-05,2665.0
2025-08-06,2535.0
2025-08-07,2455.0
2025-08-08,2355.0
2025-08-11,2425.0
2025-08-12,2615.0
2025-08-18,2695.0
2025-08-19,2385.0
2025-08-20,2745.0
2025-08-21,2500.0
2025-08-22,2520.0
2025-08-25,2635.0
2025-08-26,2655.0
2025-08-27,2645.0
2025-08-29,2755.0
2025-08-30,2595.0
2025-09-01,2480.0
2025-09-02,2685.0
2025-09-03,2675.0
2025-09-04,2660.0
2025-09-05,2635.0
2025-09-06,2480.0
2025-09-08,2680.0
2025-09-09,2710.0
2025-09-10,2580.0
2025-09-11,2550.0
2025-09-12,2590.0
2025-09-13,2595.0
2025-09-15,2680.0
2025-09-16,2610.0
2025-09-17,2630.0
2025-09-18,2655.0
2025-09-19,2675.0
2025-09-20,2365.0
2025-09-22,2595.0
2025-09-23,2565.0
2025-09-24,2660.0
2025-09-25,2515.0
2025-09-26,2795.0
2025-09-27,2425.0
2025-09-29,2685.0
2025-09-30,2535.0
2025-10-01,2295.0
2025-10-03,2640.0
2025-10-04,2350.0
2025-10-06,2535.0
2025-10-07,2610.0
2025-10-08,2585.0
2025-10-09,2650.0
2025-10-10,2655.0
2025-10-11,2380.0
2025-10-13,2730.0
2025-10-14,2280.0
2025-10-15,2650.0
2025-10-16,2515.0
2025-10-27,2635.0
2025-10-28,2705.0
2025-10-29,2645.0
2025-11-04,2755.0
2025-11-05,2600.0
2025-11-11,2535.0
2025-11-12,2395.0
2025-11-13,2515.0
2025-11-14,2530.0
2025-11-15,2460.0
2025-11-17,2480.0
2025-11-18,2565.0
2025-11-19,2580.0
2025-11-20,2520.0
2025-11-21,2615.0
2025-11-24,2425.0
2025-11-25,2445.0
2025-11-26,2615.0
2025-11-27,2700.0
2025-12-01,2310.0
2025-12-03,2400.0
2025-12-04,2630.0
2025-12-06,2500.0
2025-12-08,2420.0
2025-12-09,2480.0
2025-12-10,2525.0
2025-12-11,2490.0
2025-12-12,2600.0
2025-12-13,2600.0
2025-12-15,2530.0
2025-12-16,2555.0
2025-12-17,2550.0
2025-12-18,2485.0
2025-12-19,2470.0
2025-12-20,2610.0
2025-12-22,2605.0
2025-12-23,2430.0
2025-12-24,2570.0
2025-12-25,2450.0
2025-12-26,2300.0
2025-12-27,2405.0
2025-12-29,2385.0
2025-12-30,2265.0
2025-12-31,2635.0
2026-01-01,2635.0
2026-01-02,2335.0
2026-01-03,2310.0
2026-01-05,2405.0
2026-01-06,2445.0
2026-01-07,2690.0
2026-01-08,2585.0
2026-01-09,2720.0
2026-01-10,2580.0
2026-01-12,2530.0
2026-01-13,2480.0
2026-01-15,2390.0
2026-01-16,2475.0
2026-01-19,2620.0
2026-01-20,2510.0
2026-01-21,2475.0
2026-01-22,2795.0
2026-01-23,2760.0
2026-01-24,2495.0
2026-01-27,2555.0
2026-01-28,2595.0
2026-01-29,2495.0
2026-01-30,2405.0
2026-01-31,2145.0
2026-02-02,2255.0
2026-02-03,2655.0
2026-02-07,2470.0
2026-02-09,2430.0
2026-02-10,2325.0
2026-02-11,2555.0
2026-02-12,2210.0
2026-02-13,2415.0
2026-02-14,2150.0
2026-02-16,2485.0
2026-02-17,2475.0
2026-02-18,2285.0
2026-02-19,2320.0
2026-02-20,2265.0
2026-02-21,2205.0
2026-02-23,2270.0
