date,price
2025-01-01,2907.5
2025-01-02,3162.5
2025-01-03,3045.0
2025-01-04,3092.5
2025-01-06,3080.0
2025-01-07,3082.5
2025-01-08,3100.0
2025-01-09,3037.5
2025-01-10,3137.5
2025-01-11,3145.0
2025-01-15,3047.5
2025-01-16,3217.5
2025-01-17,3090.0
2025-01-18,3165.0
2025-01-20,2747.5
2025-01-21,3127.5
2025-01-22,2997.5
2025-01-23,3177.5
2025-01-24,3117.5
2025-01-25,3130.0
2025-01-27,3082.5
2025-01-28,2795.0
2025-01-29,2950.0
2025-01-30,3035.0
2025-01-31,3175.0
2025-02-01,2965.0
2025-02-03,2752.5
2025-02-04,3135.0
2025-02-05,2937.5
2025-02-06,2730.0
2025-02-07,2925.0
2025-02-08,2875.0
2025-02-10,2955.0
2025-02-11,3135.0
2025-02-13,3035.0
2025-02-14,2725.0
2025-02-15,3187.5
2025-02-17,3122.5
2025-02-18,3145.0
2025-02-19,3235.0
2025-02-20,3192.5
2025-02-21,3072.5
2025-02-22,3115.0
2025-02-24,3022.5
2025-02-25,3130.0
2025-02-27,3025.0
2025-02-28,3000.0
2025-03-01,2820.0
2025-03-03,2752.5
2025-03-04,2852.5
2025-03-05,2712.5
2025-03-06,2785.0
2025-03-07,2675.0
2025-03-08,2525.0
2025-03-10,2625.0
2025-03-11,2567.5
2025-03-12,2562.5
2025-03-17,2557.5
2025-03-18,2550.0
2025-03-19,2540.0
2025-03-20,2387.5
2025-03-21,2455.0
2025-03-22,2525.0
2025-03-24,2507.5
2025-04-01,2475.0
2025-04-02,2470.0
2025-04-03,2527.5
2025-04-04,2657.5
2025-04-05,2585.0
2025-04-07,2675.0
2025-04-08,2677.5
2025-04-09,2727.5
2025-04-11,2700.0
2025-04-15,2677.5
2025-04-16,2650.0
2025-04-17,2575.0
2025-04-18,2565.0
2025-04-19,2600.0
2025-04-21,2760.0
2025-04-22,2707.5
2025-04-23,2625.0
2025-04-24,2662.5
2025-04-25,2582.5
2025-04-26,2625.0
2025-04-28,2487.5
2025-05-01,2480.0
2025-05-02,2405.0
2025-05-03,2487.5
2025-05-05,2587.5
2025-05-06,2465.0
2025-05-07,2562.5
2025-05-08,2625.0
2025-05-10,2450.0
2025-05-13,2442.5
2025-05-14,2507.5
2025-05-15,2570.0
2025-05-16,2437.5
2025-05-17,2452.5
2025-05-19,2450.0
2025-05-20,2475.0
2025-05-21,2455.0
2025-05-22,2562.5
2025-05-23,2475.0
2025-05-24,2530.0
2025-05-26,2562.5
2025-05-27,2450.0
2025-05-28,2500.0
2025-05-29,2525.0
2025-05-30,2492.5
2025-05-31,2425.0
2025-06-02,2407.5
2025-06-03,2355.0
2025-06-04,2427.5
2025-06-05,2462.5
2025-06-06,2460.0
2025-06-07,2452.5
2025-06-09,2422.5
2025-06-10,2427.5
2025-06-12,2395.0
2025-06-13,2427.5
2025-06-16,2562.5
2025-06-17,2395.0
2025-06-18,2382.5
2025-06-19,2425.0
2025-06-20,2435.0
2025-06-21,2375.0
2025-06-23,2417.5
2025-06-24,2562.5
2025-06-25,2425.0
2025-06-26,2450.0
2025-06-28,2550.0
2025-07-02,2475.0
2025-07-03,2462.5
2025-07-04,2347.5
2025-07-05,2400.0
2025-07-07,2425.0
2025-07-08,2487.5
2025-07-11,2375.0
2025-07-12,2487.5
2025-07-14,2405.0
2025-07-15,2487.5
2025-07-16,2502.5
2025-07-17,2522.5
2025-07-18,2420.0
2025-07-21,2522.5
2025-07-22,2525.0
2025-07-23,2515.0
2025-07-24,2540.0
2025-07-25,2525.0
2025-07-26,2500.0
2025-07-28,2487.5
2025-07-29,2500.0
2025-07-30,2575.0
2025-07-31,2587.5
2025-08-01,2432.5
2025-08-02,2550.0
2025-08-04,2550.0
2025-08-05,2577.5
2025-08-06,2610.0
2025-08-07,2602.5
2025-08-08,2587.5
2025-08-18,2567.5
2025-08-19,2525.0
2025-08-21,2550.0
2025-08-22,2632.5
2025-08-25,2627.5
2025-08-28,2632.5
2025-08-29,2597.5
2025-08-30,2645.0
2025-09-01,2565.0
2025-09-02,2537.5
2025-09-04,2552.5
2025-09-05,2527.5
2025-09-06,2552.5
2025-09-09,2602.5
2025-09-10,2610.0
2025-09-11,2612.5
2025-09-12,2687.5
2025-09-13,2640.0
2025-09-15,2652.5
2025-09-16,2455.0
2025-09-17,2655.0
2025-09-18,2637.5
2025-09-19,2500.0
2025-09-20,2475.0
2025-09-22,2477.5
2025-09-23,2475.0
2025-09-24,2275.0
2025-09-25,2475.0
2025-09-26,2337.5
2025-09-27,2522.5
2025-09-29,2625.0
2025-09-30,2610.0
2025-10-01,2632.5
2025-10-03,2535.0
2025-10-04,2552.5
2025-10-06,2367.5
2025-10-08,2577.5
2025-10-09,2600.0
2025-10-10,2470.0
2025-10-11,2540.0
2025-10-13,2592.5
2025-10-14,2557.5
2025-10-15,2535.0
2025-10-16,2510.0
2025-10-30,2495.0
2025-11-01,2535.0
2025-11-03,2575.0
2025-11-04,2575.0
2025-11-06,2600.0
2025-11-07,2550.0
2025-11-08,2597.5
2025-11-10,2587.5
2025-11-11,2562.5
2025-11-12,2625.0
2025-11-13,2600.0
2025-11-14,2765.0
2025-11-15,2650.0
2025-11-17,2652.5
2025-11-18,2580.0
2025-11-19,2575.0
2025-11-20,2550.0
2025-11-21,2537.5
2025-11-22,2545.0
2025-11-25,2512.5
2025-11-26,2527.5
2025-11-27,2512.5
2025-11-28,2537.5
2025-11-29,2575.0
2025-12-01,2520.0
2025-12-02,2587.5
2025-12-03,2581.25
2025-12-05,2477.5
2025-12-06,2537.5
