date,price
2025-01-03,3175.0
2025-01-08,3012.5
2025-01-22,2710.0
2025-01-27,3325.0
2025-01-28,2767.5
2025-02-04,3175.0
2025-02-15,3335.0
2025-02-24,2682.5
2025-02-27,3050.0
2025-03-01,3462.5
2025-03-05,2925.0
2025-03-07,3050.0
2025-03-08,2662.5
2025-03-10,2512.5
2025-03-18,2662.5
2025-03-19,2650.0
2025-03-21,2647.5
2025-03-24,2425.0
2025-04-02,2562.5
2025-04-04,2700.0
2025-04-05,2635.0
2025-04-07,2597.5
2025-04-08,2700.0
2025-04-09,2632.5
2025-04-10,2652.5
2025-04-11,2687.5
2025-04-15,3155.0
2025-04-16,2812.5
2025-04-17,3015.0
2025-04-18,2875.0
2025-04-19,2962.5
2025-04-21,2937.5
2025-04-22,2712.5
2025-04-23,2812.5
2025-04-24,2912.5
2025-04-25,2767.5
2025-04-26,2675.0
2025-04-28,2637.5
2025-05-01,2637.5
2025-05-03,2637.5
2025-05-09,2900.0
2025-05-10,2385.0
2025-05-14,2515.0
2025-05-17,2330.0
2025-05-19,2540.0
2025-05-22,2762.5
2025-05-24,2412.5
2025-05-27,2765.0
2025-05-28,2400.0
2025-05-29,2502.5
2025-05-30,2525.0
2025-06-05,2480.0
2025-06-06,2377.5
2025-06-09,2425.0
2025-06-10,2227.5
2025-06-12,2237.5
2025-06-17,2177.5
2025-06-19,2487.5
2025-06-20,2185.0
2025-06-21,2362.5
2025-06-23,2272.5
2025-06-25,2502.5
2025-06-28,2192.5
2025-07-02,2210.0
2025-07-07,2375.0
2025-07-08,2535.0
2025-07-11,2192.5
2025-07-14,2275.0
2025-07-16,2337.5
2025-07-21,2327.5
2025-07-22,2387.5
2025-07-23,2252.5
2025-07-24,2065.0
2025-07-25,2312.5
2025-07-26,2210.0
2025-07-30,2425.0
2025-08-01,2377.5
2025-08-02,2337.5
2025-08-04,2375.0
2025-08-05,2725.0
2025-08-07,2602.5
2025-08-08,2275.0
2025-08-19,2412.5
2025-08-21,2290.0
2025-08-25,2402.5
2025-08-26,2840.0
2025-08-28,2912.5
2025-09-01,2630.0
2025-09-04,2595.0
2025-09-11,2702.5
2025-09-12,2825.0
2025-09-17,2647.5
2025-09-22,2675.0
2025-10-04,2675.0
2025-10-11,2542.5
2025-10-13,2645.0
2025-10-30,2527.5
2025-11-01,2325.0
2025-11-08,2775.0
2025-11-10,2925.0
2025-11-11,2650.0
2025-11-12,2580.0
2025-11-14,2925.0
2025-11-18,2632.5
2025-11-19,2752.5
2025-11-20,2957.5
2025-11-21,2852.5
2025-11-22,3032.5
2025-11-25,2627.5
2025-12-01,2525.0
2025-12-02,2525.0
2025-12-03,2987.5
2025-12-05,2880.0
2025-12-09,2890.0
2025-12-13,2652.5
2025-12-15,2600.0
2025-12-17,2452.5
2025-12-19,2425.0
2025-12-20,2625.0
2025-12-23,2592.5
2025-12-29,2472.5
2025-12-30,2287.5
2026-01-01,2225.0
2026-01-02,2375.0
2026-01-06,2127.5
2026-01-09,2250.0
2026-01-16,2747.5
2026-01-19,2730.0
2026-01-21,2450.0
2026-01-22,2545.0
2026-01-24,2425.0
2026-01-28,2775.0
2026-01-29,2702.5
2026-01-30,2290.0
2026-01-31,2452.5
2026-02-04,3130.0
2026-02-05,2775.0
2026-02-06,2775.0
2026-02-07,2960.0
2026-02-09,2715.0
2026-02-10,2852.5
2026-02-11,2675.0
2026-02-12,2825.0
2026-02-17,2575.0
2026-02-19,2512.5
2026-02-23,2687.5
2026-02-25,2487.5
2026-02-28,3030.0
2026-03-07,2465.0
2026-03-09,2500.0
2026-03-10,2430.0
2026-03-11,2790.0
2026-03-12,2625.0
2026-03-13,2425.0
2026-03-16,2512.5
2026-03-17,2350.0
2026-03-18,2527.5
2026-03-19,2390.0
2026-03-20,2205.0
2026-03-21,2342.5
2026-03-23,2417.5
2026-03-24,2340.0
2026-03-25,2387.5
2026-04-03,2262.5
2026-04-04,2250.0
2026-04-06,2367.5
2026-04-07,2262.5
2026-04-09,2452.5
2026-04-10,2377.5
2026-04-11,2525.0
2026-04-13,2325.0
2026-04-15,2300.0
2026-04-16,2237.5
2026-04-17,2337.5
2026-04-18,2237.5
2026-04-21,2437.5
2026-04-22,2375.0
2026-04-24,2270.0
2026-04-25,2287.5
2026-04-27,2295.0
2026-04-28,2300.0
2026-04-30,2350.0
2026-05-02,2362.5
2026-05-04,2287.5
2026-05-06,2250.0
2026-05-07,2287.5
2026-05-09,2362.5
2026-05-11,2187.5
2026-05-12,2222.5
2026-05-13,2282.5
2026-05-14,2377.5
2026-05-15,2545.0
2026-05-16,2427.5
2026-05-18,2405.0
2026-05-19,2187.5
2026-05-20,2502.5
2026-05-21,2292.5
2026-05-22,2065.0
2026-05-23,2300.0
2026-05-25,2275.0
2026-05-26,2475.0
2026-05-27,2215.0
2026-05-28,2265.0
2026-05-30,2437.5
2026-06-03,2275.0
2026-06-05,2200.0
2026-06-06,2462.5
2026-06-08,2075.0
2026-06-09,2130.0
2026-06-10,2130.0
2026-06-11,2135.0
2026-06-12,2100.0
2026-06-13,2115.0
2026-06-15,2125.0
2026-06-16,1987.5
2026-06-17,2087.5
2026-06-18,2562.5
2026-06-19,2112.5
2026-06-20,2212.5
2026-06-22,2190.0
2026-06-23,2420.0
2026-06-25,2260.0
2026-06-26,2190.0
2026-06-27,2177.5
