date,price
2025-01-01,3070.0
2025-01-02,3090.0
2025-01-03,3150.0
2025-01-04,3090.0
2025-01-06,3080.0
2025-01-07,3110.0
2025-01-08,3105.0
2025-01-09,3160.0
2025-01-11,3155.0
2025-01-15,3160.0
2025-01-18,3170.0
2025-01-20,3155.0
2025-01-21,3200.0
2025-01-22,3200.0
2025-01-23,3150.0
2025-01-24,3225.0
2025-01-25,3200.0
2025-01-27,3190.0
2025-01-28,3190.0
2025-01-29,3210.0
2025-01-30,3200.0
2025-02-01,3090.0
2025-02-03,3040.0
2025-02-04,3185.0
2025-02-05,3170.0
2025-02-06,3200.0
2025-02-07,3200.0
2025-02-10,3195.0
2025-02-11,3190.0
2025-02-12,3180.0
2025-02-13,3230.0
2025-02-14,3130.0
2025-02-15,3250.0
2025-02-17,3220.0
2025-02-18,3165.0
2025-02-19,3265.0
2025-02-20,3140.0
2025-02-21,3160.0
2025-02-22,3200.0
2025-02-24,3045.0
2025-02-25,3155.0
2025-02-27,2970.0
2025-02-28,2885.0
2025-03-04,2750.0
2025-03-05,2740.0
2025-03-07,2765.0
2025-03-08,2705.0
2025-03-10,2765.0
2025-03-17,2700.0
2025-03-21,2760.0
2025-03-22,2790.0
2025-03-25,2740.0
2025-04-01,2710.0
2025-04-02,2735.0
2025-04-03,2765.0
2025-04-04,2810.0
2025-04-07,2795.0
2025-04-08,2810.0
2025-04-09,2750.0
2025-04-11,2800.0
2025-04-16,2805.0
2025-04-19,2750.0
2025-04-21,2760.0
2025-04-22,2775.0
2025-04-23,2730.0
2025-04-24,2715.0
2025-04-25,2655.0
2025-04-26,2725.0
2025-04-28,2795.0
2025-04-29,2765.0
2025-04-30,2760.0
2025-05-01,2740.0
2025-05-02,2720.0
2025-05-03,2760.0
2025-05-05,2710.0
2025-05-06,2655.0
2025-05-07,2530.0
2025-05-09,2550.0
2025-05-10,2610.0
2025-05-12,2690.0
2025-05-14,2655.0
2025-05-15,2715.0
2025-05-16,2650.0
2025-05-17,2750.0
2025-05-19,2675.0
2025-05-20,2670.0
2025-05-21,2660.0
2025-05-22,2625.0
2025-05-23,2725.0
2025-05-24,2655.0
2025-05-26,2820.0
2025-05-28,2570.0
2025-05-29,2675.0
2025-05-30,2655.0
2025-05-31,2655.0
2025-06-02,2625.0
2025-06-03,2615.0
2025-06-04,2610.0
2025-06-05,2685.0
2025-06-09,2615.0
2025-06-10,2595.0
2025-06-11,2640.0
2025-06-12,2710.0
2025-06-13,2600.0
2025-06-14,2640.0
2025-06-16,2595.0
2025-06-17,2325.0
2025-06-18,2665.0
2025-06-19,2670.0
2025-06-20,2745.0
2025-06-21,2685.0
2025-06-23,2585.0
2025-06-24,2615.0
2025-06-25,2615.0
2025-06-26,2610.0
2025-06-27,2605.0
2025-06-28,2610.0
2025-06-30,2560.0
2025-07-01,2680.0
2025-07-02,2635.0
2025-07-03,2615.0
2025-07-04,2670.0
2025-07-05,2555.0
2025-07-07,2605.0
2025-07-09,2565.0
2025-07-10,2525.0
2025-07-11,2585.0
2025-07-12,2585.0
2025-07-14,2565.0
2025-07-15,2620.0
2025-07-16,2755.0
2025-07-17,2725.0
2025-07-18,2710.0
2025-07-19,2690.0
2025-07-21,2685.0
2025-07-22,2670.0
2025-07-23,2605.0
2025-07-24,2675.0
2025-07-25,2610.0
2025-07-26,2610.0
2025-07-28,2610.0
2025-07-29,2710.0
2025-07-30,2690.0
2025-08-02,2705.0
2025-08-04,2710.0
2025-08-05,2790.0
2025-08-06,2720.0
2025-08-07,2745.0
2025-08-08,2750.0
2025-08-11,2730.0
2025-08-12,2760.0
2025-08-18,2755.0
2025-08-22,2820.0
2025-08-25,2775.0
2025-08-27,2775.0
2025-08-28,2830.0
2025-08-29,2770.0
2025-08-30,2785.0
2025-09-01,2750.0
2025-09-02,2785.0
2025-09-03,2820.0
2025-09-04,2785.0
2025-09-06,2800.0
2025-09-08,2770.0
2025-09-10,2775.0
2025-09-12,2760.0
2025-09-13,2730.0
2025-09-16,2770.0
2025-09-17,2825.0
2025-09-18,2770.0
2025-09-19,2770.0
2025-09-20,2785.0
2025-09-25,2745.0
2025-09-26,2735.0
2025-09-27,2710.0
2025-09-29,2655.0
2025-10-01,2650.0
2025-10-03,2705.0
2025-10-04,2745.0
2025-10-08,2725.0
2025-10-14,2750.0
2025-10-27,2595.0
2025-10-29,2695.0
2025-11-01,2825.0
2025-11-03,2750.0
2025-11-04,2775.0
2025-11-11,2900.0
2025-11-13,2875.0
2025-11-14,2820.0
2025-11-15,2760.0
2025-11-17,2775.0
2025-11-18,2770.0
2025-11-20,2825.0
2025-11-21,2740.0
2025-11-22,2690.0
2025-11-26,2770.0
2025-11-27,2760.0
2025-11-28,2715.0
2025-11-29,2655.0
2025-12-02,2660.0
2025-12-08,2690.0
2025-12-09,2665.0
2025-12-11,2670.0
2025-12-15,2680.0
2025-12-16,2640.0
2025-12-18,2690.0
2025-12-23,2690.0
2026-01-05,2650.0
2026-01-07,2700.0
2026-01-08,2650.0
2026-01-21,2675.0
2026-02-03,2650.0
2026-02-04,2700.0
2026-02-05,2725.0
2026-02-06,2675.0
2026-02-07,2750.0
2026-02-10,2725.0
2026-02-11,2650.0
2026-02-12,2600.0
2026-02-13,2625.0
2026-02-14,2500.0
2026-02-16,2550.0
2026-02-17,2375.0
2026-02-19,2325.0
2026-02-20,2300.0
2026-02-21,2275.0
2026-02-23,2325.0
2026-02-24,2300.0
2026-02-25,2325.0
2026-02-26,2350.0
2026-02-27,2375.0
2026-02-28,2400.0
2026-03-02,2350.0
2026-03-03,2400.0
2026-03-05,2350.0
2026-03-06,2300.0
2026-03-07,2400.0
2026-03-09,2700.0
2026-03-10,2725.0
2026-03-11,2650.0
2026-03-12,2700.0
2026-03-13,2725.0
2026-03-14,2650.0
2026-03-16,2625.0
2026-03-17,2700.0
2026-03-18,2600.0
2026-03-19,2425.0
2026-03-23,2450.0
2026-03-24,2600.0
2026-03-25,2575.0
2026-04-03,2600.0
2026-04-04,2625.0
2026-04-06,2775.0
2026-04-07,2600.0
2026-04-08,2675.0
2026-04-09,2750.0
2026-04-10,2675.0
2026-04-11,2750.0
2026-04-13,2700.0
2026-04-15,2600.0
2026-04-16,2625.0
2026-04-17,2425.0
2026-04-18,2400.0
2026-04-20,2425.0
2026-04-21,2400.0
2026-04-22,2350.0
2026-04-23,2325.0
2026-04-24,2350.0
2026-04-25,2325.0
2026-04-27,2400.0
2026-04-28,2500.0
2026-04-29,2325.0
2026-04-30,2350.0
2026-05-01,2325.0
2026-05-02,2375.0
2026-05-04,2375.0
2026-05-05,2350.0
2026-05-06,2325.0
2026-05-07,2350.0
2026-05-08,2375.0
2026-05-09,2325.0
2026-05-11,2375.0
2026-05-12,2350.0
2026-05-13,2325.0
2026-05-14,2375.0
2026-05-15,2350.0
2026-05-16,2400.0
2026-05-18,2375.0
2026-05-19,2350.0
2026-05-20,2375.0
2026-05-21,2300.0
2026-05-22,2400.0
2026-05-23,2350.0
2026-05-29,2375.0
2026-05-30,2325.0
2026-06-01,2400.0
2026-06-02,2375.0
2026-06-03,2375.0
2026-06-04,2350.0
2026-06-05,2375.0
2026-06-06,2350.0
2026-06-08,2375.0
2026-06-09,2350.0
2026-06-10,2325.0
2026-06-11,2375.0
2026-06-12,2350.0
2026-06-13,2350.0
2026-06-15,2325.0
2026-06-16,2350.0
2026-06-17,2350.0
2026-06-18,2375.0
2026-06-19,2450.0
2026-06-20,2400.0
2026-06-22,2400.0
2026-06-23,2500.0
2026-06-24,2425.0
2026-06-27,2525.0
2026-06-30,2575.0
2026-07-01,2575.0
2026-07-02,2525.0
2026-07-03,2575.0
2026-07-04,2650.0
2026-07-06,2525.0
2026-07-07,2500.0
2026-07-08,2525.0
2026-07-09,2600.0
2026-07-10,2600.0
2026-07-11,2575.0
2026-07-13,2600.0
2026-07-14,2675.0
2026-07-15,2650.0
2026-07-16,2625.0
2026-07-17,2625.0
2026-07-18,2625.0
2026-07-20,2650.0
2026-07-21,2675.0
